SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Single Family Residential,5105 Marie Cir,Birmingham,AL,35215,390000,4,3.5,Kerri Lane Estates,3454,,2008,51,113,,Active,,,https://www.redfin.com/AL/Birmingham/5105-Marie-Cir-35215/home/80859468,Greater Alabama MLS,21421686,N,Y,33.6564563,-86.6599868
MLS Listing,,Single Family Residential,708 Fairfax Dr,Homewood,AL,35209,845000,4,3.5,Hollywood,2603,13503,1946,1,325,,Active,,,https://www.redfin.com/AL/Birmingham/708-Fairfax-Dr-35209/home/185949176,Greater Alabama MLS,21426920,N,Y,33.4721965,-86.7714189
MLS Listing,,Single Family Residential,104 Linden Ln,Birmingham,AL,35242,799900,5,3.5,Highland Lakes,3304,23522,2025,1,242,104,Active,,,https://www.redfin.com/AL/Birmingham/104-Linden-Ln-35242/home/168706790,Greater Alabama MLS,21426637,N,Y,33.394427,-86.641581
MLS Listing,,Townhouse,1840 Williamette Trce,Hoover,AL,35244,473000,3,2.5,BluffPark/Hoover/Riverchase,1774,,2025,1,267,108,Active,,,https://www.redfin.com/AL/Hoover/1840-South-Trce-35244/home/196776220,Greater Alabama MLS,21426918,N,Y,33.3495837,-86.7950305
MLS Listing,,Single Family Residential,0000586 Preserve Way,Hoover,AL,35226,763857,3,2.5,The Preserve,2464,6534,2025,1,310,108,Active,,,https://www.redfin.com/AL/Hoover/586-Preserve-Way-35226/home/195259670,Greater Alabama MLS,21426916,N,Y,33.3813027,-86.8354477
MLS Listing,,Single Family Residential,0000552 Village Green Way,Hoover,AL,35226,705990,3,2.5,The Preserve,2308,5227,2025,1,306,108,Active,,,https://www.redfin.com/AL/Hoover/0000552-Village-Green-Way-35226/home/196776143,Greater Alabama MLS,21426917,N,Y,33.3798499,-86.8382348
MLS Listing,,Single Family Residential,2732 Stevens Creek Rd,Hoover,AL,35244,444900,4,2.5,Brookhaven,2179,28749,1989,1,204,,Active,,,https://www.redfin.com/AL/Hoover/2732-Stevens-Creek-Rd-35244/home/80747999,Greater Alabama MLS,21426913,N,Y,33.3849839,-86.7472961
MLS Listing,,Single Family Residential,3057 Valley Ridge Rd,Hoover,AL,35242,499900,3,2.5,Inverness Highlands,2560,6098,2005,1,195,43,Active,,,https://www.redfin.com/AL/Birmingham/3057-Valley-Ridge-Rd-35242/home/80730473,Greater Alabama MLS,21426911,N,Y,33.4145107,-86.6977387
MLS Listing,,Single Family Residential,718 78th St S,Birmingham,AL,35206,88000,2,1.0,South Highland,1037,6098,1930,1,85,,Active,,,https://www.redfin.com/AL/Birmingham/718-78th-St-S-35206/home/80920937,Greater Alabama MLS,21426909,N,Y,33.5589329,-86.7181753
MLS Listing,,Single Family Residential,4972 Kerri Ln,Birmingham,AL,35215,259900,3,2.0,Kerri Lane Estates,1468,,2025,1,177,7,Active,,,https://www.redfin.com/AL/Center-Point/4972-Kerri-Ln-35215/home/195055809,Greater Alabama MLS,21426908,N,Y,33.656481,-86.6578946
MLS Listing,,Single Family Residential,3144 Paradise Acres,Hoover,AL,35244,414900,5,3.0,Paradise Acres,2216,22215,1972,1,187,10,Active,,,https://www.redfin.com/AL/Hoover/3144-Paradise-Acres-35244/home/81027930,Greater Alabama MLS,21426897,N,Y,33.3692695,-86.8240182
MLS Listing,,Condo/Co-op,1107 Riverhaven Pl #1107,Hoover,AL,35244,212500,2,2.0,The Overlook On Riverhaven,1174,,2008,1,181,,Active,,,https://www.redfin.com/AL/Hoover/1107-Riverhaven-Pl-35244/home/80840598,Greater Alabama MLS,21426896,N,Y,33.3772006,-86.7900521
MLS Listing,,Single Family Residential,2509 Woodmeadow Pl,Hoover,AL,35216,372000,3,2.0,Wood Meadow,2327,16117,1969,1,160,,Active,,,https://www.redfin.com/AL/Hoover/2509-Woodmeadow-Pl-35216/home/81026075,Greater Alabama MLS,21426893,N,Y,33.3859235,-86.7991511
MLS Listing,,Single Family Residential,223 Cambo Ter,Hoover,AL,35226,375000,4,3.0,Martinwood East,2328,16117,1981,1,161,,Active,,,https://www.redfin.com/AL/Hoover/223-Cambo-Ter-35226/home/81026573,Greater Alabama MLS,21426890,N,Y,33.3862147,-86.8465712
MLS Listing,,Single Family Residential,5300 5th Ct S,Birmingham,AL,35212,249900,2,1.0,,720,6969,1900,1,347,,Active,,,https://www.redfin.com/AL/Birmingham/5300-5th-Ct-S-35212/home/80925800,Greater Alabama MLS,21426415,N,Y,33.534725,-86.7536778
