SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Single Family Residential,846 W Windhaven Ave,Gilbert,AZ,85233,525000,3,2.0,SUMMER MEADOWS PARCEL 4,1702,6177,1998,1,308,47,Active,,,https://www.redfin.com/AZ/Gilbert/846-W-Windhaven-Ave-85233/home/28268126,ARMLS,6896183,N,Y,33.3538722,-111.8080862
MLS Listing,,Single Family Residential,1102 N Blackbird Dr,Gilbert,AZ,85234,460000,4,2.5,TOWNE MEADOWS PATIO HOMES LOT 1-171 TR A-C,1800,4548,1993,9,256,41,Active,,,https://www.redfin.com/AZ/Gilbert/1102-N-Blackbird-Dr-85234/home/27357165,ARMLS,6894736,N,Y,33.3696937,-111.6918779
MLS Listing,,Single Family Residential,2558 E Page Ct,Gilbert,AZ,85234,2400000,5,4.5,WHITEWING AT WIEHL ESTATES,5195,36925,2000,41,462,225,Active,,,https://www.redfin.com/AZ/Gilbert/2558-E-Page-Ct-85234/home/27967099,ARMLS,6882038,N,Y,33.3556918,-111.7346485
MLS Listing,,Single Family Residential,2499 S Entwistle St,Gilbert,AZ,85295,542500,4,3.5,FULTON HOMES COOLEY STATION PARCELS 9 11 17A & 30,2067,4305,2021,62,262,180,Active,,,https://www.redfin.com/AZ/Gilbert/2499-S-Entwistle-St-85295/home/173037065,ARMLS,6871875,N,Y,33.3052987,-111.7002382
MLS Listing,,Townhouse,2660 S Equestrian Dr #103,Gilbert,AZ,85295,404000,2,2.0,LAKES AT ANNECY PARCEL 3 A BLOCK CONDOMINIUM PLAT,1193,883,2021,84,339,290,Active,,,https://www.redfin.com/AZ/Gilbert/2660-S-Equestrian-Dr-85295/unit-103/home/173739959,ARMLS,6862041,N,Y,33.3019328,-111.7488535
MLS Listing,,Single Family Residential,3023 E Arabian Dr,Gilbert,AZ,85296,675000,3,3.0,WARNER GROVES AT MORRISON RANCH,1966,6000,2017,112,343,133,Active,August-2-2025 10:00 AM,August-2-2025 01:00 PM,https://www.redfin.com/AZ/Gilbert/3023-E-Arabian-Dr-85296/home/108551074,ARMLS,6846200,N,Y,33.3367255,-111.7251804
MLS Listing,,Single Family Residential,4281 E Mesquite St,Gilbert,AZ,85296,680000,4,3.5,ELLIOT GROVES AT MORRISON RANCH PHASE 2,2428,5750,2015,146,280,133,Active,,,https://www.redfin.com/AZ/Gilbert/4281-E-Mesquite-St-85296/home/95464438,ARMLS,6831727,N,Y,33.3443722,-111.698405
MLS Listing,,Townhouse,4186 E Jasper Dr,Gilbert,AZ,85296,375000,3,2.0,GARDENS PARCEL 5 CONDOMINIUM AMD,1464,788,2004,148,256,173,Active,,,https://www.redfin.com/AZ/Gilbert/4186-E-Jasper-Dr-85296/home/27499123,ARMLS,6827346,N,Y,33.327459,-111.699961
MLS Listing,,Single Family Residential,4246 E Cotton Ct,Gilbert,AZ,85234,515000,3,2.0,HIGHLAND GROVES AT MORRISON RANCH,1608,6050,2007,1,320,143,Active,,,https://www.redfin.com/AZ/Gilbert/4246-E-Cotton-Ct-85234/home/27783723,ARMLS,6898031,N,Y,33.3509943,-111.6991006
MLS Listing,,Single Family Residential,3047 E Athena Ave,Gilbert,AZ,85297,1125000,5,3.5,STRATLAND SHADOWS / CARRARA ESTATES,4903,13500,2007,1,229,150,Active,,,https://www.redfin.com/AZ/Gilbert/3047-E-Athena-Ave-85297/home/27181669,ARMLS,6899782,N,Y,33.2765998,-111.7238891
MLS Listing,,Single Family Residential,914 N Sailors Way,Gilbert,AZ,85234,529900,4,2.0,"PARK VILLAGE UNIT 3-B AMD 1-33 40-118 133-156 A,B",1846,6007,1991,1,287,,Active,,,https://www.redfin.com/AZ/Gilbert/914-N-Sailors-Way-85234/home/27584331,ARMLS,6899743,N,Y,33.3671783,-111.7647172
MLS Listing,,Townhouse,4033 E Windsor Dr,Gilbert,AZ,85296,349999,2,2.0,GARDENS PARCEL 5 CONDOMINIUM AMD,1075,601,2014,1,326,162,Active,,,https://www.redfin.com/AZ/Gilbert/4033-E-Windsor-Dr-85296/home/27283146,ARMLS,6899666,N,Y,33.3249512,-111.7031888
MLS Listing,,Single Family Residential,3304 E Latham Way,Gilbert,AZ,85297,739900,4,2.5,Coronado Ranch,2703,13932,2001,1,274,73,Active,,,https://www.redfin.com/AZ/Gilbert/3304-E-Latham-Way-85297/home/27784342,ARMLS,6895579,N,Y,33.2690677,-111.7181791
MLS Listing,,Single Family Residential,3922 E Megan St,Gilbert,AZ,85295,950000,5,3.5,RECKER POINTE PHASE 2,3352,7066,2019,1,283,100,Active,,,https://www.redfin.com/AZ/Gilbert/3922-E-Megan-St-85295/home/167765137,ARMLS,6898249,N,Y,33.3210457,-111.7057984
MLS Listing,,Single Family Residential,174 E Bernie Ln,Gilbert,AZ,85295,525000,3,2.0,GILBERT COMMONS ENCLAVE,1788,5500,2014,1,294,105,Active,August-2-2025 11:00 AM,August-2-2025 01:00 PM,https://www.redfin.com/AZ/Gilbert/174-E-Bernie-Ln-85295/home/56265156,ARMLS,6899487,N,Y,33.3041863,-111.786055
