SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Condo/Co-op,3456 S Ocean Blvd #203,Palm Beach,FL,33480,819000,2,2.0,Claridges I Condo,1490,,1973,1,550,1481,Active,,,https://www.redfin.com/FL/Palm-Beach/3456-S-Ocean-Blvd-33480/unit-203/home/112364017,Beaches MLS,RX-11112119,N,Y,26.5948359,-80.0373038
MLS Listing,,Condo/Co-op,3100 S Ocean Blvd Unit 404n,Palm Beach,FL,33480,4395000,2,2.5,Palm Beach Hampton Condo,2244,,1985,1,1959,3434,Active,,,https://www.redfin.com/FL/Palm-Beach/3100-S-Ocean-Blvd-33480/unit-404N/home/42448920,Beaches MLS,RX-11112101,N,Y,26.6097718,-80.0371376
MLS Listing,,Condo/Co-op,3555 S Ocean Blvd #515,South Palm Beach,FL,33480,595000,2,2.0,Thirty Five Sixty Condo,1308,,1982,1,455,1594,Active,,,https://www.redfin.com/FL/Palm-Beach/3555-S-Ocean-Blvd-33480/unit-515/home/42470382,Beaches MLS,RX-11112018,N,Y,26.6119752,-80.0385932
MLS Listing,,Single Family Residential,6 Via Vizcaya,Palm Beach,FL,33480,13795000,4,4.5,Via Vizcaya,3862,21383,1950,3,3572,,Active,,,https://www.redfin.com/FL/Palm-Beach/6-Via-Vizcaya-33480/home/42442282,Beaches MLS,RX-11111175,N,Y,26.6849606,-80.0366309
MLS Listing,,Single Family Residential,235 Sunrise Ave #2008,Palm Beach,FL,33480,299000,1,1.0,Palm Beach Hotel Condo,278,,1925,4,1076,866,Active,,,https://www.redfin.com/FL/Palm-Beach/235-Sunrise-Ave-33480/unit-2008/home/42432847,Beaches MLS,RX-11111112,N,Y,26.720382,-80.0393022
MLS Listing,,Single Family Residential,235 Sunrise Ave Unit Mze 1104,Palm Beach,FL,33480,399000,1,1.0,Palm Beach Hotel Condo,558,,1925,4,715,1732,Active,,,https://www.redfin.com/FL/Palm-Beach/235-Sunrise-Ave-33480/unit-Mz-E-1104/home/169565491,Beaches MLS,RX-11111111,N,Y,26.7204946,-80.0391888
MLS Listing,,Condo/Co-op,3450 S Ocean Blvd #224,Palm Beach,FL,33480,350000,1,1.5,Patrician of Palm Beach,1008,,1971,5,347,1378,Active,,,https://www.redfin.com/FL/Palm-Beach/3450-S-Ocean-Blvd-33480/unit-224/home/177457583,Beaches MLS,RX-11110742,N,Y,26.5948341,-80.037302
MLS Listing,,Condo/Co-op,2774 S Ocean Blvd #412,Palm Beach,FL,33480,1989000,2,2.0,Ambassador South Dev Corp,1344,319846,1968,6,1480,2786,Active,,,https://www.redfin.com/FL/Palm-Beach/2774-S-Ocean-Blvd-33480/unit-412/home/42434827,Beaches MLS,RX-11110652,N,Y,26.6211084,-80.0376623
MLS Listing,,Condo/Co-op,235 Sunrise Ave #3265,Palm Beach,FL,33480,350000,1,1.0,Palm Beach Hotel Condo,271,,1925,7,1292,871,Active,,,https://www.redfin.com/FL/Palm-Beach/235-Sunrise-Ave-33480/unit-3265/home/42434778,Beaches MLS,RX-11104974,N,Y,26.720382,-80.0393022
