SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Condo/Co-op,2103 Snapdragon Cir SW,Cedar Rapids,IA,52404,299900,3,3.0,Cedar Rapids,1367,,2016,1,219,225,Active,,,https://www.redfin.com/IA/Cedar-Rapids/2103-Snapdragon-Cir-SW-52404/home/145569815,"CRAAR, CDRMLS",2506685,N,Y,41.9537233,-91.699497
MLS Listing,,Single Family Residential,3328 Riverside Dr NE,Cedar Rapids,IA,52411,334000,4,2.5,Cedar Rapids,2154,15159,1992,1,155,11,Active,,,https://www.redfin.com/IA/Cedar-Rapids/3328-Riverside-Dr-NE-52411/home/121107549,"CRAAR, CDRMLS",2506653,N,Y,42.0142407,-91.7105774
MLS Listing,,Condo/Co-op,905 3rd St SE #205,Cedar Rapids,IA,52401,290000,1,2.0,Cedar Rapids,1220,,1946,1,238,557,Active,August-3-2025 11:30 AM,August-3-2025 01:00 PM,https://www.redfin.com/IA/Cedar-Rapids/905-3rd-St-SE-52401/unit-205/home/121165734,"CRAAR, CDRMLS",2506591,N,Y,41.9722065,-91.6607584
MLS Listing,,Condo/Co-op,51 29th Ave Dr SW #9,Cedar Rapids,IA,52404,139500,3,2.0,Cedar Rapids,1340,,1973,1,104,263,Active,,,https://www.redfin.com/IA/Cedar-Rapids/51-29th-Avenue-Dr-SW-52404/unit-9/home/121843280,"CRAAR, CDRMLS",2506683,N,Y,41.9485147,-91.6556297
MLS Listing,,Single Family Residential,1137 18th Ave SW,Cedar Rapids,IA,52404,127700,3,1.0,Cedar Rapids,884,5600,1946,1,144,,Active,,,https://www.redfin.com/IA/Cedar-Rapids/1137-18th-Ave-SW-52404/home/121272761,"CRAAR, CDRMLS",2506680,N,Y,41.9606496,-91.6851095
MLS Listing,,Condo/Co-op,4113 Lark Ct NE,Cedar Rapids,IA,52402,259950,3,2.5,Cedar Rapids,2364,,1989,1,110,150,Active,,,https://www.redfin.com/IA/Cedar-Rapids/4113-Lark-Ct-NE-52402/home/121534894,"CRAAR, CDRMLS",2506681,N,Y,42.0208999,-91.6904904
MLS Listing,,Single Family Residential,233 26th Ave SW,Cedar Rapids,IA,52404,130000,2,1.0,Cedar Rapids,1363,7710,1915,1,95,,Active,,,https://www.redfin.com/IA/Cedar-Rapids/233-26th-Ave-SW-52404/home/121503780,"CRAAR, CDRMLS",2506645,N,Y,41.9521238,-91.6662165
MLS Listing,,Single Family Residential,630 21st Ave SW,Cedar Rapids,IA,52404,185000,3,1.0,Cedar Rapids,1465,5680,1955,1,126,,Active,,,https://www.redfin.com/IA/Cedar-Rapids/630-21st-Ave-SW-52404/home/121827971,"CRAAR, CDRMLS",2506676,N,Y,41.957848,-91.6783278
MLS Listing,,Single Family Residential,6812 Kelburn Ln NE,Cedar Rapids,IA,52402,222000,3,1.5,Cedar Rapids,1338,6360,1971,1,166,,Active,,,https://www.redfin.com/IA/Cedar-Rapids/6812-Kelburn-Ln-NE-52402/home/121098133,"CRAAR, CDRMLS",2506671,N,Y,42.0464969,-91.6599504
