SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Single Family Residential,300 W Ofarrell,Boise,ID,83702-4425,799500,3,2.0,Dr Mary Johnston,2196,6098,1950,37,364,,Active,,,https://www.redfin.com/ID/Boise/300-W-Ofarrell-St-83702/home/106664716,IMLS,98952391,N,Y,43.6250623,-116.1909225
MLS Listing,,Single Family Residential,1212 W El Pelar Dr,Boise,ID,83702,674901,3,2.0,El PeLar Estat,2180,13503,1988,44,310,,Active,,,https://www.redfin.com/ID/Boise/1212-W-El-Pelar-Dr-83702/home/106662140,IMLS,98949808,N,Y,43.6550202,-116.2019161
MLS Listing,,Single Family Residential,3671 S Pheasant Tail Way,Boise,ID,83716-5087,675000,4,3.0,Harris Ranch,2427,4660,2015,48,278,108,Active,,,https://www.redfin.com/ID/Boise/3671-S-Pheasant-Tail-Way-83716/home/109554448,IMLS,98950131,N,Y,43.5686508,-116.123943
MLS Listing,,Single Family Residential,7709 N Matlock Ave,Boise,ID,83714-4048,499000,3,2.0,Matlock Place,1610,7013,2001,50,310,27,Active,,,https://www.redfin.com/ID/Boise/7709-N-Matlock-Ave-83714/home/106710127,IMLS,98950894,N,Y,43.6837256,-116.3028563
MLS Listing,,Single Family Residential,5793 S Brian Way,Boise,ID,83716-8850,1489000,3,3.5,Finis Terra,2568,7013,2025,84,580,50,Active,,,https://www.redfin.com/ID/Boise/5793-S-Brian-Way-83716/home/174467903,IMLS,98946469,N,Y,43.5495727,-116.0977962
MLS Listing,,Single Family Residential,6205 W Parapet Ct,Boise,ID,83703,539000,3,2.0,Clearwater Sub,1620,12196,1991,1,333,,Active,,,https://www.redfin.com/ID/Boise/6205-W-Parapet-Ct-83703/home/106758962,IMLS,98956705,N,Y,43.6702888,-116.2662648
MLS Listing,,Single Family Residential,10808 W Reutzel Dr,Boise,ID,83709,698900,4,3.0,Five Mile Estates,2588,17990,1975,1,270,,Active,,,https://www.redfin.com/ID/Boise/10808-W-Reutzel-Dr-83709/home/106661440,IMLS,98956703,N,Y,43.5660161,-116.3169376
MLS Listing,,Single Family Residential,3733 S Harris Ranch Ave,Boise,ID,83716,799900,5,3.0,Barber Junction at Harris Ranch,2967,5052,2018,1,270,128,Active,August-2-2025 01:00 PM,August-2-2025 03:00 PM,https://www.redfin.com/ID/Boise/3733-S-Harris-Ranch-Ave-83716/home/146238528,IMLS,98956699,N,Y,43.5680016,-116.1274396
MLS Listing,,Multi-Family (2-4 Unit),8561 W Goddard,Boise,ID,83704,719900,6,4.0,Boise West - 0600,2547,13068,1970,1,283,,Active,August-2-2025 01:00 PM,August-2-2025 03:00 PM,https://www.redfin.com/ID/Boise/8561-W-Goddard-Rd-83704/home/106782499,IMLS,98956694,N,Y,43.6447168,-116.2887409
MLS Listing,,Townhouse,1672 W Burlison Ln #26,Boise,ID,83705,529880,3,3.5,Midtown Heights,1821,958,2025,1,291,161,Active,,,https://www.redfin.com/ID/Boise/1672-W-Burlison-Ln-83705/unit-26/home/196777507,IMLS,98956682,N,Y,43.588082,-116.2022525
MLS Listing,,Single Family Residential,1327 Regatta,Boise,ID,83706,990000,4,3.0,Pier Pointe,3243,10193,1992,1,305,41,Active,August-2-2025 01:00 PM,August-2-2025 04:00 PM,https://www.redfin.com/ID/Boise/1327-E-Regatta-St-83706/home/106667349,IMLS,98956654,N,Y,43.5789207,-116.1670318
