SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Condo/Co-op,5360 N Lowell Ave #502,Chicago,IL,60630,349900,2,2.0,Rivers Edge,1339,,1996,1,261,500,Active,,,https://www.redfin.com/IL/Chicago/5360-N-Lowell-Ave-60630/unit-502/home/12796131,MRED as Distributed by MLS Grid,12434904,N,Y,41.9787776,-87.7375413
MLS Listing,,Single Family Residential,341 W 109th St,Chicago,IL,60628,155000,4,1.5,CHI - Roseland,1356,3092,1971,1,114,,Active,,,https://www.redfin.com/IL/Chicago/341-W-109th-St-60628/home/13075988,MRED as Distributed by MLS Grid,12426730,N,Y,41.695985,-87.6320368
MLS Listing,,Condo/Co-op,1916 N Maud Ave Unit A,Chicago,IL,60614,999900,3,2.5,CHI - Lincoln Park,2200,,1989,1,455,571,Active,August-2-2025 12:00 PM,August-2-2025 02:00 PM,https://www.redfin.com/IL/Chicago/1916-N-Maud-Ave-60614/unit-A/home/21811620,MRED as Distributed by MLS Grid,12433354,N,Y,41.9163367,-87.65581
MLS Listing,,Condo/Co-op,2840 N Lincoln Ave Unit D,Chicago,IL,60657,899990,4,3.0,CHI - Lake View,2232,,2000,1,403,629,Active,August-2-2025 12:00 PM,August-2-2025 02:00 PM,https://www.redfin.com/IL/Chicago/2840-N-Lincoln-Ave-60657/unit-D/home/12770670,MRED as Distributed by MLS Grid,12434328,N,Y,41.9332804,-87.6602327
MLS Listing,,Condo/Co-op,3200 N Lake Shore Dr #1611,Chicago,IL,60657,415000,2,2.0,CHI - Lake View,1265,,1966,1,328,1436,Active,,,https://www.redfin.com/IL/Chicago/3200-N-Lake-Shore-Dr-60657/unit-1611/home/13374898,MRED as Distributed by MLS Grid,12432474,N,Y,41.940655,-87.639882
MLS Listing,,Condo/Co-op,5300 N Lincoln Ave Unit 3E,Chicago,IL,60625,405000,2,2.0,CHI - Lincoln Square,1500,,2005,1,270,399,Active,,,https://www.redfin.com/IL/Chicago/5300-N-Lincoln-Ave-60625/unit-3E/home/26804633,MRED as Distributed by MLS Grid,12431863,N,Y,41.9778759,-87.6928709
MLS Listing,,Townhouse,1405 S Plymouth Ct,Chicago,IL,60605,775000,3,3.0,Dearborn Park II,2112,,1990,1,367,160,Active,August-2-2025 11:00 AM,August-2-2025 01:00 PM,https://www.redfin.com/IL/Chicago/1405-S-Plymouth-Ct-60605/home/14084091,MRED as Distributed by MLS Grid,12430275,N,Y,41.8637668,-87.6282111
MLS Listing,,Condo/Co-op,851 N Wolcott Ave #1,Chicago,IL,60622,725000,3,2.5,CHI - West Town,2400,,2005,1,302,272,Active,August-2-2025 11:00 AM,August-2-2025 01:00 PM,https://www.redfin.com/IL/Chicago/851-N-Wolcott-Ave-60622/unit-1/home/12596775,MRED as Distributed by MLS Grid,12429843,N,Y,41.8974105,-87.6743481
MLS Listing,,Single Family Residential,4517 N Austin Ave,Chicago,IL,60630,475000,5,3.0,CHI - Portage Park,2571,3746,1929,1,185,,Active,August-3-2025 12:00 PM,August-3-2025 02:00 PM,https://www.redfin.com/IL/Chicago/4517-N-Austin-Ave-60630/home/13474491,MRED as Distributed by MLS Grid,12433225,N,Y,41.96274,-87.7768244
MLS Listing,,Condo/Co-op,1400 N La Salle St Unit 3N,Chicago,IL,60610,525000,2,2.0,CHI - Near North Side,1260,,1879,2,417,719,Active,,,https://www.redfin.com/IL/Chicago/1400-N-La-Salle-Dr-60610/unit-3N/home/12572106,MRED as Distributed by MLS Grid,12432662,N,Y,41.90778,-87.6333818
