SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Single Family Residential,7756 Via Del Sogno-92,Fort Wayne,IN,46818,375000,3,2.5,Bel Sogno,2042,16553,2008,1,184,3,Active,,,https://www.redfin.com/IN/Fort-Wayne/7756-Via-del-Sogno-92-46818/home/142348409,IRMLS,202530285,N,Y,41.0802897,-85.3413159
MLS Listing,,Single Family Residential,1622 Briar Fence Ln,Fort Wayne,IN,46814,234000,3,2.0,Breconshire,1335,13068,1987,1,175,,Active,,,https://www.redfin.com/IN/Fort-Wayne/1622-Briar-Fence-Ln-46804/home/116271910,IRMLS,202530273,N,Y,41.0700833,-85.2150908
MLS Listing,,Single Family Residential,6027 Midwood Dr,Fort Wayne,IN,46835,259900,4,2.0,Bohde Grove,2364,21780,1963,1,110,2,Active,,,https://www.redfin.com/IN/Fort-Wayne/6027-Midwood-Dr-46835/home/116157973,IRMLS,202530272,N,Y,41.1263703,-85.0649691
MLS Listing,,Single Family Residential,1215 Sheridan Ct,Fort Wayne,IN,46807,275000,4,2.5,Park View Terrace,2110,5227,1940,1,130,,Active,August-2-2025 01:00 PM,August-2-2025 03:00 PM,https://www.redfin.com/IN/Fort-Wayne/1215-Sheridan-Ct-46807/home/115311825,IRMLS,202530269,N,Y,41.0478032,-85.1542562
MLS Listing,,Single Family Residential,6603 Sunland Dr,Fort Wayne,IN,46815,219900,4,1.5,Maplewood Park,1280,13504,1960,1,172,,Active,,,https://www.redfin.com/IN/Fort-Wayne/6603-Sunland-Dr-46815/home/115716194,IRMLS,202530263,N,Y,41.1145859,-85.057265
MLS Listing,,Single Family Residential,6616 Arnel Ave,Fort Wayne,IN,46835,224900,3,2.0,Golden Acres,1360,21344,1959,1,165,,Active,,,https://www.redfin.com/IN/Fort-Wayne/6616-Arnel-Ave-46835/home/115695790,IRMLS,202530260,N,Y,41.1281265,-85.0577182
MLS Listing,,Condo/Co-op,1618 Autumn Run,Fort Wayne,IN,46845,1050000,3,3.5,Autumn Run,5468,18731,2009,1,192,247,Active,,,https://www.redfin.com/IN/Fort-Wayne/1618-Autumn-Run-46845/home/115393221,IRMLS,202530243,N,Y,41.1904274,-85.1216084
MLS Listing,,Single Family Residential,6506 Oak Forest Trl,Fort Wayne,IN,46835,324900,4,2.5,Jonathon Oaks,2506,14810,1991,1,130,16,Active,,,https://www.redfin.com/IN/Fort-Wayne/6506-Oak-Forest-Trl-46835/home/116624047,IRMLS,202529794,N,Y,41.1367663,-85.0593623
MLS Listing,,Single Family Residential,3929 Wawonaissa Trl,Fort Wayne,IN,46809,218900,3,1.0,Indian Village,1562,14810,1950,1,140,,Active,August-2-2025 01:00 PM,August-2-2025 03:00 PM,https://www.redfin.com/IN/Fort-Wayne/3929-Wawonaissa-Trl-46809/home/115784640,IRMLS,202530059,N,Y,41.0475362,-85.1712942
MLS Listing,,Single Family Residential,1819 Clifty Pkwy,Fort Wayne,IN,46808,289000,3,2.5,Hickory Pointe,1820,10454,2006,1,159,20,Active,,,https://www.redfin.com/IN/Fort-Wayne/1819-Clifty-Pkwy-46808/home/116346348,IRMLS,202529375,N,Y,41.0909303,-85.2144053
MLS Listing,,Single Family Residential,2521 Dodge Ave,Fort Wayne,IN,46805,247500,3,2.0,Grasmere Heights,1628,9583,1926,1,152,,Active,,,https://www.redfin.com/IN/Fort-Wayne/2521-Dodge-Ave-46805/home/115328986,IRMLS,202529812,N,Y,41.0992172,-85.1063514
MLS Listing,,Single Family Residential,2910 Water Wheel Run,Fort Wayne,IN,46818,319900,4,2.5,Seven Oaks,2244,8276,2004,1,143,14,Active,,,https://www.redfin.com/IN/Fort-Wayne/2910-Water-Wheel-Run-46818/home/116182143,IRMLS,202529924,N,Y,41.1859808,-85.1828511
MLS Listing,,Single Family Residential,7201 Allenbrook Blvd,Fort Wayne,IN,46835,359900,4,2.5,Valencia,2122,11064,2011,1,170,28,Active,,,https://www.redfin.com/IN/Fort-Wayne/7201-Allenbrook-Blvd-46835/home/116093070,IRMLS,202529850,N,Y,41.1475789,-85.0507067
MLS Listing,,Single Family Residential,2517 Loganberry Cv,Fort Wayne,IN,46818,338900,3,2.5,Laurel Ridge,2128,9583,1999,1,159,13,Active,,,https://www.redfin.com/IN/Fort-Wayne/2517-Loganberry-Cv-46818/home/115606595,IRMLS,202530225,N,Y,41.1879156,-85.1778778
MLS Listing,,Single Family Residential,2605 Florida Dr,Fort Wayne,IN,46805,259000,3,1.5,Driving Park,1332,4356,1940,1,194,,Active,,,https://www.redfin.com/IN/Fort-Wayne/2605-Florida-Dr-46805/home/114882237,IRMLS,202530223,N,Y,41.0998811,-85.1200293
MLS Listing,,Vacant Land,4796 Whittlebury Dr,Fort Wayne,IN,46818,82900,,,Silverstone,,9148,,1,,38,Active,,,https://www.redfin.com/IN/Fort-Wayne/4796-Whittlebury-Dr-46818/home/196762747,IRMLS,202530215,N,Y,41.200536,-85.205386
MLS Listing,,Single Family Residential,5724 Thornbriar Ln,Fort Wayne,IN,46835,179900,1,1.5,Springfield Glen,1115,,1999,1,161,89,Active,,,https://www.redfin.com/IN/Fort-Wayne/5724-Thornbriar-Ln-46835/home/115230945,IRMLS,202530212,N,Y,41.1336325,-85.0493356
MLS Listing,,Single Family Residential,5675 Tranquilo Way,Fort Wayne,IN,46818,313720,4,2.0,Grasslands at Broad Acres,1771,11282,2025,1,177,46,Active,,,https://www.redfin.com/IN/Fort-Wayne/5675-Tranquilo-Way-46818/home/196673750,IRMLS,202530203,N,Y,41.194518,-85.215467
MLS Listing,,Single Family Residential,12827 Watts Dr,Fort Wayne,IN,46818,319900,4,2.0,Farmstead at Carroll Creek,1771,8451,2025,1,181,38,Active,,,https://www.redfin.com/IN/Fort-Wayne/12827-Watts-Dr-46818/home/196019960,IRMLS,202530198,N,Y,41.200305,-85.202181
MLS Listing,,Single Family Residential,6509 Redbud Dr,Fort Wayne,IN,46825,195000,4,1.0,Crest Wood Colony / Crestwood Co,1305,8276,1962,1,149,,Active,,,https://www.redfin.com/IN/Fort-Wayne/6509-Redbud-Dr-46825/home/114893246,IRMLS,202530197,N,Y,41.1394051,-85.1216754
MLS Listing,,Single Family Residential,12819 Watts Dr,Fort Wayne,IN,46818,349900,5,3.0,Farmstead at Carroll Creek,2600,8581,2025,1,135,32,Active,,,https://www.redfin.com/IN/Fort-Wayne/12819-Watts-Dr-46818/home/195979941,IRMLS,202530196,N,Y,41.200302,-85.202411
MLS Listing,,Single Family Residential,642 Barnsley Cv,Fort Wayne,IN,46845,349900,4,2.5,Fox Hollow,1998,8712,2017,1,175,27,Active,August-4-2025 04:00 PM,August-4-2025 06:00 PM,https://www.redfin.com/IN/Fort-Wayne/642-Barnsley-Cv-46845/home/142626763,IRMLS,202530187,N,Y,41.2119746,-85.1347239
MLS Listing,,Single Family Residential,4421 Sanford Ln,Fort Wayne,IN,46816,225000,3,2.0,Crown Colony,1360,10454,1973,1,165,,Active,,,https://www.redfin.com/IN/Fort-Wayne/4421-Sanford-Ln-46816/home/116507423,IRMLS,202530185,N,Y,41.019758,-85.0808391
MLS Listing,,Vacant Land,1630 Kelly Dr,Fort Wayne,IN,46808,9400,,,Huffman(s),,3049,,1,,,Active,,,https://www.redfin.com/IN/Fort-Wayne/1630-Kelly-Dr-46808/home/116656033,IRMLS,202530181,N,Y,41.0897172,-85.149222
MLS Listing,,Single Family Residential,6427 Londonderry Ln,Fort Wayne,IN,46835,349900,5,3.5,Hillsboro,2402,10454,1978,1,146,13,Active,,,https://www.redfin.com/IN/Fort-Wayne/6427-Londonderry-Ln-46835/home/115532118,IRMLS,202530175,N,Y,41.1429905,-85.0603805
MLS Listing,,Single Family Residential,12325 Lanai Dr,Fort Wayne,IN,46818,319900,4,2.5,Lakes of Carroll Creek,2009,8276,2009,1,159,24,Active,,,https://www.redfin.com/IN/Fort-Wayne/12325-Lanai-Dr-46818/home/114794351,IRMLS,202530158,N,Y,41.1963234,-85.1829516
MLS Listing,,Single Family Residential,335 Marcelle Dr,Fort Wayne,IN,46845,269900,4,2.0,Mardego Hills,1824,23958,1965,1,148,,Active,,,https://www.redfin.com/IN/Fort-Wayne/335-Marcelle-Dr-46845/home/115284436,IRMLS,202530153,N,Y,41.1848016,-85.1362142
MLS Listing,,Single Family Residential,4816 Hessen Cassel Rd,Fort Wayne,IN,46806,225000,4,2.0,Anthony Wayne Village,1500,11326,1960,1,150,,Active,,,https://www.redfin.com/IN/Fort-Wayne/4816-Hessen-Cassel-Rd-46806/home/116111533,IRMLS,202530148,N,Y,41.0398311,-85.0967659
