SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Single Family Residential,481 Dominican Dr,Lexington,KY,40511,159900,3,1.0,St Martin Village,925,6753,1965,1,173,,Active,,,https://www.redfin.com/KY/Lexington/481-Dominican-Dr-40511/home/95656770,LBARMLS,25016881,N,Y,38.0719636,-84.5128448
MLS Listing,,Townhouse,1883 Bridgestone Dr,Lexington,KY,40511,289000,2,2.5,Griffin Gate,1288,2365,1988,1,224,,Active,,,https://www.redfin.com/KY/Lexington/1883-Bridgestone-Dr-40511/home/109455564,LBARMLS,25016876,N,Y,38.0917318,-84.4823152
MLS Listing,,Single Family Residential,3996 Lochmere Loop,Lexington,KY,40509,669000,5,2.5,Enclave at Chilesburg,3449,6808,2014,1,194,,Active,,,https://www.redfin.com/KY/Lexington/3996-Lochmere-Loop-40509/home/95667974,LBARMLS,25016869,N,Y,37.993059,-84.4059382
MLS Listing,,Single Family Residential,2240 Valencia Dr,Lexington,KY,40513,450000,3,3.5,Palomar,2265,3924,1994,1,199,,Active,,,https://www.redfin.com/KY/Lexington/2240-Valencia-Dr-40513/home/95713455,LBARMLS,25016859,N,Y,38.0075818,-84.5753293
MLS Listing,,Single Family Residential,637 Stratford Dr,Lexington,KY,40503,326000,3,2.0,Southland,1360,7187,1952,1,240,,Active,August-3-2025 01:00 PM,August-3-2025 03:00 PM,https://www.redfin.com/KY/Lexington/637-Stratford-Dr-40503/home/110726991,LBARMLS,25016856,N,Y,38.0198715,-84.536839
MLS Listing,,Single Family Residential,3900 Dana Ct,Lexington,KY,40514,385000,4,2.0,Wyndham Hills,1848,24642,1987,1,208,,Active,August-2-2025 01:00 PM,August-2-2025 03:00 PM,https://www.redfin.com/KY/Lexington/3900-Dana-Ct-40514/home/95681302,LBARMLS,25016812,N,Y,37.9729167,-84.5566813
MLS Listing,,Single Family Residential,3457 Royal Wood Rd,Lexington,KY,40515,265900,3,1.5,Century Hill,1102,8067,1983,1,241,,Active,,,https://www.redfin.com/KY/Lexington/3457-Royal-Wood-Rd-40515/home/110460763,LBARMLS,25016853,N,Y,37.9759199,-84.4544902
MLS Listing,,Single Family Residential,1635 Silver Pheasant Cir,Lexington,KY,40511,500000,3,2.5,Griffin Gate,2449,6534,1987,1,204,,Active,,,https://www.redfin.com/KY/Lexington/1635-Silver-Pheasant-Cir-40511/home/110457739,LBARMLS,25016851,N,Y,38.0890526,-84.4866925
MLS Listing,,Single Family Residential,3663 Bay Springs Park,Lexington,KY,40509,445000,4,2.5,Bryant Oak Place,2365,6599,2019,1,188,,Active,,,https://www.redfin.com/KY/Lexington/3663-Bay-Springs-Park-40509/home/160503322,LBARMLS,25016850,N,Y,38.0158816,-84.3855594
