SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Single Family Residential,34 Monroe Ave,Worcester,MA,01602,529000,4,1.5,Worcester,1806,6000,1920,1,293,,Active,August-2-2025 01:30 PM,August-2-2025 03:30 PM,https://www.redfin.com/MA/Worcester/34-Monroe-Ave-01602/home/16658674,MLS PIN,73412033,N,Y,42.2682393,-71.8297315
MLS Listing,,Single Family Residential,2 Herbert Rd,Worcester,MA,01602,625000,3,1.5,West Side,2003,9147,1950,1,312,,Active,August-2-2025 12:00 PM,August-2-2025 02:00 PM,https://www.redfin.com/MA/Worcester/2-Herbert-Rd-01602/home/16658758,MLS PIN,73412125,N,Y,42.2670774,-71.8320657
MLS Listing,,Vacant Land,196 Svenson Ave,Worcester,MA,01607,75000,,,Worcester,,25718,,1,,,Active,,,https://www.redfin.com/MA/Worcester/196-Svenson-Ave-01607/home/69071722,MLS PIN,73412117,N,Y,42.229703,-71.775681
MLS Listing,,Single Family Residential,4 Bayberry Rd,Worcester,MA,01606,550000,4,2.0,Burncoat,1995,9176,1898,1,276,,Active,August-3-2025 11:00 AM,August-3-2025 12:30 PM,https://www.redfin.com/MA/Worcester/4-Bayberry-Rd-01606/home/16661920,MLS PIN,73412116,N,Y,42.2973583,-71.7937792
MLS Listing,,Single Family Residential,178 Dana Ave,Worcester,MA,01604,299900,5,1.5,Worcester,1539,9500,1918,1,195,,Active,,,https://www.redfin.com/MA/Worcester/178-Dana-Ave-01604/home/16668351,MLS PIN,73412050,N,Y,42.2519383,-71.7740871
MLS Listing,,Single Family Residential,32 Indian Lake Pkwy,Worcester,MA,01605,425000,3,1.5,Worcester,1158,6300,1941,1,367,,Active,,,https://www.redfin.com/MA/Worcester/32-Indian-Lake-Pkwy-01605/home/16666606,MLS PIN,73411963,N,Y,42.2917794,-71.8109219
MLS Listing,,Condo/Co-op,25 Salisbury Hill Blvd #68,Worcester,MA,01609,634900,2,2.5,Worcester,1970,,2025,1,322,411,Active,,,https://www.redfin.com/MA/Worcester/25-Salisbury-Hill-Blvd-01609/unit-68/home/196752464,MLS PIN,73411956,N,Y,42.2975758,-71.8508977
MLS Listing,,Condo/Co-op,28 Adams St #310,Worcester,MA,01604,409000,2,1.0,Worcester,1646,,1894,1,248,610,Active,August-1-2025 05:00 PM,August-1-2025 06:30 PM,https://www.redfin.com/MA/Worcester/28-Adams-St-01604/unit-310/home/16871537,MLS PIN,73411948,N,Y,42.2717291,-71.7774942
MLS Listing,,Single Family Residential,15 Cheyenne,Worcester,MA,01606,499900,4,2.0,Worcester,1979,9238,1987,1,253,,Active,,,https://www.redfin.com/MA/Worcester/15-Cheyenne-Rd-01606/home/16656937,MLS PIN,73411936,N,Y,42.3073502,-71.8121496
MLS Listing,,Condo/Co-op,26 Haynes St #1,Worcester,MA,01603,256000,3,1.0,Worcester,1020,,1923,1,251,200,Active,,,https://www.redfin.com/MA/Worcester/26-Haynes-St-01603/unit-1/home/16680180,MLS PIN,73411893,N,Y,42.2447516,-71.8291577
MLS Listing,,Condo/Co-op,340 Sunderland Rd Unit Bld. E U.42,Worcester,MA,01604,289900,2,2.0,East Worcester,992,,1982,1,292,380,Active,August-3-2025 11:30 AM,August-3-2025 01:00 PM,https://www.redfin.com/MA/Worcester/340-Sunderland-Rd-01604/unit-Bld-E-U42/home/196742507,MLS PIN,73411804,N,Y,42.2421774,-71.7576926
MLS Listing,,Single Family Residential,493 Salisbury St,Worcester,MA,01609,815000,5,3.5,Worcester,3478,16460,1930,1,234,,Active,August-3-2025 11:00 AM,August-3-2025 01:00 PM,https://www.redfin.com/MA/Worcester/493-Salisbury-St-01609/home/16653487,MLS PIN,73411705,N,Y,42.2888496,-71.8294172
MLS Listing,,Single Family Residential,30 Danielle's Way,Worcester,MA,01606,569900,3,2.5,Malden Woods,1755,4826,2025,1,325,,Active,,,https://www.redfin.com/MA/Worcester/30-Danielle-s-WAY-01606/home/196735105,MLS PIN,73411697,N,Y,42.314209,-71.797833
MLS Listing,,Multi-Family (2-4 Unit),10 Imperial Rd,Worcester,MA,01604,1100000,9,3.0,Worcester,4704,6000,1900,1,234,,Active,,,https://www.redfin.com/MA/Worcester/10-Imperial-Rd-01604/home/16671838,MLS PIN,73403751,N,Y,42.2714078,-71.7768672
MLS Listing,,Single Family Residential,6 Stoneleigh Rd,Worcester,MA,01606,449900,2,2.0,Worcester,1357,8712,1941,1,332,,Active,August-2-2025 11:00 AM,August-2-2025 01:00 PM,https://www.redfin.com/MA/Worcester/6-Stoneleigh-Rd-01606/home/16644340,MLS PIN,73411645,N,Y,42.3166155,-71.8165278
MLS Listing,,Condo/Co-op,70 Southbridge St #705,Worcester,MA,01608,195000,1,1.0,Worcester,500,,1979,1,390,481,Active,,,https://www.redfin.com/MA/Worcester/70-Southbridge-St-01608/unit-705/home/16664788,MLS PIN,73411639,N,Y,42.2592756,-71.8030688
