SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Single Family Residential,58 Cumberland Ave #2,Portland,ME,04101,1225000,2,2.0,Portland,1069,6098,2025,1,1146,,Active,,,https://www.redfin.com/ME/Portland/58-Cumberland-Ave-04101/unit-2/home/196757868,MREIS,1632627,N,Y,43.6653925,-70.2493828
MLS Listing,,Single Family Residential,244 Ray St,Portland,ME,04103,539000,5,2.0,Portland,2256,11325,1937,1,239,,Active,August-2-2025 10:00 AM,August-2-2025 11:30 AM,https://www.redfin.com/ME/Portland/244-Ray-St-04103/home/85745672,MREIS,1632616,N,Y,43.6981957,-70.2775821
MLS Listing,,Condo/Co-op,2 India St #4,Portland,ME,04101,2990000,2,2.5,Portland,1750,,2025,1,1709,455,Active,,,https://www.redfin.com/ME/Portland/2-India-St-04101/unit-4/home/196755022,MREIS,1632608,N,Y,43.6593385,-70.2487387
MLS Listing,,Single Family Residential,85 Upper A St,Portland,ME,04108,649950,2,1.0,Peaks Island,1000,10454,1900,1,650,,Active,August-2-2025 12:00 PM,August-2-2025 02:00 PM,https://www.redfin.com/ME/Peaks-Island/85-Upper-a-St-04108/home/96851292,MREIS,1632604,N,Y,43.6578232,-70.1913417
MLS Listing,,Multi-Family (2-4 Unit),593 Washington Ave,Portland,ME,04103,899000,7,3.0,Portland,3644,6534,1900,1,247,,Active,August-3-2025 12:30 PM,August-3-2025 02:00 PM,https://www.redfin.com/ME/Portland/593-Washington-Ave-04103/home/85747325,MREIS,1632524,N,Y,43.6820054,-70.2606199
MLS Listing,,Condo/Co-op,383 Commercial St #600,Portland,ME,04101,2095000,3,2.0,Hobson's Landing,1623,,2021,1,1291,627,Active,,,https://www.redfin.com/ME/Portland/383-Commercial-St-04101/unit-600/home/148052047,MREIS,1631670,N,Y,43.6517349,-70.2571512
MLS Listing,,Single Family Residential,34 Gleckler Rd,Portland,ME,04103,659000,3,1.5,Portland,1623,5227,1940,1,406,,Active,August-3-2025 11:00 AM,August-3-2025 01:00 PM,https://www.redfin.com/ME/Portland/34-Gleckler-Rd-04103/home/79865760,MREIS,1632050,N,Y,43.6797173,-70.280415
MLS Listing,,Vacant Land,1 Coolidge Ave,Portland,ME,04103,199000,,,Portland,,8276,,2,,,Active,,,https://www.redfin.com/ME/Portland/1-Coolidge-Ave-04103/home/85745836,MREIS,1632456,N,Y,43.7050266,-70.2938541
MLS Listing,,Single Family Residential,46 Plymouth St,Portland,ME,04103,600000,3,1.5,Portland,1034,10890,1950,2,580,,Active,,,https://www.redfin.com/ME/Portland/46-Plymouth-St-04103/home/85740922,MREIS,1632442,N,Y,43.6942472,-70.2945808
