SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Single Family Residential,4113 Wild Goose Ln,White Bear Twp,MN,55110,524900,4,3.0,White Bear Twp,2487,9670,1991,9,211,,Active,,,https://www.redfin.com/MN/Saint-Paul/4113-Wild-Goose-Ln-55110/home/50010185,NORTHSTARMLS as Distributed by MLS Grid,6755820,N,Y,45.0654599,-93.0460743
MLS Listing,,Condo/Co-op,445 Wacouta St #403,Saint Paul,MN,55101,170000,1,1.0,Downtown,863,,2001,11,197,509,Active,August-2-2025 12:00 PM,August-2-2025 02:00 PM,https://www.redfin.com/MN/Saint-Paul/445-Wacouta-St-55101/unit-403/home/51175344,NORTHSTARMLS as Distributed by MLS Grid,6758576,N,Y,44.9511863,-93.089519
MLS Listing,,Multi-Family (2-4 Unit),1122 Dayton Ave,Saint Paul,MN,55104,500000,8,4.0,Merriam Park/Lexington-Hamline,3984,9583,1905,14,126,,Active,,,https://www.redfin.com/MN/Saint-Paul/1122-Dayton-Ave-55104/home/51081642,NORTHSTARMLS as Distributed by MLS Grid,6757386,N,Y,44.9472154,-93.1476202
MLS Listing,,Single Family Residential,2643 1st St,White Bear Twp,MN,55110,379900,3,2.0,White Bear Twp,1747,12719,1956,15,217,,Active,,,https://www.redfin.com/MN/Saint-Paul/2643-1st-St-55110/home/51111300,NORTHSTARMLS as Distributed by MLS Grid,6756267,N,Y,45.100213,-92.988765
MLS Listing,,Single Family Residential,1002 Conway St,Saint Paul,MN,55106,389900,4,2.0,Dayton's Bluff,2006,4922,2023,21,194,,Active,,,https://www.redfin.com/MN/Saint-Paul/1002-Conway-St-55106/home/187577133,NORTHSTARMLS as Distributed by MLS Grid,6751017,N,Y,44.955713,-93.058212
MLS Listing,,Multi-Family (2-4 Unit),906 5th St E,Saint Paul,MN,55106,249900,5,2.0,Dayton's Bluff,2200,4791,1896,25,114,,Active,,,https://www.redfin.com/MN/Saint-Paul/906-5th-St-E-55106/home/50198155,NORTHSTARMLS as Distributed by MLS Grid,6750818,N,Y,44.9592553,-93.0622968
MLS Listing,,Townhouse,2360 Dorland Pl E,Maplewood,MN,55119,181000,3,2.0,Maplewood,1715,,1972,35,106,461,Active,,,https://www.redfin.com/MN/Saint-Paul/2360-Dorland-Pl-E-55119/home/51108441,NORTHSTARMLS as Distributed by MLS Grid,6737824,N,Y,44.929348,-93.003137
MLS Listing,,Single Family Residential,1094 7th St E,Saint Paul,MN,55106,389900,4,2.0,Dayton's Bluff,1974,5924,2025,49,198,,Active,,,https://www.redfin.com/MN/Saint-Paul/1094-7th-St-E-55106/home/51153004,NORTHSTARMLS as Distributed by MLS Grid,6738851,N,Y,44.9665389,-93.0545004
MLS Listing,,Multi-Family (2-4 Unit),287 Avon St N,Saint Paul,MN,55104,405000,6,3.0,Summit-University,2283,4791,1889,92,177,,Active,,,https://www.redfin.com/MN/Saint-Paul/287-Avon-St-N-55104/home/51170132,NORTHSTARMLS as Distributed by MLS Grid,6713409,N,Y,44.9499506,-93.1333961
MLS Listing,,Single Family Residential,1559 Chelsea St,Saint Paul,MN,55108,415000,2,2.0,Como,1440,5183,1949,1,288,,Active,,,https://www.redfin.com/MN/Saint-Paul/1559-Chelsea-St-55108/home/51134723,NORTHSTARMLS as Distributed by MLS Grid,6765129,N,Y,44.988116,-93.154378
