SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Single Family Residential,3420 Humphrey St,St Louis,MO,63118,489000,3,2.5,Tower Grove Heights Amd,2236,39639,1906,8,219,,Active,,,https://www.redfin.com/MO/Saint-Louis/3420-Humphrey-St-63118/home/93671832,MARIS as Distributed by MLS Grid,25049822,N,Y,38.597594,-90.2394386
MLS Listing,,Single Family Residential,4938 Lansdowne Ave,St Louis,MO,63109,297500,3,2.0,Southampton Add,1517,3998,1921,9,196,,Active,,,https://www.redfin.com/MO/Saint-Louis/4938-Lansdowne-Ave-63109/home/93752989,MARIS as Distributed by MLS Grid,25045910,N,Y,38.5877958,-90.2774473
MLS Listing,,Single Family Residential,3335 Pennsylvania Ave,St Louis,MO,63118,285000,4,2.5,South Compton Heights,1920,3118,1898,15,148,,Active,,,https://www.redfin.com/MO/Saint-Louis/3335-Pennsylvania-Ave-63118/home/93693565,MARIS as Distributed by MLS Grid,25047120,N,Y,38.5950258,-90.2335406
MLS Listing,,Single Family Residential,211 Weiss Ave,St Louis,MO,63125,90000,2,1.0,Longwood Add,800,5880,1890,63,113,,Active,,,https://www.redfin.com/MO/Saint-Louis/211-Weiss-Ave-63125/home/93579514,MARIS as Distributed by MLS Grid,25034666,N,Y,38.5360709,-90.2746401
MLS Listing,,Single Family Residential,6211 Idaho Ave,St Louis,MO,63111,159000,3,1.0,Carondelet Commons Fields Add,865,2592,1924,64,184,,Active,,,https://www.redfin.com/MO/Saint-Louis/6211-Idaho-Ave-63111/home/93709448,MARIS as Distributed by MLS Grid,25022896,N,Y,38.5614497,-90.2538113
MLS Listing,,Condo/Co-op,2201 Locust St #312,St Louis,MO,63103,121500,1,1.0,Packard Lofts,985,,1914,79,123,370,Active,,,https://www.redfin.com/MO/Saint-Louis/411-N-22nd-St-63103/unit-312/home/93677722,MARIS as Distributed by MLS Grid,25032018,N,Y,38.6337106,-90.2110476
MLS Listing,,Single Family Residential,1003 Allen Ave,St Louis,MO,63104,300000,2,1.5,Allens Add,1260,4060,1885,93,238,,Active,,,https://www.redfin.com/MO/Saint-Louis/1003-Allen-Ave-63104/home/93685680,MARIS as Distributed by MLS Grid,25027220,N,Y,38.6082352,-90.2061915
MLS Listing,,Single Family Residential,6451 Odell St,St Louis,MO,63139,264000,3,2.0,McKees,1180,7535,1920,1,224,,Active,,,https://www.redfin.com/MO/Saint-Louis/6451-Odell-St-63139/home/93744977,MARIS as Distributed by MLS Grid,25053013,N,Y,38.6098474,-90.2979993
MLS Listing,,Single Family Residential,10081 Green Valley Dr,Ferguson,MO,63136,60000,2,1.0,Atwater Terrace,696,7701,1947,1,86,,Active,,,https://www.redfin.com/MO/Saint-Louis/10081-Green-Valley-Dr-63136/home/93388094,MARIS as Distributed by MLS Grid,25048191,N,Y,38.7527414,-90.2633796
MLS Listing,,Condo/Co-op,1915 Senate St Unit C,St Louis,MO,63118,205000,3,1.5,Senate Place Condominiums,1062,,1887,1,193,250,Active,,,https://www.redfin.com/MO/Saint-Louis/1915-Senate-St-63118/unit-C/home/93672834,MARIS as Distributed by MLS Grid,25052578,N,Y,38.6026243,-90.216221
MLS Listing,,Single Family Residential,12845 Meadowdale Dr,Unincorporated,MO,63138,295000,4,2.5,New Jamestown Place,2432,10890,1989,1,121,21,Active,,,https://www.redfin.com/MO/Saint-Louis/12845-Meadowdale-Dr-63138/home/93343066,MARIS as Distributed by MLS Grid,25052921,N,Y,38.8102669,-90.2203077
MLS Listing,,Single Family Residential,6269 Kinsey Pl,St Louis,MO,63109,315000,2,1.0,St. Louis Hills Estates,2004,6969,1955,1,157,,Active,August-3-2025 01:00 PM,August-3-2025 03:00 PM,https://www.redfin.com/MO/Saint-Louis/6269-Kinsey-Pl-63109/home/93783592,MARIS as Distributed by MLS Grid,25050948,N,Y,38.5814123,-90.300276
MLS Listing,,Single Family Residential,3521 Arsenal St,St Louis,MO,63118,400000,4,2.5,Tower Grove Heights,2416,4007,1908,1,166,,Active,August-3-2025 01:00 PM,August-3-2025 03:00 PM,https://www.redfin.com/MO/Saint-Louis/3521-Arsenal-St-63118/home/93692712,MARIS as Distributed by MLS Grid,25050256,N,Y,38.6027084,-90.2407719
MLS Listing,,Single Family Residential,307 Goetz Ave,Unincorporated,MO,63125,189000,2,1.0,Longwood Place,1195,7601,1896,1,158,,Active,,,https://www.redfin.com/MO/Saint-Louis/307-Goetz-Ave-63125/home/93579353,MARIS as Distributed by MLS Grid,25052213,N,Y,38.5336196,-90.2770386
MLS Listing,,Single Family Residential,3511 Hidden Stone Ct,St Louis,MO,63129,309900,3,2.0,Brookstone 2,1433,10742,1977,1,216,,Active,August-3-2025 01:00 PM,August-3-2025 03:00 PM,https://www.redfin.com/MO/Saint-Louis/3511-Hidden-Stone-Ct-63129/home/62751789,MARIS as Distributed by MLS Grid,25027991,N,Y,38.4677944,-90.3367112
MLS Listing,,Single Family Residential,1207 Bakewell Dr,Bellefontaine Nghbrs,MO,63137,79900,2,1.0,Bissell Hills 7,776,6490,1953,1,103,,Active,,,https://www.redfin.com/MO/Saint-Louis/1207-Bakewell-Dr-63137/home/62753642,MARIS as Distributed by MLS Grid,25052854,N,Y,38.7588917,-90.2282572
MLS Listing,,Single Family Residential,5021 Davison,St Louis,MO,63120,70000,2,1.0,ELLENWOOD PARK ADDITION,874,3005,1948,1,80,,Active,,,https://www.redfin.com/MO/Saint-Louis/5021-Davison-Ave-63120/home/93755100,MARIS as Distributed by MLS Grid,25052680,N,Y,38.6940976,-90.2510864
MLS Listing,,Single Family Residential,700 Kaywood Ln,St Louis,MO,63129,300000,3,1.5,Kaywood,1472,20473,1959,1,204,,Active,August-2-2025 10:00 AM,August-2-2025 12:00 PM,https://www.redfin.com/MO/Saint-Louis/700-Kaywood-Ln-63129/home/93607047,MARIS as Distributed by MLS Grid,25051446,N,Y,38.4959049,-90.3067562
MLS Listing,,Single Family Residential,12074 Craig View Dr,St Louis,MO,63146,200000,3,2.0,Pembrooke,1272,7649,1976,1,157,,Active,,,https://www.redfin.com/MO/Saint-Louis/12074-Craig-View-Dr-63146/home/93452835,MARIS as Distributed by MLS Grid,25052308,N,Y,38.6782623,-90.441338
MLS Listing,,Single Family Residential,5660 Pernod Ave,St Louis,MO,63139,270000,2,1.0,Northampton Add,983,5706,1951,1,275,,Active,August-2-2025 11:00 AM,August-2-2025 01:00 PM,https://www.redfin.com/MO/Saint-Louis/5660-Pernod-Ave-63139/home/93781941,MARIS as Distributed by MLS Grid,25051892,N,Y,38.5959525,-90.2874378
MLS Listing,,Condo/Co-op,12812 Portulaca Dr Unit K,,MO,63146,125000,2,1.0,Fern Ridge Condo 4 Bldg 6,784,2308,1984,1,159,360,Active,,,https://www.redfin.com/MO/Saint-Louis/12812-Portulaca-Dr-63146/unit-K/home/93454636,MARIS as Distributed by MLS Grid,25051649,N,Y,38.683202,-90.4748979
MLS Listing,,Condo/Co-op,4454 Lindell Blvd #32,St Louis,MO,63108,375000,4,2.5,Lindell Place,1780,,1984,1,211,707,Active,,,https://www.redfin.com/MO/Saint-Louis/4454-Lindell-Blvd-63108/unit-32/home/93724951,MARIS as Distributed by MLS Grid,25049803,N,Y,38.6414613,-90.2565034
MLS Listing,,Single Family Residential,5853 Clemens Ave,St Louis,MO,63112,299900,3,3.0,West End Twnhse,1948,6024,2008,1,154,,Active,,,https://www.redfin.com/MO/Saint-Louis/5853-Clemens-Ave-63112/home/103203246,MARIS as Distributed by MLS Grid,25029524,N,Y,38.6570612,-90.2884136
MLS Listing,,Single Family Residential,5626 Greenton Way,St Louis,MO,63128,375000,4,2.5,Towne South Estates 3,1866,10798,1971,1,201,13,Active,August-1-2025 05:30 PM,August-1-2025 07:00 PM,https://www.redfin.com/MO/Saint-Louis/5626-Greenton-Way-63128/home/93615921,MARIS as Distributed by MLS Grid,25049809,N,Y,38.4791441,-90.3794518
MLS Listing,,Single Family Residential,8120 S Laclede Station Rd,Unincorporated,MO,63123,239900,4,1.0,Marlborough Gardens,1416,10079,1953,1,169,,Active,,,https://www.redfin.com/MO/Saint-Louis/8120-S-Laclede-Station-Rd-63123/home/62736952,MARIS as Distributed by MLS Grid,25050235,N,Y,38.5650788,-90.3401228
MLS Listing,,Single Family Residential,6316 Tholozan Ave,St Louis,MO,63109,399000,3,2.0,wenzlick park add,2403,4094,1931,1,166,,Active,August-3-2025 12:00 PM,August-3-2025 02:00 PM,https://www.redfin.com/MO/Saint-Louis/6316-Tholozan-Ave-63109/home/93780516,MARIS as Distributed by MLS Grid,25052494,N,Y,38.5961053,-90.2971749
MLS Listing,,Single Family Residential,2323 Macklind Ave,St Louis,MO,63110,359900,2,2.0,Columbia Macklind Heights Add,1238,4373,1925,1,291,,Active,,,https://www.redfin.com/MO/Saint-Louis/2323-Macklind-Ave-63110/home/93771688,MARIS as Distributed by MLS Grid,25052477,N,Y,38.6130636,-90.2781565
MLS Listing,,Single Family Residential,6365 Lansdowne Ave,St Louis,MO,63109,325000,3,2.0,St. Louis Hills Add,1179,5000,1950,1,276,,Active,August-3-2025 01:00 PM,August-3-2025 03:00 PM,https://www.redfin.com/MO/Saint-Louis/6365-Lansdowne-Ave-63109/home/93780101,MARIS as Distributed by MLS Grid,25051884,N,Y,38.5905169,-90.2994683
MLS Listing,,Single Family Residential,5644 Bartmer Ave,St Louis,MO,63146,299000,5,2.5,St Louis,3566,,1903,1,84,,Active,,,https://www.redfin.com/MO/Saint-Louis/5644-Bartmer-Ave-63112/home/93722467,MARIS as Distributed by MLS Grid,25052898,N,Y,38.6624685,-90.282542
MLS Listing,,Single Family Residential,8026 Genesta St,Unincorporated,MO,63123,197000,2,1.0,Genesta Place,783,4477,1941,1,252,,Active,August-2-2025 12:00 PM,August-2-2025 02:00 PM,https://www.redfin.com/MO/Saint-Louis/8026-Genesta-St-63123/home/93559916,MARIS as Distributed by MLS Grid,25039343,N,Y,38.5634464,-90.3105786
MLS Listing,,Single Family Residential,5036 Devonshire Ave,St Louis,MO,63109,399900,3,2.5,Southhampton Add,1820,6250,1916,1,220,,Active,August-1-2025 12:00 PM,August-1-2025 03:00 PM,https://www.redfin.com/MO/Saint-Louis/5036-Devonshire-Ave-63109/home/93753351,MARIS as Distributed by MLS Grid,25052662,N,Y,38.5871351,-90.2796118
MLS Listing,,Single Family Residential,2024 Blendon Pl,St Louis,MO,63143,440000,4,2.5,St Louis,2922,8450,,1,151,,Active,August-3-2025 01:00 PM,August-3-2025 03:00 PM,https://www.redfin.com/MO/Saint-Louis/2024-Blendon-Pl-63143/home/93744126,MARIS as Distributed by MLS Grid,25049369,N,Y,38.6210198,-90.3098075
MLS Listing,,Multi-Family (2-4 Unit),2008 Ann Ave,St Louis,MO,63104,300000,3,3.0,Allens Lafayette Park Add,2352,3241,1914,1,128,,Active,,,https://www.redfin.com/MO/Saint-Louis/2008-Ann-Ave-63104/home/93691278,MARIS as Distributed by MLS Grid,25012313,N,Y,38.608137,-90.2158171
MLS Listing,,Single Family Residential,6200 Deer Hollow Ct,St Louis,MO,63129,600000,4,3.5,Twin Hollows Lt 1 & Clifton Heights Lt Pts,3425,29185,2017,1,175,,Active,August-3-2025 01:00 PM,August-3-2025 03:00 PM,https://www.redfin.com/MO/Saint-Louis/6200-Deer-Hollow-Ct-63129/home/146516288,MARIS as Distributed by MLS Grid,25034987,N,Y,38.4527889,-90.2949164
MLS Listing,,Single Family Residential,6425 Myrlette Ct,St Louis,MO,63116,299000,2,1.5,Holly Hills Gardens Add,1700,9060,1953,1,176,,Active,August-3-2025 01:00 PM,August-3-2025 03:00 PM,https://www.redfin.com/MO/Saint-Louis/6425-Myrlette-Ct-63116/home/66604230,MARIS as Distributed by MLS Grid,25049900,N,Y,38.5713204,-90.279364
MLS Listing,,Single Family Residential,10814 Galena Ct,St Louis,MO,63123,295000,3,1.0,Tara 2,1444,9478,1956,1,204,,Active,August-3-2025 01:00 PM,August-3-2025 03:00 PM,https://www.redfin.com/MO/Saint-Louis/10814-Galena-Ct-63123/home/93584520,MARIS as Distributed by MLS Grid,25049296,N,Y,38.532052,-90.3560628
MLS Listing,,Single Family Residential,7141 Sharp Ave,St Louis,MO,63116,180000,2,2.0,Marwinette Place Addition,864,5292,1950,1,208,,Active,,,https://www.redfin.com/MO/Saint-Louis/7141-Sharp-Ave-63116/home/93784050,MARIS as Distributed by MLS Grid,25051946,N,Y,38.5610599,-90.2741521
MLS Listing,,Single Family Residential,4637 Littlebury Dr,St Louis,MO,63128,420000,4,3.0,Heather Heights Estates,4176,13521,1968,1,101,13,Active,August-2-2025 12:00 PM,August-2-2025 03:00 PM,https://www.redfin.com/MO/Saint-Louis/4637-Littlebury-Dr-63128/home/93602992,MARIS as Distributed by MLS Grid,25033019,N,Y,38.5029551,-90.3614124
