SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Single Family Residential,534 Pennsylvania Ave,Jackson,MS,39216,184900,2,1.0,Fondren,1502,8712,1939,1,123,,Active,,,https://www.redfin.com/MS/Jackson/534-Pennsylvania-Ave-39216/home/117942851,MLSU,2019000947,N,Y,32.3403873,-90.1745475
MLS Listing,,Single Family Residential,5232 Old Byram Rd,Byram,MS,39272,289000,3,2.5,Metes And Bounds,2201,129373,1999,1,131,,Active,,,https://www.redfin.com/MS/Byram/5232-Old-Byram-Rd-39272/home/118459925,MLSU,2019000932,N,Y,32.2043757,-90.2353721
MLS Listing,,Single Family Residential,11 Pear Orchard Park,Jackson,MS,39211,234900,3,2.0,Pear Orchard Park,1793,10454,1997,1,131,42,Active,,,https://www.redfin.com/MS/Jackson/11-Pear-Orchard-Park-39211/home/117577632,MLSU,4121095,N,Y,32.3924708,-90.1236968
MLS Listing,,Single Family Residential,335 Cummins St,Jackson,MS,39204,89000,3,2.0,Metes And Bounds,1286,10454,1954,1,69,,Active,,,https://www.redfin.com/MS/Jackson/335-Cummins-St-39204/home/166465242,MLSU,4121049,N,Y,32.2750915,-90.2200015
MLS Listing,,Single Family Residential,1034 Dorgan St,Jackson,MS,39204,24900,4,2.0,Jackson Belvedere,964,10890,1950,1,26,,Active,,,https://www.redfin.com/MS/Jackson/1034-Dorgan-St-39204/home/117298519,MLSU,4121017,N,Y,32.2743437,-90.234655
MLS Listing,,Single Family Residential,100 Rolling Meadows Dr,Jackson,MS,39211,180000,4,3.5,Rolling Meadows,2945,33541,1985,2,61,,Active,,,https://www.redfin.com/MS/Jackson/100-Rolling-Meadows-Dr-39211/home/117752793,MLSU,4120996,N,Y,32.3921587,-90.1116359
MLS Listing,,Single Family Residential,612 Heather Ln,Jackson,MS,39206,135000,4,2.0,Elmwood Park,1642,11325,1959,2,82,,Active,,,https://www.redfin.com/MS/Jackson/612-Heather-Ln-39206/home/118077470,MLSU,4120946,N,Y,32.3701534,-90.1813825
MLS Listing,,Single Family Residential,2955 Greenview Dr,Jackson,MS,39212,15000,3,1.0,Mcdowell,936,9147,1962,2,16,,Active,,,https://www.redfin.com/MS/Jackson/2955-Greenview-Dr-39212/home/118375612,MLSU,4120937,N,Y,32.2641374,-90.2241048
MLS Listing,,Single Family Residential,150 Stratford Dr,Jackson,MS,39212,439000,4,2.5,Metes And Bounds,7510,396831,1978,2,58,,Active,,,https://www.redfin.com/MS/Jackson/150-Stratford-Dr-39212/home/118362594,MLSU,4120929,N,Y,32.2403369,-90.3060035
MLS Listing,,Single Family Residential,554 Launcelot Rd,Jackson,MS,39206,149900,4,2.5,Watkins Glen,1459,10890,1950,2,103,,Active,,,https://www.redfin.com/MS/Jackson/554-Launcelot-Rd-39206/home/117673786,MLSU,4120924,N,Y,32.3618462,-90.1638869
MLS Listing,,Single Family Residential,329 Pine Ridge Rd,Jackson,MS,39206,159900,4,2.0,Del Rosa,1409,15246,1952,2,113,,Active,,,https://www.redfin.com/MS/Jackson/329-Pine-Ridge-Rd-39206/home/118020330,MLSU,4120913,N,Y,32.365283,-90.174846
MLS Listing,,Single Family Residential,702 Meadow View Cv,Jackson,MS,39272,335000,4,4.5,Brookwood,2231,26571,2006,2,150,,Active,,,https://www.redfin.com/MS/Byram/702-Meadow-View-Cv-39272/home/117831860,MLSU,4120901,N,Y,32.2154013,-90.2725244
MLS Listing,,Single Family Residential,127 Winged Foot Cir,Jackson,MS,39211,779000,4,3.0,Country Club Of Jackson,3707,87991,1974,3,210,133,Active,,,https://www.redfin.com/MS/Jackson/127-Winged-Foot-Cir-39211/home/117638644,MLSU,4120884,N,Y,32.3927877,-90.1030611
MLS Listing,,Vacant Land,3705 Terry Rd,Jackson,MS,39212,40000,,,Jackson,,60112,,3,,,Active,,,https://www.redfin.com/MS/Jackson/3705-Terry-Rd-39212/home/117978438,MLSU,4120881,N,Y,32.2471252,-90.228735
MLS Listing,,Single Family Residential,2115 Meadowbrook Rd,Jackson,MS,39211,299000,3,2.5,Meadowbrook Hills,2000,13068,1957,3,150,,Active,August-3-2025 02:00 PM,August-3-2025 04:00 PM,https://www.redfin.com/MS/Jackson/2115-Meadowbrook-Rd-39211/home/117365524,MLSU,4120867,N,Y,32.3482399,-90.1328708
MLS Listing,,Single Family Residential,1048 Meadow Heights Dr,Jackson,MS,39206,115000,3,3.0,Fondren/North Renaissance,2336,10018,1952,3,49,,Active,,,https://www.redfin.com/MS/Jackson/1048-Meadow-Heights-Dr-39206/home/117362477,MLSU,4120862,N,Y,32.35356,-90.160055
MLS Listing,,Single Family Residential,1704 Linden Pl,Jackson,MS,39202,129900,2,1.0,Belhaven/Belhaven Heights,1440,10018,1928,3,90,,Active,,,https://www.redfin.com/MS/Jackson/1704-Linden-Pl-39202/home/117335090,MLSU,4120806,N,Y,32.3205229,-90.1664024
MLS Listing,,Single Family Residential,126 Pine Cv,Jackson,MS,39212,118000,3,2.0,Willowood,1421,16988,1981,3,83,,Active,,,https://www.redfin.com/MS/Jackson/126-Pine-Cv-39212/home/117518641,MLSU,4120803,N,Y,32.2538278,-90.3054446
MLS Listing,,Single Family Residential,455 Eagle Ct,Byram,MS,39272,178500,3,2.0,Raintree Place,1547,8712,1986,4,115,,Active,,,https://www.redfin.com/MS/Byram/455-Eagle-Ct-39272/home/117414957,MLSU,4120775,N,Y,32.208947,-90.2565886
MLS Listing,,Single Family Residential,4574 Hanging Moss Rd,Jackson,MS,39206,74900,2,2.0,Elmwood Park,1306,23086,1951,4,57,,Active,,,https://www.redfin.com/MS/Jackson/4574-Hanging-Moss-Rd-39206/home/117733738,MLSU,4120740,N,Y,32.3671927,-90.1794497
MLS Listing,,Single Family Residential,316 E Mayes St,Jackson,MS,39206,184500,3,2.0,Fondren,1200,7840,1939,4,154,,Active,,,https://www.redfin.com/MS/Jackson/316-E-Mayes-St-39206/home/117606619,MLSU,4120711,N,Y,32.3450887,-90.1798608
MLS Listing,,Single Family Residential,4017 Pine Hill Dr,Jackson,MS,39206,242000,3,2.0,Fondren,1819,10890,1938,4,133,,Active,,,https://www.redfin.com/MS/Jackson/4017-Pine-Hill-Dr-39206/home/117253484,MLSU,4120709,N,Y,32.3453324,-90.1781095
MLS Listing,,Single Family Residential,1670 Kentwood Dr,Jackson,MS,39212,75000,3,2.0,Oak Forest,1170,23958,1956,4,64,,Active,,,https://www.redfin.com/MS/Jackson/1670-Kentwood-Dr-39212/home/117974804,MLSU,4120706,N,Y,32.267745,-90.252909
MLS Listing,,Single Family Residential,270 Myer Ave,Jackson,MS,39209,79900,3,1.5,West Park,1175,12632,1970,4,68,,Active,,,https://www.redfin.com/MS/Jackson/270-Myer-Ave-39209/home/117330034,MLSU,4120685,N,Y,32.316836,-90.2299935
MLS Listing,,Single Family Residential,3159 Alameda Dr,Jackson,MS,39212,37000,3,1.0,Alemeda,1255,16988,1950,5,29,,Active,,,https://www.redfin.com/MS/Jackson/3159-Alameda-Dr-39212/home/117489068,MLSU,4120673,N,Y,32.2582758,-90.2251778
MLS Listing,,Single Family Residential,1310 Collier Ave,Jackson,MS,39213,125000,3,1.0,Metes And Bounds,1054,43560,1954,5,119,,Active,,,https://www.redfin.com/MS/Jackson/1310-Collier-Ave-39213/home/118316702,MLSU,4120671,N,Y,32.350317,-90.1974226
MLS Listing,,Single Family Residential,751 Dorgan St,Jackson,MS,39204,41500,3,2.0,Creedenton,1400,13939,1955,5,30,,Active,,,https://www.redfin.com/MS/Jackson/751-Dorgan-St-39204/home/117834753,MLSU,4120657,N,Y,32.2718105,-90.2295938
MLS Listing,,Single Family Residential,1945 Camellia Ln,Jackson,MS,39204,82000,3,2.0,Garden Park,1525,11761,1958,6,54,,Active,,,https://www.redfin.com/MS/Jackson/1945-Camellia-Ln-39204/home/117890583,MLSU,4120607,N,Y,32.2796919,-90.233952
MLS Listing,,Single Family Residential,3678 Cavalier Dr,Jackson,MS,39216,519000,4,3.5,Fondren,2978,26571,1955,7,174,,Active,August-3-2025 03:00 PM,August-3-2025 05:00 PM,https://www.redfin.com/MS/Jackson/3678-Cavalier-Dr-39216/home/117567531,MLSU,4120552,N,Y,32.3420859,-90.1651282
MLS Listing,,Single Family Residential,410 Downing St,Jackson,MS,39216,199999,3,2.0,Northview Addition,1924,7840,1941,7,104,,Active,,,https://www.redfin.com/MS/Jackson/410-Downing-St-39216/home/117275300,MLSU,4120533,N,Y,32.3418968,-90.1784933
MLS Listing,,Single Family Residential,1341 E Northside Dr,Jackson,MS,39211,256500,3,2.0,Kimwood,2034,16552,1956,7,126,,Active,,,https://www.redfin.com/MS/Jackson/1341-E-Northside-Dr-39211/home/118025295,MLSU,4120526,N,Y,32.3554519,-90.1466758
MLS Listing,,Single Family Residential,609 Briarcliff Cir,Jackson,MS,39212,65000,3,2.0,Briarcliff,1613,13939,1976,7,40,,Active,,,https://www.redfin.com/MS/Jackson/609-Briarcliff-Cir-39212/home/117580461,MLSU,4120507,N,Y,32.2449164,-90.2485648
