SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Vacant Land,"Lot 1, Block 1 Greenbriar Rd",Billings,MT,59105,95000,,,LAKE HILLS SUB,,9600,,1,,,Active,,,https://www.redfin.com/MT/Billings/Lot-1-Block-1-Greenbriar-Rd-59105/home/194460627,BMTMLS,354579,N,Y,45.839258,-108.49865
MLS Listing,,Townhouse,1048 Picador Way,Billings,MT,59105,379900,3,3.5,Sterling Hills Townhomes,2224,,2007,1,171,275,Active,,,https://www.redfin.com/MT/Billings/1048-Picador-Way-59105/home/136303343,BMTMLS,354652,N,Y,45.8277893,-108.513212
MLS Listing,,Single Family Residential,112 Wyoming Ave Ave,Billings,MT,59101,439900,5,3.0,WEST SIDE ADD,3234,6500,1905,1,136,,Active,,,https://www.redfin.com/MT/Billings/112-Wyoming-Ave-59101/home/136184632,BMTMLS,354591,N,Y,45.7779322,-108.5184762
MLS Listing,,Vacant Land,TBD US Hghway 87 East,Billings,MT,59101,950000,,,Billings,,10672200,,1,,,Active,,,https://www.redfin.com/MT/Billings/TBD-U-S-Highway-87-E-59101/home/196776363,BMTMLS,354663,N,Y,45.744733,-108.378866
MLS Listing,,Townhouse,3254 Granger Ave Ave E Unit K1,Billings,MT,59102,220000,2,1.0,Timbers Townhomes,1268,,1982,1,174,200,Active,,,https://www.redfin.com/MT/Billings/3254-Granger-Ave-E-59102/unit-K1/home/136096025,BMTMLS,354589,N,Y,45.7578867,-108.5987965
MLS Listing,,Single Family Residential,8 Stanford Court Ct,Billings,MT,59102,719900,4,3.0,STANFORD COURT CONDO,4171,11391,1994,1,173,100,Active,,,https://www.redfin.com/MT/Billings/8-Stanford-Ct-59102/home/172981846,BMTMLS,354541,N,Y,45.7962101,-108.560504
MLS Listing,,Single Family Residential,1220 Tappadero Trl,Billings,MT,59101,569900,3,3.5,Whispering Pines,4231,73181,2001,1,135,,Active,,,https://www.redfin.com/MT/Billings/1220-Tappadero-Trl-59101/home/136553368,BMTMLS,354592,N,Y,45.8208164,-108.3813096
MLS Listing,,Single Family Residential,5419 Field Stone Ave,Billings,MT,59106,449900,4,3.5,Cottonwood Grove,2021,7560,2006,1,223,,Active,,,https://www.redfin.com/MT/Billings/5419-Field-Stone-Ave-59106/home/136346473,BMTMLS,354614,N,Y,45.7887944,-108.6547194
MLS Listing,,Single Family Residential,3107 Boulder Ave,Billings,MT,59102,259000,4,1.5,WOLF SUBD,2470,20247,1972,1,105,,Active,,,https://www.redfin.com/MT/Billings/3107-Boulder-Ave-59102/home/136461915,BMTMLS,354582,N,Y,45.7924969,-108.5932618
MLS Listing,,Single Family Residential,5339 Mule Deer Court Ct,Billings,MT,59106,1275000,5,4.0,GREENSLEEVES ESTATES,5310,47219,2008,1,240,73,Active,,,https://www.redfin.com/MT/Billings/5339-Mule-Deer-Ct-59106/home/196757305,BMTMLS,354656,N,Y,45.738809,-108.6510651
MLS Listing,,Single Family Residential,2758 Doss Ln,Billings,MT,59105,850000,5,3.0,DOSS ESTATES SUB,3640,57891,2008,1,234,,Active,,,https://www.redfin.com/MT/Billings/2758-Doss-Ln-59105/home/136118082,BMTMLS,354613,N,Y,45.8574911,-108.4155233
MLS Listing,,Condo/Co-op,1265 Yellowstone Ave,Billings,MT,59102,206000,1,1.0,CRESTVIEW CONDO BENNETT SUBD,870,,1984,1,237,149,Active,August-3-2025 12:30 PM,August-3-2025 02:00 PM,https://www.redfin.com/MT/Billings/1265-Yellowstone-Ave-59102/home/136110215,BMTMLS,354565,N,Y,45.7791722,-108.5479565
MLS Listing,,Vacant Land,"Lot 6, Blk 5 Serenity Estates Sub",Billings,MT,59106,150000,,,Serenity Estates Sub,,46938,,1,,,Active,,,https://www.redfin.com/MT/Billings/Lot-6-Blk-5-Serenity-Estates-Sub-59106/home/196755057,BMTMLS,354650,N,Y,45.724049,-108.63845
MLS Listing,,Vacant Land,"Lot 2, Blk 5 Serenity Estates Sub",Billings,MT,59106,150000,,,Serenity Estates Sub,,42696,,1,,,Active,,,https://www.redfin.com/MT/Billings/Lot-2-Blk-5-Serenity-Estates-Sub-59106/home/196755055,BMTMLS,354646,N,Y,45.724049,-108.63845
MLS Listing,,Vacant Land,"Lot 5, Blk 5 Serenity Estates Sub",Billings,MT,59106,165000,,,Serenity Estates Sub,,69657,,1,,,Active,,,https://www.redfin.com/MT/Billings/Lot-5-Blk-5-Serenity-Estates-Sub-59106/home/196755054,BMTMLS,354649,N,Y,45.724049,-108.63845
MLS Listing,,Vacant Land,"Lot 8, Blk 5 Serenity Estates Sub",Billings,MT,59106,150000,,,Serenity Estates Sub,,51329,,1,,,Active,,,https://www.redfin.com/MT/Billings/Lot-8-Blk-5-Serenity-Estates-Sub-59106/home/196755053,BMTMLS,354653,N,Y,45.724049,-108.63845
MLS Listing,,Vacant Land,"Lot 4, Blk 5 Serenity Estates Sub",Billings,MT,59106,150000,,,Serenity Estates Sub,,53337,,1,,,Active,,,https://www.redfin.com/MT/Billings/Lot-4-Blk-5-Serenity-Estates-Sub-59106/home/196755052,BMTMLS,354648,N,Y,45.724049,-108.63845
