SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Single Family Residential,3220 Queensland Rd,Raleigh,NC,27614,835000,5,4.0,Wakefield,4238,12197,2005,1,197,25,Active,August-3-2025 01:00 PM,August-3-2025 04:00 PM,https://www.redfin.com/NC/Raleigh/3220-Queensland-Rd-27614/home/41296887,TMLS,10112809,N,Y,35.936458,-78.5558379
MLS Listing,,Single Family Residential,3350 Alamance Dr,Raleigh,NC,27609,1385000,3,3.0,Country Club Hills,3148,24394,1952,1,440,,Active,August-2-2025 01:00 PM,August-2-2025 04:00 PM,https://www.redfin.com/NC/Raleigh/3350-Alamance-Dr-27609/home/41106151,TMLS,10112682,N,Y,35.8289449,-78.6627967
MLS Listing,,Single Family Residential,105 Tall Rock Ct,Raleigh,NC,27610,318000,2,2.0,Victoria Place,976,10019,1987,1,326,25,Active,August-3-2025 12:00 PM,August-3-2025 02:00 PM,https://www.redfin.com/NC/Raleigh/105-Tall-Rock-Ct-27610/home/41174044,TMLS,10112191,N,Y,35.7821156,-78.5974956
MLS Listing,,Single Family Residential,420 Camden St,Raleigh,NC,27601,899000,4,3.5,Not in a Subdivision,2168,6970,2021,6,415,,Active,,,https://www.redfin.com/NC/Raleigh/420-Camden-St-27601/home/174384633,TMLS,10111710,N,Y,35.7746056,-78.6267017
MLS Listing,,Single Family Residential,12426 Pawleys Mill Cir,Raleigh,NC,27614,659000,5,4.0,St James Place,2958,10454,2003,8,223,25,Active,,,https://www.redfin.com/NC/Raleigh/12426-Pawleys-Mill-Cir-27614/home/41282635,TMLS,10111100,N,Y,35.9599933,-78.5503453
MLS Listing,,Single Family Residential,5108 Old Valley St,Raleigh,NC,27603,299000,3,1.0,Homemont,1206,13939,1959,8,248,,Active,,,https://www.redfin.com/NC/Raleigh/5108-Old-Valley-St-27603/home/41105878,TMLS,10110432,N,Y,35.7090293,-78.6431505
MLS Listing,,Condo/Co-op,222 Glenwood Ave #219,Raleigh,NC,27603,592500,3,2.0,222 Glenwood,1389,,2007,13,427,544,Active,,,https://www.redfin.com/NC/Raleigh/222-Glenwood-Ave-27603/unit-219/home/41326161,TMLS,10110172,N,Y,35.7834748,-78.6472117
MLS Listing,,Single Family Residential,3427 Piping Plover Dr,Raleigh,NC,27616,510000,5,3.0,Massey Preserve South,2864,9583,2016,14,178,50,Active,,,https://www.redfin.com/NC/Raleigh/3427-Piping-Plover-Dr-27616/home/103508010,TMLS,10110044,N,Y,35.8653206,-78.5185419
MLS Listing,,Townhouse,410 Oak Run Dr,Raleigh,NC,27606,294000,3,3.0,Oak Run Townhomes,1515,1307,1987,48,194,180,Active,,,https://www.redfin.com/NC/Raleigh/410-Oak-Run-Dr-27606/home/41175667,TMLS,10102942,N,Y,35.7808437,-78.7337447
MLS Listing,,Townhouse,7731 Kingsberry Ct,Raleigh,NC,27615,274900,3,1.5,Crown Oaks,1269,1742,1983,49,217,198,Active,,,https://www.redfin.com/NC/Raleigh/7731-Kingsberry-Ct-27615/home/41151494,TMLS,10101494,N,Y,35.88613,-78.645411
MLS Listing,,Single Family Residential,104 Benedict Ln,Raleigh,NC,27614,595000,4,2.5,Wedgefield,1950,40075,1986,55,305,,Active,,,https://www.redfin.com/NC/Raleigh/104-Benedict-Ln-27614/home/41156709,TMLS,10101460,N,Y,35.940227,-78.6440525
MLS Listing,,Single Family Residential,821 Woodburn Rd,Raleigh,NC,27605,879000,4,2.5,Cameron Village,2144,12632,1950,56,410,,Active,August-2-2025 01:00 PM,August-2-2025 03:00 PM,https://www.redfin.com/NC/Raleigh/821-Woodburn-Rd-27605/home/41108535,TMLS,10101055,N,Y,35.7951682,-78.6558786
MLS Listing,,Single Family Residential,5113 Ranger Grove Way,Raleigh,NC,27604,480000,4,2.5,Peace River Village,2369,4792,2025,69,203,50,Active,,,https://www.redfin.com/NC/Raleigh/5113-Ranger-Grove-Way-27604/home/190002784,TMLS,10098377,N,Y,35.841256,-78.523807
MLS Listing,,Condo/Co-op,9211 Calabria Dr #104,Raleigh,NC,27617,439900,4,3.5,The Cottages at Brier Creek,2101,,2009,70,209,467,Active,,,https://www.redfin.com/NC/Raleigh/9211-Calabria-Dr-27617/unit-104/home/41331059,TMLS,10097934,N,Y,35.8989098,-78.7972986
MLS Listing,,Single Family Residential,10909 Raven Rock Dr,Raleigh,NC,27614,1065000,4,4.0,Alpine Forest,4268,108028,1972,70,250,,Active,,,https://www.redfin.com/NC/Raleigh/10909-Raven-Rock-Dr-27614/home/41090718,TMLS,10096057,N,Y,35.9379754,-78.6527501
MLS Listing,,Single Family Residential,712 Beaver Dam Rd,Raleigh,NC,27607,599000,3,3.0,Ridgewood,2607,12196,1961,76,230,,Active,,,https://www.redfin.com/NC/Raleigh/712-Beaver-Dam-Rd-27607/home/41091450,TMLS,10096981,N,Y,35.7989522,-78.6813894
MLS Listing,,Townhouse,1602 Bowery Dr,Raleigh,NC,27607,589000,3,3.5,Trinity Brownstones,2212,1307,2018,76,266,225,Active,,,https://www.redfin.com/NC/Raleigh/1602-Bowery-Dr-27607/home/160459918,TMLS,10096879,N,Y,35.804714,-78.7375446
MLS Listing,,Single Family Residential,5456 Grand Traverse Dr,Raleigh,NC,27604,329000,3,2.5,Hedingham,1463,4792,1998,93,225,146,Active,,,https://www.redfin.com/NC/Raleigh/5456-Grand-Traverse-Dr-27604/home/41225954,TMLS,10092575,N,Y,35.8081153,-78.5412736
MLS Listing,,Single Family Residential,2157 Dunn Rd,Raleigh,NC,27614,399000,3,2.5,Falls River,1679,3920,2000,95,238,33,Active,,,https://www.redfin.com/NC/Raleigh/2157-Dunn-Rd-27614/home/41243803,TMLS,10091300,N,Y,35.9197253,-78.5702951
MLS Listing,,Condo/Co-op,2306 Stafford Ave Unit A,Raleigh,NC,27607,425000,2,2.0,Stafford Place,927,,1987,119,458,150,Active,,,https://www.redfin.com/NC/Raleigh/2306-Stafford-Ave-27607/unit-A/home/41249464,TMLS,10086547,N,Y,35.7907443,-78.6645834
MLS Listing,,Single Family Residential,212 Blanchard St,Raleigh,NC,27603,305000,3,1.0,Hertford Village,1032,18295,1954,1,296,,Active,,,https://www.redfin.com/NC/Raleigh/212-Blanchard-St-27603/home/41072374,TMLS,10112738,N,Y,35.7438653,-78.6432364
MLS Listing,,Single Family Residential,7516 Grist Mill Rd,Raleigh,NC,27615,2749900,5,5.5,North Ridge,4595,13939,2024,1,598,,Active,,,https://www.redfin.com/NC/Raleigh/7516-Grist-Mill-Rd-27615/home/41225038,TMLS,10113065,N,Y,35.8865705,-78.6194086
MLS Listing,,Single Family Residential,4605 Fernham Pl,Raleigh,NC,27612,618900,4,2.5,Oak Park,2324,18730,1968,1,266,,Active,August-2-2025 01:00 PM,August-2-2025 03:00 PM,https://www.redfin.com/NC/Raleigh/4605-Fernham-Pl-27612/home/41075194,TMLS,10113057,N,Y,35.8451137,-78.7058062
MLS Listing,,Townhouse,1738 Quail Ridge Road Rd,Raleigh,NC,27609,269900,3,2.5,Sweetbriar Forest,1406,1306,1973,1,192,,Active,,,https://www.redfin.com/NC/Raleigh/1738-Quail-Ridge-Rd-27609/home/41121736,TMLS,10113041,N,Y,35.8548159,-78.6085052
MLS Listing,,Single Family Residential,5220 Crescent Square St,Raleigh,NC,27616,600000,5,4.0,5401 North,3616,9148,2020,1,166,114,Active,,,https://www.redfin.com/NC/Raleigh/5220-Crescent-Square-St-27616/home/170582717,TMLS,10113036,N,Y,35.8586945,-78.5388715
MLS Listing,,Single Family Residential,2516 Stonehenge Park Dr,Raleigh,NC,27613,984500,4,4.0,Stonehenge Park,3200,10890,2011,1,308,42,Active,,,https://www.redfin.com/NC/Raleigh/2516-Stonehenge-Park-Dr-27613/home/41330017,TMLS,10113024,N,Y,35.8867422,-78.6874337
MLS Listing,,Condo/Co-op,8031 Allyns Landing Way #303,Raleigh,NC,27615,345000,2,2.0,Allyns Landing,1283,,2004,1,269,445,Active,,,https://www.redfin.com/NC/Raleigh/8031-Allyns-Landing-Way-27615/unit-303/home/41291599,TMLS,10112990,N,Y,35.8902645,-78.6510583
MLS Listing,,Single Family Residential,904 Willow Run South Dr,Raleigh,NC,27615,950000,3,3.0,Willow Run,3837,37026,1982,1,248,,Active,August-1-2025 04:00 PM,August-1-2025 06:00 PM,https://www.redfin.com/NC/Raleigh/904-Willow-Run-South-Dr-27615/home/41334785,TMLS,10112989,N,Y,35.878491,-78.6330533
MLS Listing,,Single Family Residential,4729 Adler Pass,Raleigh,NC,27612,1349000,4,4.0,The Hamptons at Umstead,4085,17149,2013,1,330,110,Active,,,https://www.redfin.com/NC/Raleigh/4729-Adler-Pass-27612/home/44546562,TMLS,10112971,N,Y,35.8404317,-78.7228584
MLS Listing,,Townhouse,1001 High Lake Ct,Raleigh,NC,27606,330000,3,2.0,Lakeview,1764,3485,1988,1,187,230,Active,,,https://www.redfin.com/NC/Raleigh/1001-High-Lake-Ct-27606/home/41179390,TMLS,10112968,N,Y,35.7669343,-78.7066636
MLS Listing,,Single Family Residential,5108 Crescent Square Street St,Raleigh,NC,27616,649000,5,5.0,5401 North,3988,7405,2021,1,163,114,Active,,,https://www.redfin.com/NC/Raleigh/5108-Crescent-Square-St-27616/home/171423167,TMLS,10112946,N,Y,35.8570604,-78.5360941
MLS Listing,,Single Family Residential,3225 Marie Dr,Raleigh,NC,27604,749000,4,2.5,Timberlake,3203,23522,1965,1,234,29,Active,,,https://www.redfin.com/NC/Raleigh/3225-Marie-Dr-27604/home/41106915,TMLS,10112926,N,Y,35.8040859,-78.588594
MLS Listing,,Single Family Residential,9109 Club Hill Dr,Raleigh,NC,27617,800000,4,2.5,Brier Creek Country Club,2746,11761,2001,1,291,236,Active,,,https://www.redfin.com/NC/Raleigh/9109-Club-Hill-Dr-27617/home/41252568,TMLS,10112923,N,Y,35.9077734,-78.792241
MLS Listing,,Single Family Residential,2301 Sapphire Valley Dr,Raleigh,NC,27604,350000,3,2.5,Hedingham,1650,3484,2002,1,212,65,Active,August-2-2025 11:00 AM,August-2-2025 02:00 PM,https://www.redfin.com/NC/Raleigh/2301-Sapphire-Valley-Dr-27604/home/41277848,TMLS,10112921,N,Y,35.8150199,-78.5427711
MLS Listing,,Single Family Residential,3709 Turnbull Ct,Raleigh,NC,27616,355000,3,3.0,Neuse Crossing,1604,8712,1993,1,221,11,Active,,,https://www.redfin.com/NC/Raleigh/3709-Turnbull-Ct-27616/home/41197218,TMLS,10112914,N,Y,35.8842855,-78.5191188
MLS Listing,,Townhouse,7002 Racine Way,Raleigh,NC,27615,349900,3,2.5,Northridge Trace,1550,1742,2008,1,226,120,Active,,,https://www.redfin.com/NC/Raleigh/7002-Racine-Way-27615/home/41322254,TMLS,10112906,N,Y,35.8759172,-78.594753
MLS Listing,,Single Family Residential,5001 Alenja Ln,Raleigh,NC,27616,440000,5,3.0,Triple Creek at Valley Stream,2468,9583,2003,1,178,31,Active,August-2-2025 12:00 PM,August-2-2025 02:00 PM,https://www.redfin.com/NC/Raleigh/5001-Alenja-Ln-27616/home/41273254,TMLS,10112905,N,Y,35.8417994,-78.5591547
MLS Listing,,Townhouse,3107 White Blossom Ct,Raleigh,NC,27610,338990,3,3.5,The Maple Townes,1897,,2025,1,179,340,Active,,,https://www.redfin.com/NC/Raleigh/3107-White-Blossom-Ct-27610/home/196036772,TMLS,10112897,N,Y,35.77285385131836,-78.58887481689453
MLS Listing,,Single Family Residential,3005 Glen Burnie Dr,Raleigh,NC,27607,675000,4,2.5,Meredith Woods,2354,18730,1973,1,287,,Active,August-2-2025 02:00 PM,August-2-2025 04:00 PM,https://www.redfin.com/NC/Raleigh/3005-Glen-Burnie-Dr-27607/home/41069729,TMLS,10112896,N,Y,35.82362,-78.6937868
MLS Listing,,Condo/Co-op,618 N Boylan Ave #1020,Raleigh,NC,27603,549000,2,2.0,Paramount,1164,,2005,1,472,614,Active,,,https://www.redfin.com/NC/Raleigh/618-N-Boylan-Ave-27603/unit-1020/home/41303086,TMLS,10112892,N,Y,35.7879321,-78.6484287
