SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Single Family Residential,1735 S 25 St,Lincoln,NE,68502,375000,7,2.5,7HCN131 - Mt Emerald Historic District,3310,8712,1920,1,113,,Active,,,https://www.redfin.com/NE/Lincoln/1735-S-25th-St-68502/home/134387283,GPRMLS,22517675,N,Y,40.7946391,-96.6862044
MLS Listing,,Vacant Land,8330 Colby Ct,Lincoln,NE,68505,1000000,,,East Central Lincoln,,103566,,1,,,Active,,,https://www.redfin.com/NE/Lincoln/8330-Colby-Ct-68505/home/195741883,GPRMLS,22521616,N,Y,40.8335415,-96.6065186
MLS Listing,,Single Family Residential,6928 Ballard Ave,Lincoln,NE,68507,164900,2,1.0,Havelock - Low,888,6970,1915,1,186,,Active,,,https://www.redfin.com/NE/Lincoln/6928-Ballard-Ave-68507/home/134484829,GPRMLS,22521614,N,Y,40.8561583,-96.6257608
MLS Listing,,Single Family Residential,8700 Honeybee Ln,Lincoln,NE,68526,849900,5,3.0,Jensen View,3633,9123,2025,1,234,13,Active,August-3-2025 02:00 PM,August-3-2025 03:00 PM,https://www.redfin.com/NE/Lincoln/8700-Honeybee-Ln-68526/home/195781259,GPRMLS,22521615,N,Y,40.7182588,-96.6016991
MLS Listing,,Single Family Residential,1150 Lake St,Lincoln,NE,68502,159900,1,1.0,Original Plat,528,5227,1946,1,303,,Active,,,https://www.redfin.com/NE/Lincoln/1150-Lake-St-68502/home/135375578,GPRMLS,22521613,N,Y,40.7882393,-96.704128
MLS Listing,,Townhouse,5730 Brickmark Pl,Lincoln,NE,68516,599900,4,3.0,Alex Lane Townhomes Addition,2636,6486,2025,1,228,,Active,,,https://www.redfin.com/NE/Lincoln/5730-Brickmark-Ln-68516/home/187791283,GPRMLS,22521589,N,Y,40.7470121,-96.6421375
MLS Listing,,Townhouse,5724 Brickmark Pl,Lincoln,NE,68516,579900,3,3.0,Alex Lane Townhomes Addition,2632,4284,2025,1,220,,Active,,,https://www.redfin.com/NE/Lincoln/5724-Brickmark-Ln-68516/home/196774270,GPRMLS,22521584,N,Y,40.7470141,-96.6422928
MLS Listing,,Single Family Residential,8901 Appaloosa Ln,Lincoln,NE,68520,869975,5,4.0,WHITE HORSE 3RD ADDITION,3684,10400,2025,1,236,13,Active,August-3-2025 01:00 PM,August-3-2025 02:30 PM,https://www.redfin.com/NE/Lincoln/8901-Appaloosa-Ln-68520/home/182595507,GPRMLS,22521567,N,Y,40.8024847,-96.5995753
MLS Listing,,Single Family Residential,8909 Appaloosa Ln,Lincoln,NE,68520,859975,5,3.5,White Horse,3617,12350,2025,1,238,13,Active,August-3-2025 01:00 PM,August-3-2025 02:30 PM,https://www.redfin.com/NE/Lincoln/8909-Appaloosa-Ln-68520/home/182595506,GPRMLS,22521565,N,Y,40.802588,-96.599258
MLS Listing,,Single Family Residential,1401 S 58 St,Lincoln,NE,68506,259000,2,1.5,Park Manor North,1368,8712,1955,1,189,,Active,August-3-2025 01:00 PM,August-3-2025 03:00 PM,https://www.redfin.com/NE/Lincoln/1401-S-58th-St-68506/home/135197489,GPRMLS,22521549,N,Y,40.7986699,-96.6412422
MLS Listing,,Single Family Residential,2767 California Ct,Lincoln,NE,68510,184000,2,1.0,Elliot - Low,933,2614,1920,1,197,,Active,August-3-2025 01:00 PM,August-3-2025 02:30 PM,https://www.redfin.com/NE/Lincoln/2767-California-Ct-68510/home/134358585,GPRMLS,22513431,N,Y,40.805359,-96.6806447
MLS Listing,,Single Family Residential,4000 Worthington Ave,Lincoln,NE,68502,220000,3,2.0,SOUTH HILLS,1866,6619,1953,1,118,,Active,,,https://www.redfin.com/NE/Lincoln/4000-Worthington-Ave-68502/home/134334146,GPRMLS,22518964,N,Y,40.7734897,-96.6929677
MLS Listing,,Single Family Residential,2771 S 34th St,Lincoln,NE,68506,229900,2,2.0,Peterson's Subdivision,1228,7012,1946,1,187,,Active,August-3-2025 01:00 PM,August-3-2025 02:30 PM,https://www.redfin.com/NE/Lincoln/2771-S-34th-St-68506/home/135186181,GPRMLS,22520849,N,Y,40.7848373,-96.6719011
MLS Listing,,Townhouse,2201 Winding Way,Lincoln,NE,68506,287000,3,3.0,TH-Lincoln Meadows,2030,2614,1978,1,141,166,Active,,,https://www.redfin.com/NE/Lincoln/2201-Winding-Way-68506/home/135280699,GPRMLS,22513636,N,Y,40.7907174,-96.6332137
MLS Listing,,Single Family Residential,3430 N 74th St,Lincoln,NE,68507,319900,3,3.0,Golf Park / Hallcrest,2128,6534,1978,1,150,,Active,August-1-2025 05:30 PM,August-1-2025 07:30 PM,https://www.redfin.com/NE/Lincoln/3430-N-74th-St-68507/home/135071112,GPRMLS,22517445,N,Y,40.8468491,-96.6208733
MLS Listing,,Single Family Residential,960 Barker Ln,Lincoln,NE,68521,325000,3,2.5,Hartland's Garden Valley,1253,7405,2018,1,259,32,Active,,,https://www.redfin.com/NE/Lincoln/960-Barker-Ln-68521/home/144070872,GPRMLS,22520054,N,Y,40.8772573,-96.7062831
MLS Listing,,Single Family Residential,928 Clark St,Lincoln,NE,68510,239999,3,2.0,Woods Park,1284,6534,1947,1,187,,Active,,,https://www.redfin.com/NE/Lincoln/928-Clark-Ave-68510/home/134621086,GPRMLS,22519889,N,Y,40.803801,-96.666485
MLS Listing,,Single Family Residential,6301 SW 34 Ct,Lincoln,NE,68523,523000,4,1.0,09-17-v2OD / SILVER BELL?,1736,197032,1900,1,301,,Active,August-2-2025 01:00 PM,August-2-2025 02:00 PM,https://www.redfin.com/NE/Lincoln/6301-SW-34th-St-68523/home/134705348,GPRMLS,22521537,N,Y,40.7490878,-96.7705963
MLS Listing,,Single Family Residential,857 W Alameda St,Lincoln,NE,68523,449230,4,3.5,SW Village,2638,7616,2025,1,170,33,Active,,,https://www.redfin.com/NE/Lincoln/857-W-Alameda-ST-68523/home/196757296,GPRMLS,22521526,N,Y,40.7306409,-96.7601057
MLS Listing,,Single Family Residential,833 W El Alameda St,Lincoln,NE,68523,494980,5,3.0,SW Village,2720,9600,2025,1,182,33,Active,,,https://www.redfin.com/NE/Lincoln/833-W-El-Alameda-St-68523/home/196756023,GPRMLS,22521512,N,Y,40.7528722,-96.7337587
MLS Listing,,Multi-Family (2-4 Unit),3821 Saint Paul Ave,Lincoln,NE,68504,390000,7,4.0,North Central Lincoln,3158,7810,1972,1,123,,Active,,,https://www.redfin.com/NE/Lincoln/3821-Saint-Paul-Ave-68504/home/164665923,GPRMLS,22521509,N,Y,40.839068,-96.6661557
MLS Listing,,Single Family Residential,7331 Whitewater Ln,Lincoln,NE,68521,380000,4,5.0,Stone Bridge Creek,2470,7405,2006,1,154,8,Active,August-3-2025 01:00 PM,August-3-2025 02:00 PM,https://www.redfin.com/NE/Lincoln/7331-Whitewater-Ln-68521/home/134562316,GPRMLS,22521506,N,Y,40.8851206,-96.7005112
MLS Listing,,Single Family Residential,2429 NW 57th St,Lincoln,NE,68524,310000,4,3.0,Olympic Heights West,1835,7110,2020,1,169,30,Active,August-1-2025 05:00 PM,August-1-2025 06:30 PM,https://www.redfin.com/NE/Lincoln/2429-NW-57th-St-68524/home/169992630,GPRMLS,22515561,N,Y,40.837341,-96.797557
MLS Listing,,Single Family Residential,4831 N 25th St,Lincoln,NE,68521,315000,3,2.0,Bicentennial Estates,2106,6000,1991,1,150,8,Active,August-1-2025 05:00 PM,August-1-2025 06:30 PM,https://www.redfin.com/NE/Lincoln/4831-N-25th-St-68521/home/134274016,GPRMLS,22521482,N,Y,40.8595251,-96.6851778
MLS Listing,,Multi-Family (5+ Unit),405 N 25th St,Lincoln,NE,68503,330000,,5.0,EDDYS,,,1900,1,,,Active,,,https://www.redfin.com/NE/Lincoln/405-N-25th-St-68503/home/134706096,GPRMLS,22521479,N,Y,40.8171252,-96.6854906
MLS Listing,,Single Family Residential,901 S 24th St,Lincoln,NE,68510,151900,1,1.0,Near South,981,3990,1900,1,155,,Active,,,https://www.redfin.com/NE/Lincoln/901-S-24th-St-68510/home/134948458,GPRMLS,22521463,N,Y,40.8045731,-96.6869006
MLS Listing,,Single Family Residential,9901 Sweet Water Rd,Lincoln,NE,68527,514900,4,3.0,Waterford Estates North,2945,10890,2016,1,175,23,Active,,,https://www.redfin.com/NE/Lincoln/9901-Sweet-Water-Rd-68527/home/136080361,GPRMLS,22521459,N,Y,40.8235164,-96.5872144
MLS Listing,,Single Family Residential,7610 N 50th St,Lincoln,NE,68514,321260,3,2.5,Northbank Preserve,1150,6595,2025,1,279,10,Active,,,https://www.redfin.com/NE/Lincoln/7610-N-50th-ST-68514/home/193804990,GPRMLS,22521455,N,Y,40.9644088,-96.6370893
MLS Listing,,Vacant Land,8833 Grey Hawk Ct,Lincoln,NE,68526,189000,,,Boulder Ridge,,13296,,1,,13,Active,,,https://www.redfin.com/NE/Lincoln/8833-Greyhawk-Ct-68526/home/169774468,GPRMLS,22521456,N,Y,40.7446794,-96.5992296
MLS Listing,,Single Family Residential,4911 S 76th St,Lincoln,NE,68516,469000,5,3.0,Edenton North,3574,9685,2004,1,131,4,Active,August-2-2025 01:00 PM,August-2-2025 03:00 PM,https://www.redfin.com/NE/Lincoln/4911-S-76th-St-68516/home/134687829,GPRMLS,22518013,N,Y,40.7643546,-96.6176558
MLS Listing,,Condo/Co-op,1540 N Cotner Blvd Unit A7,Lincoln,NE,68505,98500,1,1.0,Cotner Center Condominium,731,436,1974,1,135,315,Active,,,https://www.redfin.com/NE/Lincoln/1540-N-Cotner-Blvd-68505/unit-A7/home/135198958,GPRMLS,22521435,N,Y,40.8282264,-96.6297521
MLS Listing,,Townhouse,2601 Bishop Ln #15,Lincoln,NE,68502,357000,2,2.0,Bishop Square,1636,6970,1974,1,218,380,Active,,,https://www.redfin.com/NE/Lincoln/2601-S-Bishop-Hts-68502/unit-15/home/134976816,GPRMLS,22521429,N,Y,40.7727829,-96.6836941
MLS Listing,,Townhouse,7720 Viburnum Dr,Lincoln,NE,68516,595000,4,2.5,THE PRESERVE ON ANTELOPE CREEK 20TH ADDI,3066,5807,2016,1,194,175,Active,August-2-2025 01:00 PM,August-2-2025 02:30 PM,https://www.redfin.com/NE/Lincoln/7720-Viburnum-Dr-68516/home/136087596,GPRMLS,22521427,N,Y,40.768274,-96.614472
MLS Listing,,Condo/Co-op,3001 S 51st Street Ct #440,Lincoln,NE,68506,159000,2,1.0,Van Dorn Villa Condominium,935,,1986,1,170,455,Active,,,https://www.redfin.com/NE/Lincoln/3001-S-51st-Street-Ct-68506/unit-440/home/135394373,GPRMLS,22521423,N,Y,40.782984,-96.651712
MLS Listing,,Condo/Co-op,4359 Normal Blvd #30,Lincoln,NE,68506,215000,2,1.0,Eagle Hollow,995,1742,1985,1,216,285,Active,,,https://www.redfin.com/NE/Lincoln/4359-Normal-Blvd-68506/unit-30/home/135315184,GPRMLS,22521418,N,Y,40.7881288,-96.6591765
MLS Listing,,Townhouse,4029 N 18th St,Lincoln,NE,68521,240000,3,2.5,Hunters Pointe,1738,5040,2007,1,138,115,Active,,,https://www.redfin.com/NE/Lincoln/4029-N-18th-St-68521/home/134796930,GPRMLS,22521417,N,Y,40.8518385,-96.6960566
