SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Condo/Co-op,111 Coburn Ave #153,Nashua,NH,03063,344000,2,1.5,Nashua,960,,1977,1,358,250,Active,August-2-2025 11:00 AM,August-2-2025 01:00 PM,https://www.redfin.com/NH/Nashua/111-Coburn-Ave-03063/unit-153/home/88081600,PrimeMLS,5054501,N,Y,42.7672076,-71.5173835
MLS Listing,,Condo/Co-op,199 Cannongate Iii #199,Nashua,NH,03063,285900,2,1.5,Nashua,1200,,1979,1,238,375,Active,,,https://www.redfin.com/NH/Nashua/199-Cannongate-III-Rd-03063/unit-199/home/96603429,MLS PIN,73412404,N,Y,42.7836608,-71.5000861
MLS Listing,,Single Family Residential,18 Vieckis Dr,Nashua,NH,03062,650000,4,1.5,Nashua,1941,20473,1968,1,335,,Active,,,https://www.redfin.com/NH/Nashua/18-Vieckis-Dr-03062/home/88084466,PrimeMLS,5054559,N,Y,42.7198003,-71.4769329
MLS Listing,,Condo/Co-op,199 Cannongate III Rd,Nashua,NH,03063,285900,2,1.5,Nashua,1200,,1979,1,238,375,Active,August-3-2025 11:00 AM,August-3-2025 01:00 PM,https://www.redfin.com/NH/Nashua/199-Cannongate-III-Rd-03063/home/196774242,PrimeMLS,5054529,N,Y,42.7836608,-71.5000861
MLS Listing,,Condo/Co-op,3 Roedean Dr #103,Nashua,NH,03063,220000,1,1.0,Nashua,648,,1986,1,340,297,Active,August-3-2025 01:00 PM,August-3-2025 03:00 PM,https://www.redfin.com/NH/Nashua/3-Roedean-Dr-03063/unit-103/home/88087210,PrimeMLS,5054519,N,Y,42.7997086,-71.5304294
MLS Listing,,Condo/Co-op,20 Ledgewood Hills Dr #103,Nashua,NH,03062,300000,1,1.0,Nashua,862,,1986,1,348,596,Active,,,https://www.redfin.com/NH/Nashua/20-Ledgewood-Hills-Dr-03062/unit-103/home/88081337,PrimeMLS,5054478,N,Y,42.7395199,-71.5085859
MLS Listing,,Condo/Co-op,56B Lund Rd Unit B,Nashua,NH,03060,389900,3,1.5,Nashua,1403,,1930,1,278,,Active,,,https://www.redfin.com/NH/Nashua/56-Lund-Rd-03060/unit-B/home/60348426,PrimeMLS,5054412,N,Y,42.7437886,-71.4865858
MLS Listing,,Condo/Co-op,7 Deerwood Dr Unit A,Nashua,NH,03063,505000,3,2.5,Nashua,1401,,2018,1,360,275,Active,August-2-2025 10:00 AM,August-2-2025 12:00 PM,https://www.redfin.com/NH/Nashua/7-Deerwood-Dr-03063/unit-A/home/143844326,PrimeMLS,5054411,N,Y,42.79242,-71.5245725
MLS Listing,,Single Family Residential,18 Navaho St,Nashua,NH,03063,499900,3,1.0,Nashua,1726,10018,1963,1,290,,Active,August-2-2025 10:00 AM,August-2-2025 01:00 PM,https://www.redfin.com/NH/Nashua/18-Navaho-St-03063/home/88081741,PrimeMLS,5054396,N,Y,42.7600869,-71.5048935
MLS Listing,,Single Family Residential,22 Gilman St,Nashua,NH,03060,539000,5,2.0,Nashua,1560,10890,1880,1,346,,Active,August-3-2025 11:30 AM,August-3-2025 01:00 PM,https://www.redfin.com/NH/Nashua/22-Gilman-St-03060/home/88095568,PrimeMLS,5054387,N,Y,42.7518591,-71.4707454
MLS Listing,,Condo/Co-op,2 Roedean Dr #106,Nashua,NH,03063,250000,1,1.0,Nashua,648,,1987,1,386,252,Active,August-3-2025 01:00 PM,August-3-2025 03:00 PM,https://www.redfin.com/NH/Nashua/2-Roedean-Dr-03063/unit-106/home/88088687,PrimeMLS,5054377,N,Y,42.7990314,-71.5302162
MLS Listing,,Single Family Residential,10 Shelley Dr,Nashua,NH,03062,775000,4,2.5,Nashua,3028,22651,1975,1,256,,Active,August-1-2025 04:30 PM,August-1-2025 06:00 PM,https://www.redfin.com/NH/Nashua/10-Shelley-Dr-03062/home/88088825,PrimeMLS,5054324,N,Y,42.720576,-71.4735814
MLS Listing,,Single Family Residential,76 Atherton Ave,Nashua,NH,03064,550000,4,1.5,Nashua,1838,13503,1955,1,299,,Active,,,https://www.redfin.com/NH/Nashua/76-Atherton-Ave-03064/home/88096883,PrimeMLS,5054301,N,Y,42.7725409,-71.4575497
