SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Single Family Residential,665 Eddy Rd,Cleveland,OH,44108,69000,3,1.0,Adams Realty Companys 04,1374,2674,1900,7,50,,Active,,,https://www.redfin.com/OH/Cleveland/665-Eddy-Rd-44108/home/70764582,MLSNOW,5142320,N,Y,41.5389749,-81.6005866
MLS Listing,,Multi-Family (2-4 Unit),11017 Notre Dame Ave,Cleveland,OH,44104,145000,5,2.0,Graham,1850,4159,1924,82,78,,Active,,,https://www.redfin.com/OH/Cleveland/11017-Notre-Dame-Ave-44104/home/70777370,MLSNOW,5112109,N,Y,41.4908001,-81.6075532
MLS Listing,,Multi-Family (2-4 Unit),1326 W 64th St,Cleveland,OH,44102,470000,5,2.0,Jacob B Perkins,2773,4199,1910,126,169,,Active,,,https://www.redfin.com/OH/Cleveland/1326-W-64th-St-44102/home/70720081,MLSNOW,5109038,N,Y,41.4862922,-81.7295565
MLS Listing,,Single Family Residential,14705 Alder Ave,East Cleveland,OH,44112,50000,5,1.5,Davis J Crocker Allotment,,5079,1916,1,,,Active,,,https://www.redfin.com/OH/Cleveland/14705-Alder-Ave-44112/home/66119518,MLSNOW,5144452,N,Y,41.5431288,-81.5787795
MLS Listing,,Single Family Residential,2028 W 104th St,Cleveland,OH,44102,89900,3,1.5,Cudell,1578,3955,1890,1,57,,Active,,,https://www.redfin.com/OH/Cleveland/2028-W-104th-St-44102/home/70723609,MLSNOW,5144441,N,Y,41.4761956,-81.7580592
MLS Listing,,Condo/Co-op,13415 Shaker Blvd Unit 8D2,Cleveland,OH,44120,400000,2,1.5,Moreland Courts,1724,,1925,1,232,1848,Active,,,https://www.redfin.com/OH/Cleveland/13415-Shaker-Blvd-44120/unit-8D2/home/66229760,MLSNOW,5143881,N,Y,41.4841974,-81.5887988
MLS Listing,,Single Family Residential,13606 Darley Ave,Cleveland,OH,44110,105000,3,1.0,Henry C Wick Sub,,4678,1925,1,,,Active,,,https://www.redfin.com/OH/Cleveland/13606-Darley-Ave-44110/home/70767527,MLSNOW,5144780,N,Y,41.5626826,-81.5882007
MLS Listing,,Single Family Residential,3872 E 154 St,Cleveland,OH,44128,100000,5,1.0,Cleveland,1844,5227,1928,1,54,,Active,,,https://www.redfin.com/OH/Cleveland/3872-E-154th-St-44128/home/66187372,MLSNOW,5144374,N,Y,41.4540408,-81.5733801
MLS Listing,,Vacant Land,Grand Division Ave,Garfield Heights,OH,44125,7200,,,Orchard Grove Allotment,,4878,,1,,,Active,,,https://www.redfin.com/OH/Cleveland/Grand-Division-Ave-44125/home/70915518,MLSNOW,5144783,N,Y,41.434381,-81.633354
MLS Listing,,Single Family Residential,2786 E 127th St,Cleveland,OH,44120,119900,3,1.0,William M Southerns Brugge Fa,1080,5161,1917,1,111,,Active,,,https://www.redfin.com/OH/Cleveland/2786-E-127th-St-44120/home/70783272,MLSNOW,5144734,N,Y,41.4823963,-81.5942316
MLS Listing,,Condo/Co-op,12581 Larchmere Blvd #1,Cleveland,OH,44120,415000,2,3.5,Larchmere Court Condos,1944,,2006,1,213,254,Active,,,https://www.redfin.com/OH/Cleveland/12581-Larchmere-Blvd-44120/unit-1/home/196752636,MLSNOW,5144710,N,Y,41.4881194,-81.5958565
MLS Listing,,Condo/Co-op,1260 4th St W #604,Cleveland,OH,44114,539000,2,2.0,Erie Bldg Lofts Condo,,2182,1900,1,,281,Active,,,https://www.redfin.com/OH/Cleveland/1260-W-4th-St-44113/unit-604/home/66168733,MLSNOW,5140395,N,Y,41.5009787,-81.6987637
MLS Listing,,Multi-Family (2-4 Unit),9710 Lamontier Ave,Cleveland,OH,44104,79900,4,2.0,Johnson Realty Companys,,4024,1918,1,,,Active,,,https://www.redfin.com/OH/Cleveland/9710-Lamontier-Ave-44104/home/70781876,MLSNOW,5144665,N,Y,41.4778586,-81.6170267
MLS Listing,,Single Family Residential,3786 E 151st St,Cleveland,OH,44128,138500,3,1.0,Shaker Heights Overlook Land Compa,,5318,1924,1,,,Active,,,https://www.redfin.com/OH/Cleveland/3786-E-151st-St-44128/home/70795876,MLSNOW,5144674,N,Y,41.4563432,-81.575816
MLS Listing,,Condo/Co-op,10301 Lake Ave #419,Cleveland,OH,44102,119900,1,1.0,West Chateau Condo,651,43,1960,1,184,397,Active,,,https://www.redfin.com/OH/Cleveland/10301-Lake-Ave-44102/unit-419/home/66431707,MLSNOW,5144307,N,Y,41.4855253,-81.7544133
MLS Listing,,Single Family Residential,2487 W 5th St,Cleveland,OH,44113,265000,2,1.5,Stone College,1140,4617,1920,1,232,,Active,,,https://www.redfin.com/OH/Cleveland/2487-W-5th-St-44113/home/66113695,MLSNOW,5144490,N,Y,41.4799679,-81.6800754
MLS Listing,,Multi-Family (2-4 Unit),3624 E 118th St,Cleveland,OH,44105,143500,6,2.0,Union Rice Resub,2004,5000,1920,1,72,,Active,,,https://www.redfin.com/OH/Cleveland/3624-E-118th-St-44105/home/70792479,MLSNOW,5144359,N,Y,41.4601704,-81.6009116
MLS Listing,,Multi-Family (2-4 Unit),1742 Clarkstone Rd,Cleveland,OH,44112,137900,4,2.0,Clara Hambrys Allotment,,4360,1915,1,,,Active,,,https://www.redfin.com/OH/Cleveland/1742-Clarkstone-Rd-44112/home/70772858,MLSNOW,5144284,N,Y,41.549985,-81.56329
MLS Listing,,Condo/Co-op,1260 W 4th St #402,Cleveland,OH,44113,325000,2,2.0,Erie Bldg Lofts Condo,,,1900,1,,179,Active,,,https://www.redfin.com/OH/Cleveland/1260-W-4th-St-44113/unit-402/home/70714143,MLSNOW,5144552,N,Y,41.5010363,-81.6988136
MLS Listing,,Townhouse,2280 City View Dr,Cleveland,OH,44113,495000,3,2.5,Bergen Village,1827,1219,2013,1,271,155,Active,,,https://www.redfin.com/OH/Cleveland/2280-City-View-Dr-44113/home/66277444,MLSNOW,5144542,N,Y,41.482787,-81.682916
MLS Listing,,Condo/Co-op,1951 W 26th St #507,Cleveland,OH,44113,259900,2,2.0,Fries & Schuele Condo,1296,,1919,1,201,799,Active,,,https://www.redfin.com/OH/Cleveland/1951-W-26th-St-44113/unit-507/home/70716666,MLSNOW,5142971,N,Y,41.4845543,-81.7045588
MLS Listing,,Multi-Family (2-4 Unit),1470 E 93rd St,Cleveland,OH,44106,110000,4,2.0,W J Crawford & Jas Parmelees,1852,4399,1900,1,59,,Active,,,https://www.redfin.com/OH/Cleveland/1470-E-93rd-St-44106/home/70760592,MLSNOW,5144231,N,Y,41.5163132,-81.6226094
MLS Listing,,Single Family Residential,13803 Mcelhattan Ave,Cleveland,OH,44110,148000,3,1.0,Henry C Wick,1580,4800,1913,1,94,,Active,,,https://www.redfin.com/OH/Cleveland/13803-McElhattan-Ave-44110/home/66252244,MLSNOW,5137750,N,Y,41.5654542,-81.5866379
MLS Listing,,Single Family Residential,5003 Louisa Ct,Cleveland,OH,44127,75000,4,1.0,Hecker,,3598,1900,1,,,Active,,,https://www.redfin.com/OH/Cleveland/5003-Louisa-Ct-44127/home/70777565,MLSNOW,5143332,N,Y,41.4776467,-81.6555114
MLS Listing,,Single Family Residential,565 Quilliams Rd,South Euclid,OH,44121,149900,3,1.5,Monticello,1718,7840,1962,1,87,,Active,,,https://www.redfin.com/OH/Cleveland/565-Quilliams-Rd-44121/home/66171191,MLSNOW,5143742,N,Y,41.5447879,-81.5460731
MLS Listing,,Single Family Residential,10818 Dixon Rd,Cleveland,OH,44111,154900,3,1.5,N Moses & S Days,1442,9600,1895,1,107,,Active,,,https://www.redfin.com/OH/Cleveland/10818-Dixon-Rd-44111/home/70743424,MLSNOW,5144406,N,Y,41.4490436,-81.7618037
MLS Listing,,Multi-Family (2-4 Unit),9518 Kolar Ave,Cleveland,OH,44104,50000,4,2.0,Frank Kyselas,1400,2914,1900,1,36,,Active,,,https://www.redfin.com/OH/Cleveland/9518-Kolar-Ave-44104/home/70779977,MLSNOW,5144249,N,Y,41.4809959,-81.6198413
MLS Listing,,Single Family Residential,14733 Harley Ave,Cleveland,OH,44111,250000,3,2.0,Gillen Companys 02,1348,4861,1949,1,185,,Active,August-3-2025 01:00 PM,August-3-2025 03:00 PM,https://www.redfin.com/OH/Cleveland/14733-Harley-Ave-44111/home/66216467,MLSNOW,5144157,N,Y,41.4617667,-81.7996823
MLS Listing,,Single Family Residential,6703 Claasen Ave,Cleveland,OH,44105,95000,3,1.0,Morrison & Andrews,1104,4369,1910,1,86,,Active,,,https://www.redfin.com/OH/Cleveland/6703-Claasen-Ave-44105/home/70787361,MLSNOW,5143489,N,Y,41.4471582,-81.643032
MLS Listing,,Single Family Residential,9208 Columbia Ave,Cleveland,OH,44108,99900,3,1.0,W J & R Crawford & W Crawford,1433,3288,1918,1,70,,Active,,,https://www.redfin.com/OH/Cleveland/9208-Columbia-Ave-44108/home/66542835,MLSNOW,5144391,N,Y,41.5312072,-81.623281
MLS Listing,,Single Family Residential,6008 W Clinton Ave,Cleveland,OH,44102,410000,3,2.5,Rhodes & Coffinberrys Allotme,1790,5401,1910,1,229,,Active,August-2-2025 01:00 PM,August-2-2025 03:00 PM,https://www.redfin.com/OH/Cleveland/6008-W-Clinton-Ave-44102/home/66271399,MLSNOW,5142581,N,Y,41.4839732,-81.7279228
MLS Listing,,Multi-Family (2-4 Unit),3512 W 98th St,Cleveland,OH,44102,169500,5,2.0,Den,2558,5641,1924,1,66,,Active,,,https://www.redfin.com/OH/Cleveland/3512-W-98th-St-44102/home/70740730,MLSNOW,5144067,N,Y,41.4581236,-81.751466
MLS Listing,,Single Family Residential,5000 Behrwald Ave,Cleveland,OH,44144,210000,4,3.0,Brooklyn Ridge,1350,5641,1952,1,156,,Active,,,https://www.redfin.com/OH/Cleveland/5000-Behrwald-Ave-44144/home/66207122,MLSNOW,5143838,N,Y,41.4323268,-81.7211547
MLS Listing,,Condo/Co-op,1237 Washington Ave #507,Cleveland,OH,44113,299900,2,2.0,Stonebridge Plaza,1253,,2007,1,239,587,Active,,,https://www.redfin.com/OH/Cleveland/1237-Washington-Ave-44113/unit-507/home/101104628,MLSNOW,5144003,N,Y,41.4950222,-81.7046028
MLS Listing,,Vacant Land,White Ave,Cleveland,OH,44103,13500,,,White Manufacturing Companys,,6625,,1,,,Active,,,https://www.redfin.com/OH/Cleveland/White-Ave-44103/home/70757424,MLSNOW,5144301,N,Y,41.514287,-81.647787
MLS Listing,,Vacant Land,4155 E 111th St,Cleveland,OH,44105,7750,,,Miles Ave Sub/Mills & Frisbie,,5118,,1,,,Active,,,https://www.redfin.com/OH/Cleveland/4155-E-111th-St-44105/home/70791803,MLSNOW,5144286,N,Y,41.4459755,-81.6073454
MLS Listing,,Single Family Residential,1512 Granby Ave,Cleveland,OH,44109,129900,2,1.0,Sh Kleinman Realty,825,3998,1914,1,157,,Active,,,https://www.redfin.com/OH/Cleveland/1512-Granby-Ave-44109/home/70728565,MLSNOW,5144269,N,Y,41.4422933,-81.6917901
MLS Listing,,Multi-Family (2-4 Unit),3196 W 43rd St,Cleveland,OH,44109,259000,5,2.0,Cleveland,2136,8232,1890,1,121,,Active,,,https://www.redfin.com/OH/Cleveland/3196-W-43rd-St-44109/home/70726793,MLSNOW,5144114,N,Y,41.466904,-81.7155349
MLS Listing,,Single Family Residential,3930 E 53rd St,Newburgh Heights,OH,44105,149900,3,1.5,Newburgh Heights,1270,4791,1956,1,118,,Active,,,https://www.redfin.com/OH/Newburgh-Heights/3930-E-53rd-St-44105/home/66206873,MLSNOW,5144178,N,Y,41.4510149,-81.6533589
MLS Listing,,Single Family Residential,1107 Spring Rd,Cleveland,OH,44109,218000,3,1.0,Spring Road,1162,5980,1924,1,188,,Active,,,https://www.redfin.com/OH/Cleveland/1107-Spring-Rd-44109/home/70729129,MLSNOW,5143935,N,Y,41.4345353,-81.687961
