SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Condo/Co-op,12614 NW Barnes Rd,Portland,OR,97229,215000,2,1.0,Westlake Cedar Mill Timberland,812,,1979,1,265,612,Active,,,https://www.redfin.com/OR/Portland/12614-NW-Barnes-Rd-97229/home/196775555,RMLS,396795537,N,Y,45.5220563,-122.8100278
MLS Listing,,Single Family Residential,10125 SW 72nd Ave,Portland,OR,97223,675000,4,2.5,METZGER ACRE TRACTS,2534,7840,1989,1,266,,Active,,,https://www.redfin.com/OR/Portland/10125-SW-72nd-Ave-97223/home/26713394,RMLS,747233588,N,Y,45.4468025,-122.7519781
MLS Listing,,Single Family Residential,9542 N Calhoun Ave,Portland,OR,97203,495000,4,2.0,141 - Portland North,1758,5227,1974,1,282,,Active,August-2-2025 12:00 PM,August-2-2025 02:00 PM,https://www.redfin.com/OR/Portland/9542-N-Calhoun-Ave-97203/home/26545426,RMLS,193074637,N,Y,45.5950342,-122.738667
MLS Listing,,Single Family Residential,7539 SW Esther Ct,Portland,OR,97223,737000,3,2.0,GARDEN HOME,1832,7405,1997,1,402,,Active,,,https://www.redfin.com/OR/Portland/7539-SW-Esther-Ct-97223/home/26699381,RMLS,595245419,N,Y,45.4674491,-122.754159
MLS Listing,,Single Family Residential,4511 N Commercial Ave,Portland,OR,97217,325000,2,1.0,142 - Portland Northeast,2178,2613,1914,1,149,,Active,August-2-2025 03:00 PM,August-2-2025 05:00 PM,https://www.redfin.com/OR/Portland/4511-N-Commercial-Ave-97217/home/26297414,RMLS,207306422,N,Y,45.5556281,-122.6714622
MLS Listing,,Single Family Residential,3515 NE Prescott St,Portland,OR,97211,775000,4,2.0,142 - Portland Northeast,2552,5227,1937,1,304,,Active,August-3-2025 02:00 PM,August-3-2025 04:00 PM,https://www.redfin.com/OR/Portland/3515-NE-Prescott-St-97211/home/26339371,RMLS,219313812,N,Y,45.5553778,-122.628225
MLS Listing,,Single Family Residential,4801 NE 42nd Ave,Portland,OR,97218,625000,3,2.5,142 - Portland Northeast,2166,5227,1952,1,289,,Active,August-2-2025 02:00 PM,August-2-2025 04:00 PM,https://www.redfin.com/OR/Portland/4801-NE-42nd-Ave-97218/home/25759764,RMLS,474317450,N,Y,45.5576005,-122.620656
MLS Listing,,Condo/Co-op,12415 NW Haskell Ct #10,Portland,OR,97229,499900,4,3.5,"148 - Portland NW/ SW/ S, Raleigh Hills",1963,,1977,1,255,230,Active,,,https://www.redfin.com/OR/Portland/12415-NW-Haskell-Ct-97229/unit-10/home/26734142,RMLS,139096977,N,Y,45.5411689,-122.8027629
MLS Listing,,Condo/Co-op,14850 NE Rose Pkwy,Portland,OR,97230,360000,2,3.0,142 - Portland Northeast,1896,,1978,3,190,757,Active,,,https://www.redfin.com/OR/Portland/14850-NE-Rose-Pkwy-97230/home/188664357,RMLS,494895595,N,Y,45.5441192,-122.5090971
