SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Condo/Co-op,307 S Dithridge St #810,Oakland,PA,15213,469900,2,2.0,Oakland,1690,,1979,14,278,1133,Active,,,https://www.redfin.com/PA/Pittsburgh/307-S-Dithridge-St-15213/unit-810/home/74567824,West Penn MLS,1711905,N,Y,40.4455515,-79.9499826
MLS Listing,,Townhouse,4300 Bristol St,Greenfield,PA,15207,170000,2,1.0,Greenfield,1260,2273,1910,21,135,,Active,,,https://www.redfin.com/PA/Pittsburgh/4300-Bristol-St-15207/home/74678161,West Penn MLS,1711141,N,Y,40.4202679,-79.9455908
MLS Listing,,Single Family Residential,3234 Pinehurst Ave,Dormont,PA,15216,329000,3,1.0,Dormont,1400,3301,1925,22,235,,Active,,,https://www.redfin.com/PA/Pittsburgh/3234-Pinehurst-Ave-15216/home/74771217,West Penn MLS,1710734,N,Y,40.3883748,-80.0391621
MLS Listing,,Single Family Residential,4782 Barone Dr,Whitehall,PA,15227,264500,3,2.0,Whitehall,950,8999,1955,76,278,,Active,,,https://www.redfin.com/PA/Pittsburgh/4782-Barone-Dr-15227/home/74555048,West Penn MLS,1701558,N,Y,40.3598128,-79.9748498
MLS Listing,,Condo/Co-op,6833 Meade St #10,Point Breeze,PA,15208,350000,3,2.0,Point Breeze,2100,,1950,1,167,306,Active,,,https://www.redfin.com/PA/Pittsburgh/6833-Meade-St-15208/unit-10/home/74474964,West Penn MLS,1714285,N,Y,40.4530674,-79.9086246
MLS Listing,,Single Family Residential,734 Linwood Dr,O'hara,PA,15215,325000,3,2.0,O'Hara,1296,11251,1947,1,251,,Active,August-3-2025 01:00 AM,August-3-2025 03:00 PM,https://www.redfin.com/PA/Pittsburgh/734-Linwood-Dr-15215/home/74541309,West Penn MLS,1713924,N,Y,40.5023714,-79.9301505
MLS Listing,,Single Family Residential,529 Peebles St,Regent Square,PA,15221,369900,3,1.5,Regent Square,1908,4059,1910,1,194,,Active,August-3-2025 12:00 PM,August-3-2025 02:00 PM,https://www.redfin.com/PA/Pittsburgh/529-Peebles-St-15221/home/74516449,West Penn MLS,1713464,N,Y,40.4403622,-79.8942822
MLS Listing,,Single Family Residential,2509 Arlington Ave,Arlington,PA,15210,128900,3,1.5,Arlington,972,2474,1925,1,133,,Active,,,https://www.redfin.com/PA/Pittsburgh/2509-Arlington-Ave-15210/home/74491968,West Penn MLS,1714421,N,Y,40.4178092,-79.970906
MLS Listing,,Single Family Residential,1157 Camarta Dr,Baldwin Boro,PA,15227,439900,4,3.0,Baldwin Boro,2391,12257,2008,1,184,33,Active,,,https://www.redfin.com/PA/Pittsburgh/1157-Camarta-Dr-15227/home/74441841,West Penn MLS,1714418,N,Y,40.3942254,-79.9621142
