SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Single Family Residential,76 Baird Ave,North Providence,RI,02904,449000,4,2.0,North Providence,1966,4792,1950,3,228,,Active,August-2-2025 12:00 PM,August-2-2025 02:00 PM,https://www.redfin.com/RI/North-Providence/76-Baird-Ave-02904/home/52034840,RIS,1390535,N,Y,41.8727068,-71.4240225
MLS Listing,,Condo/Co-op,1000 Providence Pl #152,Providence,RI,02903,439900,2,2.0,Providence,1176,203167,2003,4,374,592,Active,August-2-2025 12:30 PM,August-2-2025 02:00 PM,https://www.redfin.com/RI/Providence/903-Providence-Pl-02903/unit-152/home/51731338,RIS,1390529,N,Y,41.827898,-71.421772
MLS Listing,,Multi-Family (2-4 Unit),147 149 Hudson St,Providence,RI,02909,789000,11,4.0,Providence,3601,3049,1920,14,219,,Active,,,https://www.redfin.com/RI/Providence/147-Hudson-St-02909/home/52237450,RIS,1390071,N,Y,41.8133923,-71.4382298
MLS Listing,,Multi-Family (2-4 Unit),18 Wyatt St,Providence,RI,02905,475000,4,2.0,Providence,1925,3485,1930,35,247,,Active,August-2-2025 12:00 PM,August-2-2025 01:30 PM,https://www.redfin.com/RI/Providence/18-Wyatt-St-02905/home/51720997,RIS,1387633,N,Y,41.8013219,-71.4069427
MLS Listing,,Condo/Co-op,420 Woodward Rd #38,North Providence,RI,02904,165000,1,1.0,North Providence,850,,1984,36,194,301,Active,,,https://www.redfin.com/RI/North-Providence/420-Woodward-Rd-02904/unit-38/home/52040358,RIS,1388446,N,Y,41.86231,-71.4356546
MLS Listing,,Condo/Co-op,103 Doyle Ave #3,Providence,RI,02906,415000,2,1.0,East Side,1149,,1890,36,361,230,Active,August-2-2025 11:00 AM,August-2-2025 12:30 PM,https://www.redfin.com/RI/Providence/103-Doyle-Ave-02906/unit-3/home/52244469,RIS,1388211,N,Y,41.8385905,-71.4044258
MLS Listing,,Single Family Residential,114 Naples Ave,Providence,RI,02908,599900,3,3.0,Elmhurst,1996,3920,2025,1,301,,Active,August-2-2025 01:00 PM,August-2-2025 02:30 PM,https://www.redfin.com/RI/Providence/114-Naples-Ave-02908/home/51711772,RIS,1390127,N,Y,41.848586,-71.4473415
MLS Listing,,Single Family Residential,12 Atwood Ave,North Providence,RI,02904,499900,3,2.0,North Providence,1352,5001,1920,1,370,,Active,August-2-2025 11:00 AM,August-2-2025 01:00 PM,https://www.redfin.com/RI/North-Providence/12-Atwood-Ave-02904/home/52039472,RIS,1391529,N,Y,41.8708878,-71.4218889
MLS Listing,,Multi-Family (2-4 Unit),428 Hope St,Providence,RI,02906,1470000,4,4.0,Mount Hope,4998,6303,1925,1,294,,Active,,,https://www.redfin.com/RI/Providence/428-Hope-St-02906/home/51698833,RIS,1391523,N,Y,41.8381162,-71.400673
