SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Single Family Residential,7451 Circle Farm,San Antonio,TX,78239,259999,5,2.5,Walzem Farms,2175,4356,2006,1,120,17,Active,,,https://www.redfin.com/TX/San-Antonio/7451-Circle-Farm-78239/home/48659209,Sabor,1887769,N,Y,29.49629,-98.3573117
MLS Listing,,Condo/Co-op,1401 S Flores St #409,San Antonio,TX,78204,250000,1,1.0,Steel House Lofts,804,,2015,1,311,290,Active,,,https://www.redfin.com/TX/San-Antonio/1401-S-Flores-St-78204/unit-409/home/110101935,Sabor,1887925,N,Y,29.4100188,-98.5015508
MLS Listing,,Single Family Residential,19706 Encino Knl,San Antonio,TX,78259,469900,4,2.0,Encino Park,2088,10367,1981,6,225,42,Active,August-3-2025 01:00 PM,August-3-2025 03:00 PM,https://www.redfin.com/TX/San-Antonio/19706-Encino-Knoll-St-78259/home/49070467,Sabor,1886149,N,Y,29.6255287,-98.4537717
MLS Listing,,Single Family Residential,5334 Tulip Bnd,San Antonio,TX,78253,499900,5,3.0,Westwinds-summit At Alamo Ranc,3852,8450,2007,7,130,93,Active,,,https://www.redfin.com/TX/San-Antonio/5334-Tulip-Bnd-78253/home/48688129,Sabor,1881215,N,Y,29.4864274,-98.7407388
MLS Listing,,Single Family Residential,21738 Luisa,San Antonio,TX,78259,415000,3,2.5,The Vistas Of Encino,2392,6316,1995,8,173,50,Active,,,https://www.redfin.com/TX/San-Antonio/21738-Luisa-78259/home/49091726,Sabor,1886480,N,Y,29.6444241,-98.4281237
MLS Listing,,Single Family Residential,7131 Phoebe Vw,San Antonio,TX,78252,299999,5,3.5,Solana Ridge,2678,5401,2015,8,112,41,Active,August-2-2025 02:00 PM,August-2-2025 04:00 PM,https://www.redfin.com/TX/San-Antonio/7131-Phoebe-Vw-78252/home/102265353,Sabor,1885737,N,Y,29.3540217,-98.6375208
MLS Listing,,Single Family Residential,7522 Frenchton St,San Antonio,TX,78251,299999,3,2.0,Doral,2085,8058,1979,9,144,,Active,,,https://www.redfin.com/TX/San-Antonio/7522-Frenchton-St-78251/home/49096033,Sabor,1885301,N,Y,29.4547774,-98.6393232
MLS Listing,,Single Family Residential,5006 Fern Lk,San Antonio,TX,78244,230000,3,2.0,Woodlake,1573,6316,1989,9,146,,Active,August-2-2025 11:00 AM,August-2-2025 01:00 PM,https://www.redfin.com/TX/San-Antonio/5006-Fern-Lk-78244/home/48818887,Sabor,1884207,N,Y,29.4715362,-98.3499429
MLS Listing,,Single Family Residential,2107 Orange Blossom St,San Antonio,TX,78247,299998,3,2.0,Blossom Park,1383,9583,1974,13,217,,Active,,,https://www.redfin.com/TX/San-Antonio/2107-Orange-Blossom-St-78247/home/48997275,Sabor,1883210,N,Y,29.550669,-98.4602579
MLS Listing,,Single Family Residential,7515 Rustic,San Antonio,TX,78244,210000,4,2.0,Ventura,1535,7927,1981,13,137,,Active,,,https://www.redfin.com/TX/San-Antonio/7515-Rustic-Trl-78244/home/66955691,Sabor,1884286,N,Y,29.4931472,-98.3404122
MLS Listing,,Single Family Residential,207 Florida St,San Antonio,TX,78210,499998,3,2.0,Lavaca,1620,7840,1910,13,309,,Active,,,https://www.redfin.com/TX/San-Antonio/207-Florida-St-78210/home/48746097,Sabor,1879958,N,Y,29.4084365,-98.4840099
MLS Listing,,Single Family Residential,347 Blaze Ave,San Antonio,TX,78218,187000,3,2.0,East Terrell Hills,1610,7318,1959,16,116,,Active,,,https://www.redfin.com/TX/San-Antonio/347-Blaze-Ave-78218/home/48947567,Sabor,1883061,N,Y,29.5018788,-98.4111219
MLS Listing,,Single Family Residential,507 Texas Pt,San Antonio,TX,78260,699998,5,3.5,The Overlook,3090,42688,1999,20,227,110,Active,,,https://www.redfin.com/TX/San-Antonio/507-Texas-Pt-78260/home/49129376,Sabor,1881786,N,Y,29.6584753,-98.5037354
