SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Single Family Residential,29 Grey Meadow Dr,Burlington,VT,05408,857000,4,2.0,Burlington,2696,12196,1994,1,318,,Active,August-3-2025 01:00 PM,August-3-2025 03:00 PM,https://www.redfin.com/VT/Burlington/29-Grey-Meadow-Dr-05408/home/91175031,PrimeMLS,5054498,N,Y,44.5134966,-73.2621646
MLS Listing,,Single Family Residential,29 Shelburne St,Burlington,VT,05401,799000,3,1.5,Burlington,1428,8712,1931,1,560,,Active,August-2-2025 10:00 AM,August-2-2025 12:00 PM,https://www.redfin.com/VT/Burlington/29-Shelburne-Rd-05401/home/91182790,PrimeMLS,5054433,N,Y,44.4644017,-73.2081428
MLS Listing,,Single Family Residential,60 Bilodeau Ct,Burlington,VT,05401,489000,4,2.0,Burlington,1558,9583,1947,1,314,,Active,,,https://www.redfin.com/VT/Burlington/60-Bilodeau-Ct-05401/home/91177164,PrimeMLS,5054349,N,Y,44.4788082,-73.1893326
MLS Listing,,Single Family Residential,20 Tracy Dr,Burlington,VT,05408,295000,3,1.0,Burlington,864,8276,1954,1,341,,Active,,,https://www.redfin.com/VT/Burlington/20-Tracy-Dr-05408/home/91180582,PrimeMLS,5054320,N,Y,44.5154088,-73.2575691
MLS Listing,,Condo/Co-op,131 Main St #302,Burlington,VT,05403,419900,2,2.0,Burlington,960,,1980,1,437,748,Active,,,https://www.redfin.com/VT/Burlington/131-Main-St-05401/unit-302/home/91181514,PrimeMLS,5054319,N,Y,44.4755088,-73.2137142
MLS Listing,,Single Family Residential,164 Dodds Ct,Burlington,VT,05401,285000,3,1.0,Burlington,1132,10018,1953,2,252,,Active,,,https://www.redfin.com/VT/Burlington/164-Dodds-Ct-05408/home/91180881,PrimeMLS,5054141,N,Y,44.5074527,-73.24955
MLS Listing,,Single Family Residential,10 Stirling Pl,Burlington,VT,05408,679000,4,2.5,Burlington,1906,10890,1993,2,356,,Active,,,https://www.redfin.com/VT/Burlington/10-Stirling-Pl-05408/home/91184236,PrimeMLS,5054094,N,Y,44.505437,-73.2567516
MLS Listing,,Single Family Residential,115 Caroline St,Burlington,VT,05401,769000,4,1.5,Burlington,2195,6969,1934,3,350,,Active,August-3-2025 11:00 AM,August-3-2025 01:00 PM,https://www.redfin.com/VT/Burlington/115-Caroline-St-05401/home/91183548,PrimeMLS,5054011,N,Y,44.4639585,-73.2107718
MLS Listing,,Single Family Residential,73 South St,Burlington,VT,05401,949900,3,2.5,Burlington,3462,13939,1955,3,274,,Active,,,https://www.redfin.com/VT/Burlington/73-South-St-05401/home/91178829,PrimeMLS,5053963,N,Y,44.4549913,-73.2015772
MLS Listing,,Single Family Residential,201 Crescent Beach Dr,Burlington,VT,05408,1000000,4,4.0,Burlington,3133,11761,1966,4,319,,Active,,,https://www.redfin.com/VT/Burlington/201-Crescent-Beach-Dr-05408/home/91181626,PrimeMLS,5053736,N,Y,44.5049767,-73.2586485
MLS Listing,,Multi-Family (5+ Unit),335-337 Pearl St,Burlington,VT,05401,1330000,11,7.0,Burlington,4662,10454,1893,4,285,,Active,,,https://www.redfin.com/VT/Burlington/335-337-Pearl-St-05401/home/196645595,PrimeMLS,5053727,N,Y,44.4803609,-73.2050732
MLS Listing,,Single Family Residential,30 Avenue B,Burlington,VT,05408,100000,2,1.0,Burlington,748,,1960,7,134,435,Active,,,https://www.redfin.com/VT/Burlington/30-Avenue-B-05408/home/91185050,PrimeMLS,5053453,N,Y,44.5075815,-73.2441827
MLS Listing,,Single Family Residential,61 Cross Pkwy,Burlington,VT,05408,400000,3,1.0,Burlington,1479,8276,1952,7,270,,Active,,,https://www.redfin.com/VT/Burlington/61-Cross-Pkwy-05408/home/91181035,PrimeMLS,5053408,N,Y,44.5121896,-73.2552138
MLS Listing,,Multi-Family (2-4 Unit),194 Maple St,Burlington,VT,05401,957000,7,4.0,Burlington,3098,12632,1899,7,309,,Active,,,https://www.redfin.com/VT/Burlington/194-Maple-St-05401/home/91183527,PrimeMLS,5053396,N,Y,44.4739708,-73.21149
MLS Listing,,Single Family Residential,118 Stirling Pl,Burlington,VT,05408,900000,4,2.5,Burlington,2949,21344,1989,8,305,,Active,,,https://www.redfin.com/VT/Burlington/118-Stirling-Pl-05408/home/91176176,PrimeMLS,5053350,N,Y,44.507275,-73.2598403
MLS Listing,,Single Family Residential,1960 North Ave,Burlington,VT,05401,385000,4,1.0,Burlington,1162,10018,1953,8,331,,Active,,,https://www.redfin.com/VT/Burlington/1960-North-Ave-05408/home/91174605,PrimeMLS,5053319,N,Y,44.5219067,-73.2645805
MLS Listing,,Single Family Residential,227 North Ave,Burlington,VT,05401,649000,5,2.5,Burlington,2473,7840,1930,8,262,,Active,,,https://www.redfin.com/VT/Burlington/227-North-Ave-05401/home/91179643,PrimeMLS,5053274,N,Y,44.4875575,-73.2251717
MLS Listing,,Condo/Co-op,91 Claire Pointe Rd,Burlington,VT,05408,537500,2,2.0,Burlington,2018,,2002,8,266,926,Active,,,https://www.redfin.com/VT/Burlington/91-Claire-Point-Rd-05408/home/193650266,PrimeMLS,5053222,N,Y,44.5264582,-73.270217
MLS Listing,,Single Family Residential,311 Colchester Ave,Burlington,VT,05401,749000,4,2.0,Burlington,1657,7405,1899,9,452,,Active,August-2-2025 12:00 PM,August-2-2025 02:00 PM,https://www.redfin.com/VT/Burlington/311-Colchester-Ave-05401/home/91182888,PrimeMLS,5053110,N,Y,44.4836624,-73.1888235
MLS Listing,,Single Family Residential,64 Sandy Ln,Burlington,VT,05408,589900,4,2.0,Burlington,2636,8276,1964,9,224,,Active,,,https://www.redfin.com/VT/Burlington/64-Sandy-Ln-05408/home/91181544,PrimeMLS,5053069,N,Y,44.5087375,-73.2427986
