SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Condo/Co-op,1442 N Franklin Pl #3,Milwaukee,WI,53202,425000,2,1.5,Milwaukee,2343,,1903,7,181,228,Active,,,https://www.redfin.com/WI/Milwaukee/1442-N-Franklin-Pl-53202/unit-3/home/58019841,METROMLS,1928295,N,Y,43.049041,-87.896682
MLS Listing,,Single Family Residential,5236 N 56th St,Milwaukee,WI,53218,70000,3,1.0,Milwaukee,1040,6534,1953,1,67,,Active,,,https://www.redfin.com/WI/Milwaukee/5236-N-56th-St-53218/home/90200003,METROMLS,1929291,N,Y,43.112954,-87.9821943
MLS Listing,,Multi-Family (5+ Unit),2613 W Capitol Dr,Milwaukee,WI,53206,999900,,,Milwaukee,,4791,1928,1,,,Active,,,https://www.redfin.com/WI/Milwaukee/2613-W-Capitol-Dr-53206/home/58065792,METROMLS,1929278,N,Y,43.0895185,-87.9462319
MLS Listing,,Single Family Residential,1510 W Klein Ave,Milwaukee,WI,53221,315000,3,1.5,Milwaukee,1253,8276,1962,1,251,,Active,,,https://www.redfin.com/WI/Milwaukee/1510-W-Klein-Ave-53221/home/90251162,METROMLS,1929281,N,Y,42.9422611,-87.9323121
MLS Listing,,Single Family Residential,3323 N Sherman Blvd,Milwaukee,WI,53216,259900,4,1.5,Rainbow Ridge,2913,6534,1951,1,89,,Active,,,https://www.redfin.com/WI/Milwaukee/3323-N-Sherman-Blvd-53216/home/90356756,METROMLS,1929265,N,Y,43.0797265,-87.9676871
MLS Listing,,Single Family Residential,2435 N 57th St,Milwaukee,WI,53210,234900,2,1.0,Milwaukee,797,3920,1922,1,295,,Active,,,https://www.redfin.com/WI/Milwaukee/2435-N-57th-St-53210/home/90224868,METROMLS,1929248,N,Y,43.0633506,-87.9844552
MLS Listing,,Single Family Residential,1838 N 40th St St,Milwaukee,WI,53208,145900,4,1.0,Milwaukee,1664,3484,1906,1,88,,Active,,,https://www.redfin.com/WI/Milwaukee/1838-N-40th-St-53208/home/57741799,METROMLS,1929242,N,Y,43.0541499,-87.9633281
MLS Listing,,Single Family Residential,4820 N 72nd St,Milwaukee,WI,53218,160000,2,1.0,Milwaukee,998,5227,1956,1,160,,Active,,,https://www.redfin.com/WI/Milwaukee/4820-N-72nd-St-53218/home/90349113,METROMLS,1929232,N,Y,43.1055561,-88.0017339
MLS Listing,,Single Family Residential,2924 S 8th St,Milwaukee,WI,53215,199000,3,1.0,Milwaukee,1029,3484,1923,1,193,,Active,,,https://www.redfin.com/WI/Milwaukee/2924-S-8th-St-53215/home/90375284,METROMLS,1929222,N,Y,42.9913577,-87.9212421
MLS Listing,,Multi-Family (2-4 Unit),1500 E Oklahoma Ave #1502,Milwaukee,WI,53207,499900,4,2.0,Milwaukee,2306,4356,1924,1,217,,Active,,,https://www.redfin.com/WI/Milwaukee/1500-E-Oklahoma-Ave-53207/unit-1502/home/177347654,METROMLS,1929217,N,Y,42.9885198,-87.8907852
MLS Listing,,Single Family Residential,3623 S 94th St,Milwaukee,WI,53228,299900,3,1.5,Milwaukee,1174,6534,1966,1,255,,Active,,,https://www.redfin.com/WI/Milwaukee/3623-S-94th-St-53228/home/90247373,METROMLS,1929216,N,Y,42.9785802,-88.030447
MLS Listing,,Condo/Co-op,4740 Maple Leaf Cir,Greenfield,WI,53220,279000,2,2.0,Greenfield,1741,,2002,1,160,375,Active,,,https://www.redfin.com/WI/Greenfield/4740-W-Maple-Leaf-Cir-53220/home/90292756,METROMLS,1929203,N,Y,42.9683897,-87.9754285
MLS Listing,,Single Family Residential,3415 N 2nd St,Milwaukee,WI,53212,175000,2,1.0,Milwaukee,1292,3920,1885,1,135,,Active,August-2-2025 10:00 AM,August-2-2025 12:00 PM,https://www.redfin.com/WI/Milwaukee/3415-N-2nd-St-53212/home/90214918,METROMLS,1928119,N,Y,43.0806828,-87.9127462
MLS Listing,,Single Family Residential,2700 N 97th St,Milwaukee,WI,53222,263000,2,1.0,Milwaukee,1279,7405,1952,1,206,,Active,August-2-2025 12:00 PM,August-2-2025 02:00 PM,https://www.redfin.com/WI/Milwaukee/2700-N-97th-St-53222/home/90217979,METROMLS,1928817,N,Y,43.0679289,-88.0334428
MLS Listing,,Single Family Residential,10516 W Stark St,Milwaukee,WI,53225,199900,3,1.0,Milwaukee,1389,5227,1962,1,144,,Active,,,https://www.redfin.com/WI/Milwaukee/10516-W-Stark-St-53225/home/90203903,METROMLS,1928275,N,Y,43.1065378,-88.0440532
MLS Listing,,Single Family Residential,1409 W Wanda Ave,Milwaukee,WI,53221,309900,2,1.5,Milwaukee,1466,10018,1961,1,211,,Active,August-1-2025 04:00 PM,August-1-2025 05:30 PM,https://www.redfin.com/WI/Milwaukee/1409-W-Wanda-Ave-53221/home/57983505,METROMLS,1928299,N,Y,42.9428483,-87.9311631
MLS Listing,,Single Family Residential,2610 S 62nd St,Milwaukee,WI,53219,265000,3,1.0,Milwaukee,1866,5227,1954,1,142,,Active,,,https://www.redfin.com/WI/Milwaukee/2610-S-62nd-St-53219/home/59726264,METROMLS,1928366,N,Y,42.9971361,-87.9899544
MLS Listing,,Single Family Residential,2829 N 58th St,Milwaukee,WI,53210,115000,2,1.0,Milwaukee,804,4791,1949,1,143,,Active,,,https://www.redfin.com/WI/Milwaukee/2829-N-58th-St-53210/home/57697335,METROMLS,1928587,N,Y,43.0705654,-87.9854789
MLS Listing,,Single Family Residential,8164 W Muriel Pl,Milwaukee,WI,53218,250000,3,1.5,Milwaukee,1704,6098,1955,1,147,,Active,,,https://www.redfin.com/WI/Milwaukee/8164-W-Muriel-Pl-53218/home/90318304,METROMLS,1928540,N,Y,43.11452,-88.0123187
MLS Listing,,Single Family Residential,4322 N 30th St,Milwaukee,WI,53216,145000,3,1.0,Milwaukee,1159,5662,1943,1,125,,Active,,,https://www.redfin.com/WI/Milwaukee/4322-N-30th-St-53216/home/57749962,METROMLS,1928535,N,Y,43.0957803,-87.9502991
MLS Listing,,Single Family Residential,8821 W Dallas St,Milwaukee,WI,53224,324900,4,1.5,Milwaukee,1591,11325,1965,1,204,,Active,,,https://www.redfin.com/WI/Milwaukee/8821-W-Dallas-St-53224/home/57705693,METROMLS,1928803,N,Y,43.142894,-88.021729
MLS Listing,,Single Family Residential,3632 S 60th St,Milwaukee,WI,53220,350000,4,2.5,Milwaukee,1720,7405,1995,1,203,,Active,August-2-2025 11:00 AM,August-2-2025 12:30 PM,https://www.redfin.com/WI/Milwaukee/3632-S-60th-St-53220/home/57674720,METROMLS,1928842,N,Y,42.9785108,-87.9875637
MLS Listing,,Single Family Residential,7632 Livingston Ave,Wauwatosa,WI,53213,289000,2,1.0,Wauwatosa,1235,5227,1941,1,234,,Active,,,https://www.redfin.com/WI/Milwaukee/7632-Livingston-Ave-53213/home/90271559,METROMLS,1927677,N,Y,43.0656233,-88.0085401
MLS Listing,,Single Family Residential,2508 N 62nd St,Wauwatosa,WI,53213,329900,3,2.0,Wauwatosa,1330,4791,1942,1,248,,Active,,,https://www.redfin.com/WI/Milwaukee/2508-N-62nd-St-53213/home/84248889,METROMLS,1928792,N,Y,43.0646232,-87.9894912
MLS Listing,,Single Family Residential,3600 W Parnell Ave,Milwaukee,WI,53221,335000,4,2.0,Milwaukee,1563,7405,1959,1,214,,Active,,,https://www.redfin.com/WI/Milwaukee/3600-W-Parnell-Ave-53221/home/90250365,METROMLS,1928255,N,Y,42.9399876,-87.9614094
MLS Listing,,Single Family Residential,613 Pleasant View St,Wauwatosa,WI,53226,399000,4,1.5,Rogers Heights,2227,7840,1939,1,179,,Active,,,https://www.redfin.com/WI/Milwaukee/613-Pleasant-View-St-53226/home/90309385,METROMLS,1928270,N,Y,43.0376834,-88.0197796
MLS Listing,,Single Family Residential,7017 W Verona Ct,Milwaukee,WI,53219,350000,3,2.0,Honey Creek Terrace,1795,6534,1955,1,195,,Active,,,https://www.redfin.com/WI/Milwaukee/7017-W-Verona-Ct-53219/home/90241741,METROMLS,1928620,N,Y,42.9817942,-88.0016383
MLS Listing,,Single Family Residential,2963 S Clement Ave,Milwaukee,WI,53207,354900,3,1.5,Milwaukee,1296,3920,1905,1,274,,Active,,,https://www.redfin.com/WI/Milwaukee/2963-S-Clement-Ave-53207/home/90238799,METROMLS,1929197,N,Y,42.9905723,-87.8945203
MLS Listing,,Condo/Co-op,118 W Reservoir Ave,Milwaukee,WI,53212,389900,3,2.0,Milwaukee,2042,,1893,1,191,300,Active,,,https://www.redfin.com/WI/Milwaukee/118-W-Reservoir-Ave-53212/home/58028265,METROMLS,1929192,N,Y,43.0553136,-87.9118639
MLS Listing,,Single Family Residential,6424 N 84th St,Milwaukee,WI,53224,180000,3,1.0,Milwaukee,958,7405,1958,1,188,,Active,,,https://www.redfin.com/WI/Milwaukee/6424-N-84th-St-53224/home/90196731,METROMLS,1929191,N,Y,43.1347772,-88.0152999
