SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Single Family Residential,816 Duncan Rd,Harpers Ferry,WV,25425,450000,2,2.0,RIVERSIDE ACRES,1733,31363,1996,1,260,17,Active,August-2-2025 01:00 PM,August-2-2025 03:00 PM,https://www.redfin.com/WV/Harpers-Ferry/816-Duncan-Rd-25425/home/15918926,BRIGHT MLS,WVJF2017898,N,Y,39.3938113,-77.7446084
MLS Listing,,Single Family Residential,65 Rivermist Ln,Harpers Ferry,WV,25425,400000,3,2.0,WIDE RIVER FARM,1860,30261,1900,2,215,8,Active,,,https://www.redfin.com/WV/Harpers-Ferry/65-Rivermist-Ln-25425/home/15927070,BRIGHT MLS,WVJF2017838,N,Y,39.2876629,-77.7879165
MLS Listing,,Multi-Family (2-4 Unit),23 Mahoney Dr,Harpers Ferry,WV,25425,324900,3,3.5,BAKERTON,1500,13503,1900,2,217,,Active,,,https://www.redfin.com/WV/Harpers-Ferry/23-Mahoney-Dr-25425/home/15931437,BRIGHT MLS,WVJF2018654,N,Y,39.3638201,-77.7626972
MLS Listing,,Single Family Residential,214 Sour Mash Rd,Harpers Ferry,WV,25425,224900,2,1.0,SHANNONDALE,970,21780,1964,2,232,,Active,,,https://www.redfin.com/WV/Harpers-Ferry/214-Sour-Mash-Rd-25425/home/15924283,BRIGHT MLS,WVJF2018610,N,Y,39.2059856,-77.8109898
MLS Listing,,Vacant Land,Symphony Ln,Harpers Ferry,WV,25425,99900,,,Harpers Ferry,,47045,,2,,29,Active,,,https://www.redfin.com/WV/Harpers-Ferry/Symphony-Ln-25425/home/15914132,BRIGHT MLS,WVJF2018666,N,Y,39.38996,-77.740432
MLS Listing,,Vacant Land,0 Wrens View Ln,Harpers Ferry,WV,25425,133000,,,SHANNONDALE,,86684,,2,,,Active,,,https://www.redfin.com/WV/Harpers-Ferry/0-Wrens-View-Ln-25425/home/196694023,BRIGHT MLS,WVJF2018672,N,Y,39.2276269,-77.7899379
MLS Listing,,Vacant Land,Lot 31A Dawn Ln,Harpers Ferry,WV,25425,80000,,,JOHN BROWN FARM,,64033,,7,,3,Active,,,https://www.redfin.com/WV/Harpers-Ferry/31-Dawn-Ln-25425/home/196603098,BRIGHT MLS,WVJF2018532,N,Y,39.1993588,-77.8408662
MLS Listing,,Vacant Land,Lot 32A Dawn Ln,Harpers Ferry,WV,25425,81000,,,JOHN BROWN FARM,,64904,,7,,3,Active,,,https://www.redfin.com/WV/Harpers-Ferry/32-Dawn-Ln-25425/home/196602894,BRIGHT MLS,WVJF2018534,N,Y,39.1991142,-77.8399299
MLS Listing,,Vacant Land,0 Shannondale,Harpers Ferry,WV,25425,38900,,,Harpers Ferry,,32670,,10,,,Active,,,https://www.redfin.com/WV/Harpers-Ferry/0-Shannondale-Rd-25425/home/196533426,NCWVREIN,10160620,N,Y,39.21172,-77.8011537
