SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Condo/Co-op,804 W 10th Ave #2,Anchorage,AK,99501,899900,3,3.5,Anchorage Municipality,2015,,2017,1,447,450,Active,,,https://www.redfin.com/AK/Anchorage/804-W-10th-Ave-99501/unit-2/home/146475327,AKMLS,25-9103,N,Y,61.2126199,-149.8979047
MLS Listing,,Multi-Family (2-4 Unit),4406 Parsons Ave,Anchorage,AK,99508,520000,8,4.0,Anchorage Municipality,4056,12500,1983,1,128,,Active,,,https://www.redfin.com/AK/Anchorage/4406-Parsons-Ave-99508/home/131861459,AKMLS,25-9810,N,Y,61.2294492,-149.7986214
MLS Listing,,Multi-Family (2-4 Unit),808 N Flower St,Anchorage,AK,99508,540000,9,4.0,Anchorage Municipality,3840,6098,1984,1,141,,Active,,,https://www.redfin.com/AK/Anchorage/808-N-Flower-St-99508/home/131738261,AKMLS,25-9809,N,Y,61.2306705,-149.8070469
MLS Listing,,Condo/Co-op,4355 Constellation Ave #23,Anchorage,AK,99517,275000,2,2.0,Anchorage Municipality,864,,1985,1,318,432,Active,,,https://www.redfin.com/AK/Anchorage/4355-Constellation-Ave-99517/unit-23/home/131517451,AKMLS,25-9807,N,Y,61.181502,-149.949318
MLS Listing,,Condo/Co-op,2819 Malibu Meadows Way Unit B1,Anchorage,AK,99517,289900,2,1.5,Anchorage Municipality,1090,,2004,1,266,294,Active,,,https://www.redfin.com/AK/Anchorage/2819-Malibu-Meadows-Way-99517/unit-B1/home/177703593,AKMLS,25-9799,N,Y,61.175511,-149.936407
MLS Listing,,Condo/Co-op,11351 Discovery View Dr #103,Anchorage,AK,99515,365000,2,2.0,Anchorage Municipality,1120,,2006,1,326,512,Active,,,https://www.redfin.com/AK/Anchorage/11351-Discovery-View-Dr-99515/unit-103/home/172163564,AKMLS,25-9797,N,Y,61.1190382,-149.9296627
MLS Listing,,Single Family Residential,8210 Sundi Dr,Anchorage,AK,99502,655000,3,2.5,Anchorage Municipality,3721,43475,1971,1,176,,Active,,,https://www.redfin.com/AK/Anchorage/8210-Sundi-Dr-99502/home/131880924,AKMLS,25-9746,N,Y,61.1462357,-149.973011
MLS Listing,,Single Family Residential,20104 Highland Ridge Dr,Eagle River,AK,99577,629000,5,3.5,Anchorage Municipality,2986,5750,2003,1,211,48,Active,,,https://www.redfin.com/AK/Eagle-River/20104-Highland-Ridge-Dr-99577/home/131470828,AKMLS,25-9190,N,Y,61.3027148,-149.5074562
MLS Listing,,Single Family Residential,3910 Image Dr,Anchorage,AK,99504,419900,3,2.0,Anchorage Municipality,1707,4792,1992,1,246,,Active,August-2-2025 01:00 PM,August-2-2025 03:00 PM,https://www.redfin.com/AK/Anchorage/3910-Image-Dr-99504/home/131555585,AKMLS,25-9647,N,Y,61.1851133,-149.7715074
MLS Listing,,Single Family Residential,3161 Doil Dr,Anchorage,AK,99507,300000,3,1.5,Anchorage Municipality,1148,3579,1983,1,261,,Active,,,https://www.redfin.com/AK/Anchorage/3161-Doil-Dr-99507/home/131530961,AKMLS,25-9763,N,Y,61.165756,-149.8198102
MLS Listing,,Single Family Residential,3540 E 142nd Ave,Anchorage,AK,99516,1500000,5,5.0,Anchorage Municipality,6200,98904,1962,1,242,42,Active,August-1-2025 04:00 PM,August-1-2025 07:00 PM,https://www.redfin.com/AK/Anchorage/3540-E-142nd-Ave-99516/home/131639544,AKMLS,25-9562,N,Y,61.0921547,-149.8156164
MLS Listing,,Single Family Residential,8611 Flamingo Dr,Anchorage,AK,99502,599900,5,1.5,Anchorage Municipality,2846,9144,1976,1,211,,Active,August-2-2025 01:00 PM,August-2-2025 03:00 PM,https://www.redfin.com/AK/Anchorage/8611-Flamingo-Dr-99502/home/131452901,AKMLS,25-9658,N,Y,61.1432199,-149.926001
MLS Listing,,Single Family Residential,5043 E 43rd Ave,Anchorage,AK,99508,399900,4,3.0,Anchorage Municipality,2296,9165,1971,1,174,,Active,,,https://www.redfin.com/AK/Anchorage/5043-E-43rd-Ave-99508/home/131485166,AKMLS,25-9186,N,Y,61.1819326,-149.7861578
MLS Listing,,Condo/Co-op,3129 Rosella St Unit E,Anchorage,AK,99504,279900,3,1.0,Anchorage Municipality,1300,,1974,1,215,350,Active,,,https://www.redfin.com/AK/Anchorage/3129-Rosella-St-99504/unit-E/home/131823999,AKMLS,25-9279,N,Y,61.1918726,-149.7602526
MLS Listing,,Single Family Residential,11776 Wilderness Dr,Anchorage,AK,99516,545000,3,2.5,Anchorage Municipality,2254,21780,1976,1,242,,Active,August-2-2025 02:00 PM,August-2-2025 04:00 PM,https://www.redfin.com/AK/Anchorage/11776-Wilderness-Dr-99516/home/131836378,AKMLS,25-9676,N,Y,61.1135404,-149.7982473
MLS Listing,,Single Family Residential,3411 Meadowbrook Cir,Anchorage,AK,99504,342000,4,1.0,Anchorage Municipality,1464,5704,1986,1,234,,Active,,,https://www.redfin.com/AK/Anchorage/3411-Meadowbrook-Cir-99504/home/131545511,AKMLS,25-9683,N,Y,61.1896873,-149.734762
MLS Listing,,Single Family Residential,3040 Chesapeake Cir,Anchorage,AK,99516,637000,4,3.0,Anchorage Municipality,2855,9600,1983,1,223,25,Active,August-2-2025 03:00 PM,August-2-2025 05:00 PM,https://www.redfin.com/AK/Anchorage/3040-Chesapeake-Cir-99516/home/131051286,AKMLS,25-9288,N,Y,61.101585,-149.8246354
MLS Listing,,Single Family Residential,16207 Squaw Valley Cir,Eagle River,AK,99577,490000,3,2.0,Anchorage Municipality,1754,6078,1982,1,279,,Active,August-3-2025 02:00 PM,August-3-2025 05:00 PM,https://www.redfin.com/AK/Eagle-River/16207-Squaw-Valley-Cir-99577/home/131499484,AKMLS,25-9133,N,Y,61.3221587,-149.5799407
MLS Listing,,Single Family Residential,19641 Highland Ridge Dr,Eagle River,AK,99577,454500,3,2.0,Anchorage Municipality,1864,3981,1999,1,244,,Active,,,https://www.redfin.com/AK/Eagle-River/19641-Highland-Ridge-Dr-99577/home/131628417,AKMLS,25-9725,N,Y,61.3025771,-149.5161049
MLS Listing,,Single Family Residential,8738 Lassen St,Eagle River,AK,99577,645000,4,2.5,Anchorage Municipality,2574,7840,2003,1,251,18,Active,,,https://www.redfin.com/AK/Eagle-River/8738-Lassen-St-99577/home/131727576,AKMLS,25-9612,N,Y,61.2993526,-149.5652394
MLS Listing,,Condo/Co-op,2320 McRae Rd #7,Anchorage,AK,99517,188000,2,1.0,Anchorage Municipality,957,,1976,1,196,350,Active,,,https://www.redfin.com/AK/Anchorage/2320-McRae-Rd-99517/unit-7/home/131747398,AKMLS,25-9104,N,Y,61.1859153,-149.9271047
