SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Single Family Residential,122 Abington Dr,Little Rock,AR,72223,965000,5,5.0,Pulaski County West,3976,11761,2025,1,243,57,Active,,,https://www.redfin.com/AR/Little-Rock/122-Abington-Dr-72223/home/196776006,CARMLS,25030540,N,Y,34.7893786,-92.4531619
MLS Listing,,Single Family Residential,147 Woodlands Park Dr,Little Rock,AR,72211,429000,3,2.0,Lit - West Little Rock (northwes,1805,6098,2023,1,238,125,Active,,,https://www.redfin.com/AR/Little-Rock/147-Woodlands-Park-Dr-72211/home/187010997,CARMLS,25030539,N,Y,34.740617,-92.426685
MLS Listing,,Single Family Residential,5015 E Crestwood Dr,Little Rock,AR,72207,410000,3,2.5,Little Rock (heights/hillcrest),2587,12196,1925,1,158,,Active,,,https://www.redfin.com/AR/Little-Rock/5015-E-Crestwood-Dr-72207/home/81371451,CARMLS,25030535,N,Y,34.7646153,-92.3290886
MLS Listing,,Single Family Residential,4207 W 15th St,Little Rock,AR,72204,75000,3,3.0,Little Rock (ualr),1751,6969,1937,1,43,,Active,,,https://www.redfin.com/AR/Little-Rock/4207-W-15th-St-72204/home/95323050,CARMLS,25030532,N,Y,34.7375309,-92.3207269
MLS Listing,,Single Family Residential,424 Valley Ranch Cir,Little Rock,AR,72223,335000,2,2.0,Pulaski County West,1755,3920,2017,1,191,125,Active,,,https://www.redfin.com/AR/Little-Rock/424-Valley-Ranch-Cir-72223/home/112365185,CARMLS,25030528,N,Y,34.8124536,-92.4734513
MLS Listing,,Single Family Residential,418 Wildcreek Cir,Little Rock,AR,72223,460000,3,2.0,Pulaski County West,2300,5662,2017,1,200,38,Active,August-3-2025 02:00 PM,August-3-2025 04:00 PM,https://www.redfin.com/AR/Little-Rock/418-Wildcreek-Cir-72223/home/144813102,CARMLS,25030520,N,Y,34.7693452,-92.4869051
MLS Listing,,Single Family Residential,1720 Glenda Dr,Little Rock,AR,72205,214900,3,3.0,Lit - West Little Rock (central),1811,11325,1965,1,119,,Active,,,https://www.redfin.com/AR/Little-Rock/1720-Glenda-Dr-72205/home/95345301,CARMLS,25030513,N,Y,34.7378903,-92.3826306
MLS Listing,,Single Family Residential,1606 Wetherborne Dr,Little Rock,AR,72211,647500,4,3.5,Lit - West Little Rock (northwes,3709,13503,2007,1,175,41,Active,,,https://www.redfin.com/AR/Little-Rock/1606-Wetherborne-Dr-72211/home/82903853,CARMLS,25030505,N,Y,34.7674365,-92.4363364
MLS Listing,,Single Family Residential,5 Laurice Cir,Little Rock,AR,,145000,3,1.0,Lit - West Little Rock (central),988,9583,1962,1,147,,Active,,,https://www.redfin.com/AR/Little-Rock/5-Laurice-Cir-72205/home/81395779,CARMLS,25030503,N,Y,34.741726,-92.382085
MLS Listing,,Single Family Residential,10 Valley Crest Ct,Little Rock,AR,72223,2750000,6,9.0,Pulaski County West,16257,193406,2005,1,169,333,Active,,,https://www.redfin.com/AR/Little-Rock/10-Valley-Crest-Ct-72223/home/82848133,CARMLS,25030498,N,Y,34.7930163,-92.4590151
MLS Listing,,Single Family Residential,16920 Valley Falls Dr,Little Rock,AR,72223,3500000,6,8.5,Pulaski County West,8830,41817,2002,1,396,167,Active,,,https://www.redfin.com/AR/Little-Rock/16920-Valley-Falls-Dr-72223/home/95365283,CARMLS,25030496,N,Y,34.7973553,-92.4600989
