SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Townhouse,2873 E Fairmount Ave,Phoenix,AZ,85016,415000,3,2.5,VILLA SEVILLE TOWNHOUSES,1632,2104,1966,8,254,407,Active,,,https://www.redfin.com/AZ/Phoenix/2873-E-Fairmount-Ave-85016/home/27492963,ARMLS,6896169,N,Y,33.4930537,-112.0205222
MLS Listing,,Condo/Co-op,310 S 4th St #1902,Phoenix,AZ,85004,385000,1,1.5,SUMMIT AT COPPER SQUARE CONDOMINIUM 2ND AMD,900,953,2007,8,428,553,Active,,,https://www.redfin.com/AZ/Phoenix/310-S-4th-St-85004/unit-1902/home/28335076,ARMLS,6896136,N,Y,33.4447455,-112.069007
MLS Listing,,Single Family Residential,26271 N 46th Pl,Phoenix,AZ,85050,739000,4,2.0,TATUM RIDGE PARCEL 8 & 10,2151,6330,1995,14,344,45,Active,,,https://www.redfin.com/AZ/Phoenix/26271-N-46th-Pl-85050/home/27932124,ARMLS,6893841,N,Y,33.7251871,-111.9797393
MLS Listing,,Single Family Residential,1219 E Granite View Dr,Phoenix,AZ,85048,735000,5,3.0,CAMELOT RIDGE LOT 179-251 TR A-E,2746,8677,1993,15,268,35,Active,,,https://www.redfin.com/AZ/Phoenix/1219-E-Granite-View-Dr-85048/home/26861662,ARMLS,6893196,N,Y,33.3174088,-112.0598298
MLS Listing,,Single Family Residential,4506 E Michigan Ave,Phoenix,AZ,85032,569000,4,3.0,IMAGES,2105,7039,1990,18,270,23,Active,,,https://www.redfin.com/AZ/Phoenix/4506-E-Michigan-Ave-85032/home/27257971,ARMLS,6891133,N,Y,33.653207,-111.9843653
MLS Listing,,Single Family Residential,3425 E Rosemonte Dr,Phoenix,AZ,85050,615000,3,2.0,THE VISTAS AT NORTH GATE,1971,7334,1991,21,312,,Active,,,https://www.redfin.com/AZ/Phoenix/3425-E-Rosemonte-Dr-85050/home/28119054,ARMLS,6889771,N,Y,33.6571382,-112.0081163
MLS Listing,,Single Family Residential,4803 W Beautiful Ln,Laveen,AZ,85339,378000,4,2.5,CHEATHAM FARMS UNIT 1 AMD,2207,7713,2005,22,171,72,Active,,,https://www.redfin.com/AZ/Laveen/4803-W-Beautiful-Ln-85339/home/28277923,ARMLS,6886890,N,Y,33.3758453,-112.1620699
MLS Listing,,Single Family Residential,1129 E Desert Hills Estate Dr,Phoenix,AZ,85086,895000,4,3.5,BASCOM HILLS,2410,54942,2020,28,371,,Active,,,https://www.redfin.com/AZ/Phoenix/1129-E-Desert-Hills-Estate-Dr-85086/home/171974227,ARMLS,6888465,N,Y,33.8323921,-112.0571229
MLS Listing,,Single Family Residential,10924 S 55th Ln,Laveen,AZ,85339,429000,4,2.0,ELLISON TRAILS,1813,5914,2022,29,237,118,Active,,,https://www.redfin.com/AZ/Laveen/10924-S-55th-Ln-85339/home/173000662,ARMLS,6887932,N,Y,33.3471167,-112.1796978
MLS Listing,,Condo/Co-op,1017 E Maryland Ave #139,Phoenix,AZ,85014,334900,2,2.0,MIRASOL CONDOMINIUMS,1008,1015,1985,34,332,235,Active,,,https://www.redfin.com/AZ/Phoenix/1017-E-Maryland-Ave-85014/unit-139/home/27429209,ARMLS,6885302,N,Y,33.5307619,-112.0598514
MLS Listing,,Single Family Residential,6846 S 26th Pl,Phoenix,AZ,85042,524900,4,3.0,FAIRWAYS AT THE LEGACY UNIT 2 REPLAT,2548,5175,2000,34,206,169,Active,,,https://www.redfin.com/AZ/Phoenix/6846-S-26th-Pl-85042/home/27791427,ARMLS,6885898,N,Y,33.3844724,-112.0256916
MLS Listing,,Single Family Residential,5216 E Half Moon Dr,Phoenix,AZ,85044,399950,2,2.0,AHWATUKEE T-1 2ND REPLAT,1084,3990,1983,34,369,303,Active,,,https://www.redfin.com/AZ/Phoenix/5216-E-Half-Moon-Dr-85044/home/28421158,ARMLS,6885384,N,Y,33.3354669,-111.9736669
MLS Listing,,Single Family Residential,902 E Wahalla Ln,Phoenix,AZ,85024,430000,3,2.0,COUNTRY HILLS AMD,1211,4642,1984,34,355,,Active,,,https://www.redfin.com/AZ/Phoenix/902-E-Wahalla-Ln-85024/home/27885986,ARMLS,6885256,N,Y,33.6674767,-112.0611029
MLS Listing,,Condo/Co-op,3131 N Central Ave #7004,Phoenix,AZ,85012,475000,1,1.5,EDISON MIDTOWN CONDOMINIUMS,808,867,2018,35,588,371,Active,,,https://www.redfin.com/AZ/Phoenix/3131-N-Central-Ave-85012/unit-7004/home/120135247,ARMLS,6885532,N,Y,33.4850941,-112.0733931
MLS Listing,,Single Family Residential,3644 W Maryland Ave,Phoenix,AZ,85019,339000,3,2.0,WEST PLAZA 9 LOT 1249-1410,1416,6713,1959,35,239,,Active,August-2-2025 10:00 AM,August-2-2025 01:00 PM,https://www.redfin.com/AZ/Phoenix/3644-W-Maryland-Ave-85019/home/27729378,ARMLS,6876718,N,Y,33.5314505,-112.1381398
MLS Listing,,Single Family Residential,3426 W Tonto St,Phoenix,AZ,85009,360000,3,2.0,TIERRA VERDE,1528,14210,1950,43,236,,Active,,,https://www.redfin.com/AZ/Phoenix/3426-W-Tonto-St-85009/home/27625076,ARMLS,6876755,N,Y,33.4388042,-112.1336835
MLS Listing,,Single Family Residential,37516 N 34th Dr,Phoenix,AZ,85086,720000,3,2.0,No Subdivision,2209,54610,2001,49,326,,Active,,,https://www.redfin.com/AZ/Phoenix/37516-N-34th-Dr-85086/home/27622254,ARMLS,6879189,N,Y,33.8255228,-112.1345874
MLS Listing,,Single Family Residential,4345 E Annette Dr,Phoenix,AZ,85032,660000,4,2.0,VILLA THERESA AMENDED,2065,10571,2000,49,320,,Active,,,https://www.redfin.com/AZ/Phoenix/4345-E-Annette-Dr-85032/home/27999969,ARMLS,6879127,N,Y,33.6536632,-111.9875232
MLS Listing,,Townhouse,1174 E Belmont Ave,Phoenix,AZ,85020,399000,3,2.0,TORRE BLANCA UNIT 1 AMD,1334,1886,1974,52,299,354,Active,,,https://www.redfin.com/AZ/Phoenix/1174-E-Belmont-Ave-85020/home/27512648,ARMLS,6877676,N,Y,33.5491904,-112.0571343
MLS Listing,,Townhouse,16225 N 30th St #11,Phoenix,AZ,85032,189900,2,1.5,PARADISE GARDEN VILLAS,968,425,1984,63,196,268,Active,,,https://www.redfin.com/AZ/Phoenix/16225-N-30th-St-85032/unit-11/home/27505642,ARMLS,6863210,N,Y,33.6345588,-112.01706
MLS Listing,,Single Family Residential,4254 E Valencia Dr,Phoenix,AZ,85042,875000,4,4.0,LEGACY MOUNTAIN VILLAS,2903,10998,2017,63,301,125,Active,,,https://www.redfin.com/AZ/Phoenix/4254-E-Valencia-Dr-85042/home/167697410,ARMLS,6872734,N,Y,33.377521,-111.991316
MLS Listing,,Townhouse,4236 N 27th St #37,Phoenix,AZ,85016,579000,3,3.5,BILTMORE LIVING TOWNHOMES CONDOMINIUM UNITS 1-40,1816,768,2018,63,319,336,Active,,,https://www.redfin.com/AZ/Phoenix/4236-N-27th-St-85016/unit-37/home/120144249,ARMLS,6872681,N,Y,33.4978209,-112.0243879
MLS Listing,,Condo/Co-op,3150 E Beardsley Rd #1091,Phoenix,AZ,85050,369000,3,2.5,LOS PASEOS CONDOMINIUMS,1361,95,2001,73,271,300,Active,,,https://www.redfin.com/AZ/Phoenix/3150-E-Beardsley-Rd-85050/unit-1091/home/27856028,ARMLS,6868385,N,Y,33.6700354,-112.0141259
MLS Listing,,Single Family Residential,5031 W Grandview Rd,Glendale,AZ,85306,400000,2,2.0,VISTA NORTH 9,1267,8666,1976,77,316,,Active,,,https://www.redfin.com/AZ/Glendale/5031-W-Grandview-Rd-85306/home/28408946,ARMLS,6865523,N,Y,33.6347715,-112.16731
MLS Listing,,Condo/Co-op,424 S 2nd St #306,Phoenix,AZ,85004,405000,1,1.5,DOWNTOWN PHOENIX LOFTS CONDOMINIUM,1114,121,2004,78,364,265,Active,,,https://www.redfin.com/AZ/Phoenix/424-S-2nd-St-85004/unit-306/home/27846264,ARMLS,6866042,N,Y,33.443356,-112.071725
MLS Listing,,Single Family Residential,5025 N 20th Ave,Phoenix,AZ,85015,400000,3,3.0,CHESTERFIELD,1844,6739,1953,84,217,,Active,,,https://www.redfin.com/AZ/Phoenix/5025-N-20th-Ave-85015/home/27522366,ARMLS,6863249,N,Y,33.5105115,-112.1022196
MLS Listing,,Single Family Residential,42711 N 45th Dr,Phoenix,AZ,85087,735000,6,3.0,ANTHEM WEST UNIT 2,3711,9987,2006,90,198,100,Active,,,https://www.redfin.com/AZ/New-River/42711-N-45th-Dr-85087/home/28228979,ARMLS,6860523,N,Y,33.8726035,-112.1566425
