SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Condo/Co-op,469 Ena Rd #2108,Honolulu,HI,96815,820000,2,2.0,WAIKIKI,948,113169,1971,2,865,823,Active,August-3-2025 02:00 PM,August-3-2025 05:00 PM,https://www.redfin.com/HI/Honolulu/469-Ena-Rd-96815/unit-2108/home/91475583,HiCentral MLS,202516798,N,Y,21.2869026,-157.8344475
MLS Listing,,Condo/Co-op,400 Hobron Ln #2809,Honolulu,HI,96815,499000,1,1.0,WAIKIKI,681,104718,1974,18,733,1175,Active,August-3-2025 03:00 PM,August-3-2025 06:00 PM,https://www.redfin.com/HI/Honolulu/400-Hobron-Ln-96815/unit-2809/home/63845956,HiCentral MLS,202515888,N,Y,21.2873137,-157.8360439
MLS Listing,,Condo/Co-op,66 Queen St #2501,Honolulu,HI,96813,1100000,2,2.0,DOWNTOWN,1364,,1994,35,806,1569,Active,,,https://www.redfin.com/HI/Honolulu/66-Queen-St-96813/unit-2501/home/63757081,HiCentral MLS,202511221,N,Y,21.3089844,-157.8635915
MLS Listing,,Condo/Co-op,402 Iolani Ave #204,Honolulu,HI,96813,400000,2,1.0,PUNCHBOWL AREA,592,5881,1967,39,676,440,Active,,,https://www.redfin.com/HI/Honolulu/402-Iolani-Ave-96813/unit-204/home/63753974,HiCentral MLS,202514400,N,Y,21.3107653,-157.8508541
MLS Listing,,Condo/Co-op,1447 Kewalo St #101,Honolulu,HI,96822,270000,0,1.0,MAKIKI AREA,484,27007,1972,57,558,850,Active,,,https://www.redfin.com/HI/Honolulu/1447-Kewalo-St-96822/unit-101/home/88496016,HiCentral MLS,202513575,N,Y,21.3036871,-157.8389739
MLS Listing,,Condo/Co-op,2115 Ala Wai Blvd #501,Honolulu,HI,96815,420000,1,1.0,WAIKIKI,748,13634,1973,64,561,1125,Active,,,https://www.redfin.com/HI/Honolulu/2115-Ala-Wai-Blvd-96815/unit-501/home/63850233,HiCentral MLS,202513004,N,Y,21.283801,-157.82878
MLS Listing,,Condo/Co-op,444 Nahua St #1104,Honolulu,HI,96815,398000,1,1.0,WAIKIKI,531,23348,1976,85,750,1215,Active,,,https://www.redfin.com/HI/Honolulu/444-Nahua-St-96815/unit-1104/home/88503078,HiCentral MLS,202511042,N,Y,21.2801347,-157.8248664
MLS Listing,,Condo/Co-op,3045 Ala Napuaa Pl #1518,Honolulu,HI,96818,389000,1,1.0,SALT LAKE,594,,1974,114,655,853,Active,,,https://www.redfin.com/HI/Honolulu/3045-Ala-Napuaa-Pl-96818/unit-1518/home/88474483,HiCentral MLS,202507953,N,Y,21.3443108,-157.9074901
MLS Listing,,Condo/Co-op,949 Ala Nanala St #301,Honolulu,HI,96818,375000,2,1.0,SALT LAKE,700,31102,1974,116,536,1025,Active,,,https://www.redfin.com/HI/Honolulu/949-Ala-Nanala-St-96818/unit-301/home/63805021,HiCentral MLS,202508075,N,Y,21.3462172,-157.9097469
