SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Single Family Residential,565 Curlew Dr,Idaho Falls,ID,83401,575900,5,2.5,SIMPLICITY SUBDIVISION-BON,2962,7841,2025,1,194,85,Active,,,https://www.redfin.com/ID/Ammon/565-N-Curlew-Dr-83401/home/195941435,SRMLS,2178645,N,Y,43.500698,-111.976284
MLS Listing,,Single Family Residential,1278 Meadow Edge Ct,Idaho Falls,ID,83402,324900,3,2.5,Barnwood Estates,1531,1041,2025,1,212,90,Active,,,https://www.redfin.com/ID/Idaho-Falls/1278-Meadow-Edge-CT-Unknown/home/195650365,SRMLS,2178644,N,Y,43.4926602,-112.0407506
MLS Listing,,Single Family Residential,3058 Jackie Ct,Idaho Falls,ID,83402,349000,3,2.0,VILLAGE-BON,1512,6534,1999,1,231,,Active,,,https://www.redfin.com/ID/Idaho-Falls/3058-Jackie-Ct-83402/home/115745819,SRMLS,2178635,N,Y,43.5049262,-112.0918675
MLS Listing,,Vacant Land,TBD Foothill Rd,Idaho Falls,ID,83401,2194200,,,IDAHO FALLS,,5373039,,1,,,Active,,,https://www.redfin.com/ID/Unknown/TBD-Foothill-Rd-83401/home/184564131,SRMLS,2178628,N,Y,43.5626529,-111.90885589
MLS Listing,,Single Family Residential,5077 E Ball Cir,Iona,ID,83427,530000,4,2.0,FREEDOM FIELD ESTATES-BON,3216,21780,2021,1,165,10,Active,,,https://www.redfin.com/ID/Iona/5077-E-Ball-Ct-83427/home/181982987,SRMLS,2178619,N,Y,43.5358133,-111.9325175
MLS Listing,,Single Family Residential,1405 Ponderosa Dr,Idaho Falls,ID,83401,329000,4,2.0,Anderson-Jeppson,1261,9583,1952,1,261,,Active,,,https://www.redfin.com/ID/Idaho-Falls/1405-Ponderosa-Dr-83404/home/115499893,PCTMLS,580134,N,Y,43.4852203,-112.0123923
MLS Listing,,Single Family Residential,5115 Rock Hollow Ln,Idaho Falls,ID,83401,529000,6,3.0,FAIRWAY ESTATES-BON,3348,13504,2020,1,158,10,Active,August-2-2025 02:00 PM,August-2-2025 04:00 PM,https://www.redfin.com/ID/Idaho-Falls/5115-Rock-Hollow-Ln-83401/home/176245966,SRMLS,2178612,N,Y,43.5409771,-112.0335712
MLS Listing,,Single Family Residential,4225 Silverado Dr,Idaho Falls,ID,83404,549000,5,3.5,BRISTOL HEIGHTS-BON,3350,11282,2008,1,164,15,Active,,,https://www.redfin.com/ID/Idaho-Falls/4225-Silverado-Dr-83404/home/115502890,SRMLS,2178609,N,Y,43.4598718,-112.0400798
MLS Listing,,Single Family Residential,6775 S 46th E,Idaho Falls,ID,83406,1800000,7,4.0,POLO CLUB ESTATES-BON,5336,116305,2022,2,337,125,Active,,,https://www.redfin.com/ID/Idaho-Falls/6775-S-46th-E-83406/home/115355720,SRMLS,2178595,N,Y,43.4358053,-111.9402868
MLS Listing,,Single Family Residential,740 N Butterfly Dr,Idaho Falls,ID,83401,318000,3,1.0,CLOVERDALE ESTATES-BON,1063,10019,1977,2,299,,Active,,,https://www.redfin.com/ID/Idaho-Falls/740-Butterfly-Dr-83401/home/115579635,SRMLS,2178594,N,Y,43.5017863,-111.947162
MLS Listing,,Single Family Residential,2585 Ridgecrest Dr,Idaho Falls,ID,83404,525000,4,2.5,CEDAR RIDGE SUBDIVISION-BON,3600,10890,1997,2,146,,Active,,,https://www.redfin.com/ID/Idaho-Falls/2585-Ridgecrest-Dr-83404/home/115798612,SRMLS,2178592,N,Y,43.4746835,-112.0135453
