SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Single Family Residential,2007 Schumacher Dr,Naperville,IL,60540,549900,4,3.5,Naperville,2212,,1995,1,249,,Active,August-9-2025 12:00 PM,August-9-2025 02:00 PM,https://www.redfin.com/IL/Naperville/2007-Schumacher-Dr-60540/home/18068758,MRED as Distributed by MLS Grid,12430211,N,Y,41.7541845,-88.1890369
MLS Listing,,Single Family Residential,3620 Ambrosia Dr,Naperville,IL,60564,924000,5,5.0,Wagner Farms,3600,,2022,1,257,58,Active,,,https://www.redfin.com/IL/Naperville/3620-Ambrosia-Dr-60564/home/184853485,MRED as Distributed by MLS Grid,12433285,N,Y,41.7011804,-88.2040379
MLS Listing,,Single Family Residential,2224 Flambeau Dr,Naperville,IL,60564,600000,4,2.5,Naperville,2270,,1987,6,264,,Active,August-3-2025 01:00 PM,August-3-2025 03:00 PM,https://www.redfin.com/IL/Naperville/2224-Flambeau-Dr-60564/home/23330829,MRED as Distributed by MLS Grid,12429953,N,Y,41.7237372,-88.173478
MLS Listing,,Single Family Residential,2412 Lucent Ln,Naperville,IL,60563,899000,5,3.0,Naperville,3382,,2024,7,266,96,Active,,,https://www.redfin.com/IL/Naperville/2412-Lucent-Ln-60563/home/179610880,MRED as Distributed by MLS Grid,12428108,N,Y,41.8180194,-88.1216603
MLS Listing,,Condo/Co-op,1543 Raymond Dr #204,Naperville,IL,60563,245000,2,2.0,Naperville,966,,1985,7,254,388,Active,,,https://www.redfin.com/IL/Naperville/1543-Raymond-Dr-60563/unit-204/home/17975740,MRED as Distributed by MLS Grid,12424395,N,Y,41.7941347,-88.1900131
MLS Listing,,Townhouse,1644 Windward Ave,Naperville,IL,60563,389000,3,2.5,Riverbrook West,1984,,2000,14,196,411,Active,,,https://www.redfin.com/IL/Naperville/1644-Windward-Ct-60563/home/22190667,MRED as Distributed by MLS Grid,12416693,N,Y,41.7797366,-88.1900539
MLS Listing,,Condo/Co-op,1329 Queensgreen Cir,Naperville,IL,60563,325000,2,1.5,Terraces of Brookdale,1297,,1986,16,251,315,Active,,,https://www.redfin.com/IL/Naperville/1329-Queensgreen-Cir-60563/home/196179448,MRED as Distributed by MLS Grid,12421135,N,Y,41.7915002,-88.1870428
MLS Listing,,Townhouse,30W003 Brayman Ct,Warrenville,IL,60563,449900,3,2.5,Lexington Trace,2006,1092,2022,21,224,235,Active,,,https://www.redfin.com/IL/Warrenville/30W003-Brayman-Ct-60563/home/185881143,MRED as Distributed by MLS Grid,12410737,N,Y,41.817759,-88.205239
MLS Listing,,Single Family Residential,584 Beaconsfield Ave,Naperville,IL,60565,599900,4,2.5,Cedar Glen,2130,6098,1987,21,282,,Active,,,https://www.redfin.com/IL/Naperville/584-Beaconsfield-Ave-60565/home/23237927,MRED as Distributed by MLS Grid,12412448,N,Y,41.7251889,-88.1603024
MLS Listing,,Single Family Residential,8S452 Bell Dr,Naperville,IL,60565,2500000,7,5.5,Naperville,6300,45750,1975,22,397,,Active,,,https://www.redfin.com/IL/Naperville/8S452-Bell-Dr-60565/home/14156080,MRED as Distributed by MLS Grid,12410521,N,Y,41.7475109,-88.1216722
MLS Listing,,Single Family Residential,557 Juniper Dr,Naperville,IL,60540,1275000,5,5.5,West Highlands,4790,,2005,34,266,,Active,,,https://www.redfin.com/IL/Naperville/557-Juniper-Dr-60540/home/18070462,MRED as Distributed by MLS Grid,12405821,N,Y,41.7507597,-88.1558598
MLS Listing,,Single Family Residential,2247 Palmer Cir,Naperville,IL,60564,999000,4,4.0,White Eagle,3850,15681,1994,1,259,97,Active,,,https://www.redfin.com/IL/Naperville/2247-Palmer-Cir-60564/home/23238096,MRED as Distributed by MLS Grid,12435146,N,Y,41.72299,-88.2077095
MLS Listing,,Single Family Residential,805 Potomac Ave,Naperville,IL,60565,800000,4,3.5,Naperville,4188,,1983,1,191,,Active,August-2-2025 01:00 PM,August-2-2025 03:00 PM,https://www.redfin.com/IL/Naperville/805-Potomac-Ave-60565/home/23339794,MRED as Distributed by MLS Grid,12432028,N,Y,41.7264689,-88.115588
MLS Listing,,Townhouse,2206 Weatherbee Ln,Naperville,IL,60563,624900,3,2.5,Naper Commons,2100,7200,2022,1,298,348,Active,,,https://www.redfin.com/IL/Naperville/2206-Weatherbee-Ln-60563/home/182266171,MRED as Distributed by MLS Grid,12435049,N,Y,41.813289,-88.117473
MLS Listing,,Single Family Residential,1401 Sussex Rd,Naperville,IL,60540,749900,5,2.5,Huntington Commons,3118,14374,1976,1,241,,Active,,,https://www.redfin.com/IL/Naperville/1401-Sussex-Rd-60540/home/14165358,MRED as Distributed by MLS Grid,12434858,N,Y,41.7766767,-88.1154693
MLS Listing,,Single Family Residential,1500 Sequoia Rd,Naperville,IL,60540,699900,4,3.0,West Wind,2669,11761,1987,1,262,,Active,August-3-2025 12:00 PM,August-3-2025 02:00 PM,https://www.redfin.com/IL/Naperville/1500-Sequoia-Rd-60540/home/18072400,MRED as Distributed by MLS Grid,12434776,N,Y,41.7582996,-88.1794095
MLS Listing,,Condo/Co-op,2148 Sunderland Ct Unit 101A,Naperville,IL,60565,310000,3,2.0,Old Sawmill,1250,,1984,1,248,,Active,,,https://www.redfin.com/IL/Naperville/2148-Sunderland-Ct-60565/unit-101A/home/18038547,MRED as Distributed by MLS Grid,12422303,N,Y,41.728011,-88.133677
MLS Listing,,Single Family Residential,1636 Canyon Run Rd,Naperville,IL,60565,799000,5,3.5,Naperville,3659,13068,1993,1,218,,Active,,,https://www.redfin.com/IL/Naperville/1636-Canyon-Run-Rd-60565/home/18035588,MRED as Distributed by MLS Grid,12434726,N,Y,41.7341407,-88.099592
MLS Listing,,Single Family Residential,1312 Frederick Ln,Naperville,IL,60565,525000,4,2.5,Bay Colony,2623,13939,1971,1,200,,Active,August-2-2025 01:00 PM,August-2-2025 03:00 PM,https://www.redfin.com/IL/Naperville/1312-Frederick-Ln-60565/home/18039488,MRED as Distributed by MLS Grid,12428878,N,Y,41.7469202,-88.1465672
MLS Listing,,Single Family Residential,6S475 Sussex Rd,Naperville,IL,60540,624900,4,2.5,Huntington,2501,,1973,1,250,17,Active,August-3-2025 12:00 PM,August-3-2025 02:00 PM,https://www.redfin.com/IL/Naperville/6S475-Sussex-Rd-60540/home/18051722,MRED as Distributed by MLS Grid,12434624,N,Y,41.7765567,-88.1130966
MLS Listing,,Single Family Residential,223 Center St,Naperville,IL,60540,1499000,5,5.0,Naperville,3476,7500,2024,1,431,,Active,August-3-2025 01:00 PM,August-3-2025 03:00 PM,https://www.redfin.com/IL/Naperville/223-Center-St-60540/home/18050791,MRED as Distributed by MLS Grid,12434606,N,Y,41.7782582,-88.1464698
MLS Listing,,Single Family Residential,1343 Dunrobin Rd,Naperville,IL,60540,1050000,4,2.5,Olesen Estates,4370,18295,1996,1,240,,Active,August-2-2025 12:00 PM,August-2-2025 02:00 PM,https://www.redfin.com/IL/Naperville/1343-Dunrobin-Rd-60540/home/18050293,MRED as Distributed by MLS Grid,12395659,N,Y,41.7711517,-88.1157865
MLS Listing,,Townhouse,1724 Tamahawk Ln,Naperville,IL,60564,375000,2,1.5,Winchester Trails,1695,2415,1995,1,221,270,Active,August-3-2025 12:00 PM,August-3-2025 02:00 PM,https://www.redfin.com/IL/Naperville/1724-Tamahawk-Ln-60564/home/23377930,MRED as Distributed by MLS Grid,12434369,N,Y,41.7109335,-88.1834596
MLS Listing,,Townhouse,558 Harlowe Ln,Naperville,IL,60565,450000,2,2.5,Baileywood,1829,,1995,1,246,381,Active,,,https://www.redfin.com/IL/Naperville/558-Harlowe-Ln-60565/home/18040866,MRED as Distributed by MLS Grid,12434138,N,Y,41.7415687,-88.1199461
MLS Listing,,Townhouse,431 Orleans Ave #431,Naperville,IL,60565,474900,3,3.5,Orleans,,,1990,1,,370,Active,,,https://www.redfin.com/IL/Naperville/431-Orleans-Ave-60565/unit-431/home/183977577,MRED as Distributed by MLS Grid,12433446,N,Y,41.7383136,-88.1204971
MLS Listing,,Townhouse,3331 Rosecroft Ln,Naperville,IL,60564,410000,3,2.5,Heatherstone,1931,1680,2001,1,212,400,Active,August-3-2025 01:00 PM,August-3-2025 03:00 PM,https://www.redfin.com/IL/Naperville/3331-Rosecroft-Ln-60564/home/23334601,MRED as Distributed by MLS Grid,12434032,N,Y,41.7115969,-88.211061
MLS Listing,,Single Family Residential,1202 Chateaugay Ave,Naperville,IL,60540,740000,4,2.5,Hobson Village,2700,10018,1979,1,274,13,Active,,,https://www.redfin.com/IL/Naperville/1202-Chateaugay-Ave-60540/home/18048213,MRED as Distributed by MLS Grid,12413272,N,Y,41.7616782,-88.1243722
MLS Listing,,Single Family Residential,2633 Haddassah Dr,Naperville,IL,60565,774900,5,3.0,Knoch Knolls,3002,,1992,1,258,8,Active,,,https://www.redfin.com/IL/Naperville/2633-Haddassah-Dr-60565/home/23262043,MRED as Distributed by MLS Grid,12433641,N,Y,41.7170653,-88.1474158
MLS Listing,,Condo/Co-op,2604 Sheehan Ct #204,Naperville,IL,60564,309900,2,2.0,Windridge,1240,,1998,1,250,273,Active,,,https://www.redfin.com/IL/Naperville/2604-Sheehan-Ct-60564/unit-204/home/23170752,MRED as Distributed by MLS Grid,12429267,N,Y,41.7177188,-88.2021992
MLS Listing,,Townhouse,1379 Danada Ct,Naperville,IL,60563,480000,2,2.5,Naperville,2333,3597,2001,1,206,310,Active,,,https://www.redfin.com/IL/Naperville/1379-Danada-Ct-60563/home/17991019,MRED as Distributed by MLS Grid,12433577,N,Y,41.8140612,-88.1152464
MLS Listing,,Single Family Residential,5083 Prairie Sage Ln,Naperville,IL,60564,600000,4,2.5,High Meadow,2780,13840,1998,1,216,19,Active,,,https://www.redfin.com/IL/Naperville/5083-Prairie-Sage-Ln-60564/home/23299137,MRED as Distributed by MLS Grid,12433282,N,Y,41.6793881,-88.2014761
MLS Listing,,Single Family Residential,1216 Suffolk St,Naperville,IL,60563,599900,4,2.5,Saybrook,1833,10018,1964,1,327,,Active,,,https://www.redfin.com/IL/Naperville/1216-Suffolk-St-60563/home/18059062,MRED as Distributed by MLS Grid,12431425,N,Y,41.7903324,-88.146018
MLS Listing,,Single Family Residential,1309 Monmouth Ave,Naperville,IL,60565,414900,3,1.5,University Heights,1320,,1984,2,314,,Active,,,https://www.redfin.com/IL/Naperville/1309-Monmouth-Ave-60565/home/18036505,MRED as Distributed by MLS Grid,12330769,N,Y,41.7382563,-88.1073269
MLS Listing,,Single Family Residential,1105 Greensfield Dr,Naperville,IL,60563,415000,3,2.0,Naperville,1976,6375,1979,2,210,,Active,August-2-2025 11:00 AM,August-2-2025 01:00 PM,https://www.redfin.com/IL/Naperville/1105-Greensfield-Dr-60563/home/18051373,MRED as Distributed by MLS Grid,12425343,N,Y,41.7833469,-88.1295131
MLS Listing,,Single Family Residential,6S503 Bridlespur Dr,Naperville,IL,60540,630000,4,3.5,Naperville,3355,13638,1970,2,188,,Active,,,https://www.redfin.com/IL/Naperville/6S503-Bridlespur-Dr-60540/home/18051704,MRED as Distributed by MLS Grid,12432912,N,Y,41.7760668,-88.110383
MLS Listing,,Condo/Co-op,630 Zaininger Ave Unit D,Naperville,IL,60563,325000,3,2.0,Creekside Court,1375,,1982,2,236,351,Active,,,https://www.redfin.com/IL/Naperville/630-Zaininger-Ave-60563/unit-D/home/18077136,MRED as Distributed by MLS Grid,12430478,N,Y,41.7871102,-88.1595179
MLS Listing,,Single Family Residential,28W409 Leverenz Rd,Naperville,IL,60564,625000,4,3.0,Naperville,2597,20908,1975,2,241,,Active,,,https://www.redfin.com/IL/Naperville/28W409-Leverenz-Rd-60564/home/23368513,MRED as Distributed by MLS Grid,12432174,N,Y,41.717863,-88.177235
MLS Listing,,Single Family Residential,1552 Chat Ct,Naperville,IL,60565,690000,4,2.5,Maplebrook II,2810,,1970,2,246,,Active,August-3-2025 11:00 AM,August-3-2025 01:00 PM,https://www.redfin.com/IL/Naperville/1552-Chat-Ct-60565/home/18039688,MRED as Distributed by MLS Grid,12432742,N,Y,41.7420164,-88.1324274
MLS Listing,,Townhouse,828 E Franklin Ave,Naperville,IL,60540,1299900,3,3.5,Naperville,2817,4708,2025,2,461,,Active,,,https://www.redfin.com/IL/Naperville/828-E-Franklin-Ave-60540/home/193270569,MRED as Distributed by MLS Grid,12432557,N,Y,41.7756594,-88.1353923
MLS Listing,,Townhouse,1629 Masters Ct,Naperville,IL,60563,375000,3,2.5,Naperville,2343,2366,1988,2,160,245,Active,August-2-2025 11:00 AM,August-2-2025 01:00 PM,https://www.redfin.com/IL/Naperville/1629-Masters-Ct-60563/home/18081748,MRED as Distributed by MLS Grid,12432465,N,Y,41.7983816,-88.2192584
MLS Listing,,Single Family Residential,839 Bellingrath Ct,Naperville,IL,60563,1100000,5,3.5,Columbia Estates,3540,9583,1984,2,311,,Active,,,https://www.redfin.com/IL/Naperville/839-Bellingrath-Ct-60563/home/18051073,MRED as Distributed by MLS Grid,12411174,N,Y,41.7820738,-88.1354967
MLS Listing,,Single Family Residential,4848 Snapjack Cir,Naperville,IL,60564,625000,4,2.5,Naperville,2815,,1996,2,222,29,Active,,,https://www.redfin.com/IL/Naperville/4848-Snapjack-Cir-60564/home/23156494,MRED as Distributed by MLS Grid,12432256,N,Y,41.6811999,-88.1943483
MLS Listing,,Single Family Residential,1585 Winberie Ct,Naperville,IL,60564,960000,5,3.5,White Eagle,3530,16805,1989,2,272,97,Active,,,https://www.redfin.com/IL/Naperville/1585-Winberie-Ct-60564/home/18063053,MRED as Distributed by MLS Grid,12432131,N,Y,41.7255626,-88.2184556
MLS Listing,,Townhouse,838 Havenshire Rd,Naperville,IL,60565,534900,6,3.5,Ranches of Havenshire,2382,6048,1998,2,225,365,Active,August-2-2025 01:00 PM,August-2-2025 04:00 PM,https://www.redfin.com/IL/Naperville/838-Havenshire-Rd-60565/home/18069206,MRED as Distributed by MLS Grid,12432078,N,Y,41.7455864,-88.1622281
MLS Listing,,Single Family Residential,670 Melody Ln,Naperville,IL,60540,549000,3,1.5,East Highlands,1800,11996,1958,2,305,,Active,,,https://www.redfin.com/IL/Naperville/670-Melody-Ln-60540/home/14353654,MRED as Distributed by MLS Grid,12400889,N,Y,41.7637137,-88.1470535
MLS Listing,,Townhouse,1959 Lancaster Ct #1,Naperville,IL,60565,290000,2,2.5,Lancaster Coach,1312,,1991,3,221,290,Active,,,https://www.redfin.com/IL/Naperville/1959-Lancaster-Ct-60565/unit-1/home/18038968,MRED as Distributed by MLS Grid,12399385,N,Y,41.7310933,-88.1331481
MLS Listing,,Single Family Residential,7S448 Arbor Dr,Naperville,IL,60540,2150000,5,4.5,Green Acres,4422,37461,2006,3,486,8,Active,,,https://www.redfin.com/IL/Naperville/7S448-Arbor-Dr-60540/home/18070308,MRED as Distributed by MLS Grid,12423484,N,Y,41.7611698,-88.1652331
MLS Listing,,Single Family Residential,36 Oak Bluff Ct,Naperville,IL,60565,1220000,5,5.0,Naperville,4700,,1996,3,260,,Active,,,https://www.redfin.com/IL/Naperville/36-Oak-Bluff-Ct-60565/home/23193226,MRED as Distributed by MLS Grid,12409293,N,Y,41.7184746,-88.1310116
