SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Single Family Residential,913 N Wilbur Ln,Wichita,KS,67212,239900,4,2.0,COUNTRY ACRES,1755,9147,1958,1,137,,Active,,,https://www.redfin.com/KS/Wichita/913-N-Wilbur-Ln-67212/home/120848788,SCKMLS as Distributed by MLS Grid,659518,N,Y,37.6986368,-97.4279744
MLS Listing,,Single Family Residential,2338 S Linden Cir,Wichita,KS,67207-5810,220000,4,2.5,HEDGECLIFF,1950,10454,1985,1,113,,Active,,,https://www.redfin.com/KS/Wichita/2338-S-Linden-Cir-67207/home/121376617,SCKMLS as Distributed by MLS Grid,659516,N,Y,37.6508099,-97.2322485
MLS Listing,,Single Family Residential,625 W 55th St S,Wichita,KS,67217,174900,2,1.0,NONE LISTED ON TAX RECORD,1078,59241,1955,1,162,,Active,,,https://www.redfin.com/KS/Wichita/625-W-55th-St-S-67217/home/121126561,SCKMLS as Distributed by MLS Grid,659513,N,Y,37.5932854,-97.3452754
MLS Listing,,Single Family Residential,1925 S Chateau St,Wichita,KS,67207,239000,3,2.0,SMITHMOOR,1670,6969,2000,1,143,,Active,,,https://www.redfin.com/KS/Wichita/1925-S-Chateau-St-67207/home/119389187,SCKMLS as Distributed by MLS Grid,659512,N,Y,37.6582574,-97.2138791
MLS Listing,,Single Family Residential,842 N Coolidge,Wichita,KS,67203-3114,180000,2,1.0,RIVERSIDE,1278,6969,1922,1,141,,Active,,,https://www.redfin.com/KS/Wichita/842-N-Coolidge-Ave-67203/home/119857927,SCKMLS as Distributed by MLS Grid,659510,N,Y,37.69888,-97.360072
MLS Listing,,Townhouse,8811 E Churchill Cir,Wichita,KS,67206,725000,4,3.0,WILSON ESTATES,3810,12632,2002,1,190,133,Active,,,https://www.redfin.com/KS/Wichita/8811-E-Churchill-Cir-67206/home/119792412,SCKMLS as Distributed by MLS Grid,659507,N,Y,37.7198381,-97.2345811
MLS Listing,,Single Family Residential,3406 N Beach Club Cir,Wichita,KS,67205,900000,4,5.0,PIER 37,2591,28314,2018,1,347,450,Active,August-3-2025 02:00 PM,August-3-2025 04:00 PM,https://www.redfin.com/KS/Wichita/3406-N-Beach-Club-Cir-67205/home/121783732,SCKMLS as Distributed by MLS Grid,659508,N,Y,37.7452789,-97.4273901
MLS Listing,,Single Family Residential,105 N Terrace Dr,Wichita,KS,67208,325000,3,1.5,MARSH MANOR,2128,6969,1926,1,153,,Active,,,https://www.redfin.com/KS/Wichita/105-N-Terrace-Dr-67208/home/120023077,SCKMLS as Distributed by MLS Grid,659503,N,Y,37.6868595,-97.2842644
MLS Listing,,Single Family Residential,1918 N Westfield St,Wichita,KS,67212,269900,3,2.0,JAMESBURG PARK,1874,8276,1983,1,144,,Active,,,https://www.redfin.com/KS/Wichita/1918-N-Westfield-St-67212/home/119730154,SCKMLS as Distributed by MLS Grid,659502,N,Y,37.7179212,-97.4497905
MLS Listing,,Single Family Residential,742 S Crestway St,Wichita,KS,67218,125000,2,1.0,EAST NOW CRESTWAY AVE,736,6098,1948,1,170,,Active,,,https://www.redfin.com/KS/Wichita/742-S-Crestway-St-67218/home/120809122,SCKMLS as Distributed by MLS Grid,659501,N,Y,37.6742923,-97.2848655
MLS Listing,,Single Family Residential,7661 W O'neil St,Wichita,KS,67212-6136,550000,5,5.0,ASHLEY PARK,4028,28749,1996,1,137,75,Active,,,https://www.redfin.com/KS/Wichita/7661-W-Oneil-St-67212/home/120374414,SCKMLS as Distributed by MLS Grid,659500,N,Y,37.6867627,-97.4301384
MLS Listing,,Single Family Residential,4440 E English,Wichita,KS,67218,330000,3,2.0,COLLEGE HILL,2095,10018,1928,1,158,,Active,August-3-2025 02:00 PM,August-3-2025 04:00 PM,https://www.redfin.com/KS/Wichita/4440-E-English-St-67218/home/119464220,SCKMLS as Distributed by MLS Grid,659498,N,Y,37.6844418,-97.2842323
MLS Listing,,Single Family Residential,1738 N Sagebrush St,Wichita,KS,67230,530000,4,3.5,SAVANNA AT CASTLE ROCK RANCH,3784,22215,1996,1,140,29,Active,August-3-2025 02:00 PM,August-3-2025 04:00 PM,https://www.redfin.com/KS/Wichita/1738-N-Sagebrush-St-67230/home/119749506,SCKMLS as Distributed by MLS Grid,659470,N,Y,37.7150128,-97.1642497
MLS Listing,,Townhouse,1315 N White Tail Ct,Wichita,KS,67206,525000,5,3.0,WHITE TAIL,3326,13503,1997,1,158,205,Active,,,https://www.redfin.com/KS/Wichita/1315-N-White-Tail-Ct-67206/home/119867737,SCKMLS as Distributed by MLS Grid,659495,N,Y,37.7071164,-97.1919219
MLS Listing,,Single Family Residential,3901 E Maplewood,Wichita,KS,67214,175000,3,2.0,SHADYBROOK,1053,6534,1945,1,166,,Active,,,https://www.redfin.com/KS/Wichita/3901-E-Maplewood-St-67214/home/196764036,SCKMLS as Distributed by MLS Grid,659493,N,Y,37.7202646,-97.2991175
MLS Listing,,Single Family Residential,12841 W Hendryx Ct,Wichita,KS,67235,330000,4,3.0,AUBURN HILLS,3020,9583,2000,1,109,25,Active,August-3-2025 02:00 PM,August-3-2025 04:00 PM,https://www.redfin.com/KS/Wichita/12841-W-Hendryx-Ct-67235/home/120067182,SCKMLS as Distributed by MLS Grid,659492,N,Y,37.6728895,-97.4904436
MLS Listing,,Single Family Residential,720 N Stratford Ln,Wichita,KS,67206,415000,3,2.5,WOODLAWN VILLAGE,2730,12632,1959,1,152,,Active,,,https://www.redfin.com/KS/Wichita/720-N-Stratford-Ln-67206/home/120777336,SCKMLS as Distributed by MLS Grid,659491,N,Y,37.6990111,-97.2561098
MLS Listing,,Single Family Residential,1314 S Horseback Ct,Wichita,KS,67230,365000,5,3.0,BELLE CHASE,3067,15681,2012,1,119,29,Active,August-2-2025 02:00 PM,August-2-2025 04:00 PM,https://www.redfin.com/KS/Wichita/1314-S-Horseback-Ct-67230/home/120859441,SCKMLS as Distributed by MLS Grid,659490,N,Y,37.669873,-97.187125
MLS Listing,,Single Family Residential,1144 S Pineridge,Wichita,KS,67218,135000,3,2.0,PURCELLS,916,6098,1950,1,147,,Active,,,https://www.redfin.com/KS/Wichita/1144-S-Ridge-Rd-67209/home/121736451,SCKMLS as Distributed by MLS Grid,659489,N,Y,37.667082,-97.26896
