SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Condo/Co-op,56 Park Vale Ave #4,Boston,MA,02134,385000,1,1.0,Allston,470,470,1920,8,819,389,Active,,,https://www.redfin.com/MA/Allston/56-Park-Vale-Ave-02134/unit-4/home/8984812,MLS PIN,73408236,N,Y,42.3528712,-71.1334375
MLS Listing,,Multi-Family (2-4 Unit),61 Neponset Ave,Boston,MA,02136,999900,7,3.5,Hyde Park's Fairmount,2605,6588,2013,9,384,,Active,,,https://www.redfin.com/MA/Hyde-Park/61-Neponset-Ave-02136/home/11835601,MLS PIN,73407954,N,Y,42.2480126,-71.1186595
MLS Listing,,Multi-Family (2-4 Unit),27 Brinsley St,Boston,MA,02121,1199900,8,3.0,Boston,3368,4050,1905,14,356,,Active,,,https://www.redfin.com/MA/Dorchester/27-Brinsley-St-02121/home/9074327,MLS PIN,73406338,N,Y,42.3056082,-71.0784037
MLS Listing,,Condo/Co-op,464 Hanover St #7,Boston,MA,02113,729000,2,1.0,North End,808,808,1920,21,902,911,Active,,,https://www.redfin.com/MA/Boston/464-Hanover-St-02113/unit-7/home/9304822,MLS PIN,73402474,N,Y,42.3670912,-71.0527946
MLS Listing,,Condo/Co-op,8-10 Howell St #4,Boston,MA,02125,645000,2,1.5,Boston,1032,1032,2001,22,625,224,Active,August-2-2025 11:00 AM,August-2-2025 12:30 PM,https://www.redfin.com/MA/Dorchester/8-10-Howell-St-02125/unit-4/home/9311755,MLS PIN,73401496,N,Y,42.324746,-71.0570712
MLS Listing,,Condo/Co-op,6 Hayes Rd #16,Boston,MA,02131,385000,2,1.0,Boston,795,795,1964,31,484,478,Active,,,https://www.redfin.com/MA/Roslindale/6-Hayes-Rd-02131/unit-16/home/9173063,MLS PIN,73398332,N,Y,42.2827778,-71.1325541
MLS Listing,,Condo/Co-op,31 Division St #3,Chelsea,MA,02150,424700,2,1.0,Chelsea,600,,1900,36,708,144,Active,August-1-2025 05:00 PM,August-1-2025 06:30 PM,https://www.redfin.com/MA/Chelsea/31-Division-St-02150/unit-3/home/191980766,MLS PIN,73396668,N,Y,42.3883219,-71.0389798
MLS Listing,,Condo/Co-op,1313 Washington St #309,Boston,MA,02118,725000,1,1.0,Boston,788,788,2002,41,920,830,Active,August-2-2025 10:00 AM,August-2-2025 11:30 AM,https://www.redfin.com/MA/Roxbury/1313-Washington-St-02118/unit-309/home/9316558,MLS PIN,73394397,N,Y,42.3419606,-71.0684083
MLS Listing,,Single Family Residential,29 Paine St,Boston,MA,02131,1199000,4,2.5,Boston,4022,11635,2021,71,298,,Active,,,https://www.redfin.com/MA/Boston/29-Paine-St-02131/home/171472147,MLS PIN,73378180,N,Y,42.2860498,-71.1066712
MLS Listing,,Condo/Co-op,120 Mountfort St #302,Boston,MA,02215,1219000,3,2.0,The Fenway,1200,1200,1960,76,1016,898,Active,,,https://www.redfin.com/MA/Boston/120-Mountfort-St-02215/unit-302/home/11838527,MLS PIN,73376341,N,Y,42.3483069,-71.1067406
MLS Listing,,Condo/Co-op,120 Fulton St Unit DE,Boston,MA,02109,849999,2,1.0,Boston,1035,,1978,77,821,417,Active,,,https://www.redfin.com/MA/Boston/120-Fulton-St-02109/unit-DE/home/145082118,MLS PIN,73376046,N,Y,42.3631416,-71.0527018
MLS Listing,,Multi-Family (2-4 Unit),47 Torrey St,Boston,MA,02124,720000,5,2.0,Dorchester,1565,1565,1920,80,460,,Active,,,https://www.redfin.com/MA/Dorchester/47-Torrey-St-02124/home/194067651,MLS PIN,73371711,N,Y,42.2873485,-71.0735393
MLS Listing,,Condo/Co-op,492 Massachusetts Ave #63,Boston,MA,02118,829000,3,1.0,Boston,1086,1086,1910,87,763,723,Active,,,https://www.redfin.com/MA/Roxbury/492-Massachusetts-Ave-02118/unit-63/home/11837765,MLS PIN,73366100,N,Y,42.3395801,-71.0803721
MLS Listing,,Condo/Co-op,186 Havre St #1,Boston,MA,02128,645000,2,2.0,East Boston,1036,,2017,93,623,297,Active,,,https://www.redfin.com/MA/East-Boston/186-Havre-St-02128/unit-1/home/113380253,MLS PIN,73365967,N,Y,42.3743882,-71.0367137
MLS Listing,,Condo/Co-op,121-123 Beach St #801,Boston,MA,02111,1400000,2,2.0,Boston,1536,1536,1899,94,911,752,Active,,,https://www.redfin.com/MA/Boston/121-Beach-St-02111/unit-801/home/187182386,MLS PIN,73365481,N,Y,42.3505039,-71.0578089
MLS Listing,,Multi-Family (2-4 Unit),88 Trenton St,Boston,MA,02128,1150000,8,2.0,Boston,3624,2500,1880,98,317,,Active,August-2-2025 02:00 PM,August-2-2025 03:30 PM,https://www.redfin.com/MA/East-Boston/88-Trenton-St-02128/home/11506118,MLS PIN,73364180,N,Y,42.3791129,-71.0361962
MLS Listing,,Condo/Co-op,268 Dudley St #4,Boston,MA,02119,399000,2,1.0,Boston,1071,1054,1988,133,373,365,Active,,,https://www.redfin.com/MA/Roxbury/268-Dudley-St-02119/unit-4/home/9285984,MLS PIN,73347944,N,Y,42.3285449,-71.0787328
MLS Listing,,Condo/Co-op,8 Garrison St #104,Boston,MA,02116,1580000,2,2.0,Back Bay,1250,1250,1910,289,1264,819,Active,August-2-2025 11:00 AM,August-2-2025 12:30 PM,https://www.redfin.com/MA/Boston/8-Garrison-St-02116/unit-104/home/9272796,MLS PIN,73302183,N,Y,42.3461367,-71.0796293
MLS Listing,,Condo/Co-op,39 A St #16,Boston,MA,02127,949000,2,2.0,South Boston,1109,,2018,1,856,449,Active,,,https://www.redfin.com/MA/South-Boston/39-A-St-02127/unit-16/home/145078993,MLS PIN,73412140,N,Y,42.3412699,-71.0558468
MLS Listing,,Multi-Family (2-4 Unit),22 Ronan St,Boston,MA,02125,1600000,11,3.0,Boston,3924,5000,1906,1,408,,Active,,,https://www.redfin.com/MA/Dorchester/22-Ronan-St-02125/home/9072870,MLS PIN,73412124,N,Y,42.3110326,-71.0664211
MLS Listing,,Condo/Co-op,328 Commercial St #52,Boston,MA,02109,649000,1,1.0,North End,633,,1900,1,1025,304,Active,,,https://www.redfin.com/MA/Boston/328-Commercial-St-02109/unit-52/home/187140408,MLS PIN,73412121,N,Y,42.3654186,-71.0513872
MLS Listing,,Condo/Co-op,14 Heron St #108,Boston,MA,02132,399900,2,1.0,West Roxbury,883,,1925,1,453,625,Active,August-2-2025 10:30 AM,August-2-2025 12:00 PM,https://www.redfin.com/MA/West-Roxbury/14-Heron-St-02132/unit-108/home/9200482,MLS PIN,73411992,N,Y,42.269322,-71.1496377
MLS Listing,,Vacant Land,163 Howard Ave,Boston,MA,02125,120000,,,Dorchester,,3517,,1,,,Active,,,https://www.redfin.com/MA/Boston/163-Howard-Ave-02125/home/196753283,MLS PIN,73411985,N,Y,42.314637,-71.075523
MLS Listing,,Single Family Residential,9 Carroll St,Boston,MA,02132,579900,3,2.0,West Roxbury,1464,5000,1928,1,396,,Active,August-3-2025 01:00 PM,August-3-2025 03:00 PM,https://www.redfin.com/MA/West-Roxbury/9-Carroll-St-02132/home/9212677,MLS PIN,73411944,N,Y,42.2867044,-71.167266
MLS Listing,,Condo/Co-op,31 Division Unit 1st Floor,Chelsea,MA,02150,399000,2,1.0,Chelsea,691,,1900,1,577,250,Active,August-3-2025 12:30 PM,August-3-2025 01:30 PM,https://www.redfin.com/MA/Chelsea/31-Division-St-02150/home/9004767,MLS PIN,73411942,N,Y,42.3882668,-71.0390231
MLS Listing,,Townhouse,19 Worcester Sq #1,Boston,MA,02118,1595000,2,2.5,Boston,1625,1625,1910,1,982,695,Active,,,https://www.redfin.com/MA/Roxbury/19-Worcester-Sq-02118/unit-1/home/21718306,MLS PIN,73411884,N,Y,42.3364111,-71.0748874
MLS Listing,,Condo/Co-op,133 Seaport Blvd #2017,Boston,MA,02210,999000,1,1.0,Seaport District,590,,2019,1,1693,1281,Active,August-7-2025 12:00 PM,August-7-2025 01:30 PM,https://www.redfin.com/MA/Boston/133-Seaport-Blvd-02210/unit-2017/home/175645072,MLS PIN,73411881,N,Y,42.3505079,-71.0436145
MLS Listing,,Condo/Co-op,126 Salem St #1,Boston,MA,02113,682000,1,1.0,North End,397,,2020,1,1718,250,Active,August-3-2025 12:00 PM,August-3-2025 01:00 PM,https://www.redfin.com/MA/Boston/126-Salem-St-02113/unit-1/home/144351051,MLS PIN,73411871,N,Y,42.3649022,-71.055621
MLS Listing,,Condo/Co-op,455 Massachusetts Ave #1,Boston,MA,02118,1200000,2,2.5,South End,1470,,1899,1,816,560,Active,August-2-2025 11:00 AM,August-2-2025 01:00 PM,https://www.redfin.com/MA/Roxbury/455-Massachusetts-Ave-02118/unit-1/home/9301445,MLS PIN,73411853,N,Y,42.3401848,-71.0815603
MLS Listing,,Condo/Co-op,1 Dalton St Unit 5801/5802,Boston,MA,02199,38000000,5,7.0,Back Bay,7848,,2020,1,4842,25712,Active,,,https://www.redfin.com/MA/Boston/1-Dalton-St-02199/unit-5801-5802/home/196189636,MLS PIN,73411842,N,Y,42.345665,-71.0840364
