SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Condo/Co-op,112 Franklin St Unit C3,Bangor,ME,04401,299000,2,2.0,Bangor,1468,43560,1984,1,204,488,Active,,,https://www.redfin.com/ME/Bangor/112-Franklin-St-04401/unit-C3/home/100081218,MREIS,1632673,N,Y,44.803268,-68.7724964
MLS Listing,,Single Family Residential,122 Allen St,Bangor,ME,04401,234900,3,1.0,Bangor,1166,479160,1948,1,201,,Active,,,https://www.redfin.com/ME/Bangor/122-Allen-St-04401/home/87955181,MREIS,1632664,N,Y,44.8020498,-68.7971286
MLS Listing,,Multi-Family (2-4 Unit),126 Birch St,Bangor,ME,04401,250000,3,2.0,Bangor,2372,4356,1900,1,105,,Active,,,https://www.redfin.com/ME/Bangor/126-Birch-St-04401/home/100082309,MREIS,1632575,N,Y,44.8086768,-68.7595888
MLS Listing,,Single Family Residential,106 Lasalle Dr,Bangor,ME,04401,500000,4,2.5,Bangor,2866,22651,2005,1,174,,Active,,,https://www.redfin.com/ME/Bangor/106-Lasalle-Dr-04401/home/100084384,MREIS,1632632,N,Y,44.8456078,-68.7962175
MLS Listing,,Townhouse,42 Firefly Ln,Bangor,ME,04401,275000,3,2.5,Bangor,1520,,2025,1,181,100,Active,,,https://www.redfin.com/ME/Bangor/42-Firefly-Ln-04401/home/193286547,MREIS,1632574,N,Y,44.8214043,-68.7704132
MLS Listing,,Townhouse,40 Firefly Ln,Bangor,ME,04401,275000,3,2.5,Bangor,1520,,2025,1,181,100,Active,,,https://www.redfin.com/ME/Bangor/40-Firefly-Ln-04401/home/193286546,MREIS,1632573,N,Y,44.8214452,-68.7704098
MLS Listing,,Single Family Residential,1647 Broadway,Bangor,ME,04401,499900,3,2.0,Bangor,2100,1189188,1964,1,238,,Active,,,https://www.redfin.com/ME/Bangor/1647-Broadway-04401/home/100083542,MREIS,1632562,N,Y,44.8512997,-68.805014
MLS Listing,,Single Family Residential,21 Walden Parke Way,Bangor,ME,04401,1590000,4,3.5,Bangor,4850,392040,1988,1,328,,Active,,,https://www.redfin.com/ME/Bangor/21-Walden-Parke-Way-04401/home/100085541,MREIS,1631894,N,Y,44.8708701,-68.7789099
MLS Listing,,Vacant Land,Lot 5 Hawk's Xing,Hermon,ME,04401,119000,,,Hermon,,160736,,1,,,Active,,,https://www.redfin.com/ME/Hermon/Lot-5-Hawks-Xing-04401/home/196742741,MREIS,1632549,N,Y,44.837718,-68.859145
MLS Listing,,Single Family Residential,57 Linden St,Bangor,ME,04401,379900,4,2.5,Bangor,1924,6098,1909,2,197,,Active,August-2-2025 11:00 AM,August-2-2025 01:00 PM,https://www.redfin.com/ME/Bangor/57-Linden-St-04401/home/100082856,MREIS,1632451,N,Y,44.8158963,-68.777174
MLS Listing,,Single Family Residential,230 French St,Bangor,ME,04401,295000,2,1.5,Bangor,1285,14810,1935,2,230,,Active,,,https://www.redfin.com/ME/Bangor/230-French-St-04401/home/100080506,MREIS,1632430,N,Y,44.8052083,-68.7696867
MLS Listing,,Single Family Residential,1285 Union St,Bangor,ME,04401,224900,4,2.0,Bangor,1392,13939,1962,3,162,,Active,,,https://www.redfin.com/ME/Bangor/1285-Union-St-04401/home/100083180,MREIS,1632309,N,Y,44.8214681,-68.8186441
MLS Listing,,Single Family Residential,23 Holland St,Bangor,ME,04401,355000,3,1.5,Bangor,1612,5662,1900,3,220,,Active,,,https://www.redfin.com/ME/Bangor/23-Holland-St-04401/home/100085926,MREIS,1632210,N,Y,44.8106112,-68.7846876
MLS Listing,,Single Family Residential,30 S Park St,Bangor,ME,04401,170000,3,1.0,Bangor,780,4791,1900,4,218,,Active,August-2-2025 12:00 PM,August-2-2025 03:00 PM,https://www.redfin.com/ME/Bangor/30-S-Park-St-04401/home/100087258,MREIS,1632074,N,Y,44.8094271,-68.7728046
MLS Listing,,Single Family Residential,99 Yankee Ave,Bangor,ME,04401,344900,4,2.0,Bangor,1968,11761,1995,5,175,,Active,,,https://www.redfin.com/ME/Bangor/99-Yankee-Ave-04401/home/66692144,MREIS,1632036,N,Y,44.8308205,-68.8238788
MLS Listing,,Single Family Residential,75 West Broadway,Bangor,ME,04401,940000,5,3.5,Bangor,5400,64904,1897,5,174,,Active,,,https://www.redfin.com/ME/Bangor/75-W-Broadway-04401/home/100086997,MREIS,1631561,N,Y,44.8014501,-68.7858781
MLS Listing,,Multi-Family (2-4 Unit),3 Dean St,Bangor,ME,04401,344700,6,2.5,Bangor,2300,10018,1900,6,150,,Active,,,https://www.redfin.com/ME/Bangor/3-Dean-St-04401/home/66692116,MREIS,1631999,N,Y,44.7995424,-68.7956958
MLS Listing,,Single Family Residential,565 Patten Dr,Hermon,ME,04401,525000,4,2.0,Hermon,2340,86684,1986,6,224,,Active,,,https://www.redfin.com/ME/Hermon/565-Patten-Dr-04401/home/97639021,MREIS,1631967,N,Y,44.8123558,-68.9014578
MLS Listing,,Single Family Residential,52 Vista Rdg,Glenburn,ME,04401,698000,4,2.5,Glenburn,3984,76230,2003,6,175,,Active,,,https://www.redfin.com/ME/Glenburn/52-Vista-Rdg-04401/home/100174961,MREIS,1631592,N,Y,44.9241213,-68.8202971
MLS Listing,,Single Family Residential,31 Whisper Dr,Bangor,ME,04401,272500,3,2.0,Bangor,1008,7405,2011,7,270,,Active,,,https://www.redfin.com/ME/Bangor/31-Whisper-Dr-04401/home/100086620,MREIS,1631890,N,Y,44.8303821,-68.774435
MLS Listing,,Single Family Residential,2101 Ohio St,Bangor,ME,04401,995000,5,3.0,Bangor,3688,968774,1993,8,270,,Active,,,https://www.redfin.com/ME/Bangor/2101-Ohio-St-04401/home/193262405,MREIS,1631769,N,Y,44.853023,-68.8426163
MLS Listing,,Townhouse,66 Mt Desert Dr,Bangor,ME,04401,215000,3,1.5,Bangor,1218,5227,1958,9,177,,Active,,,https://www.redfin.com/ME/Bangor/66-Mount-Desert-Dr-04401/home/95454563,MREIS,1631584,N,Y,44.8390618,-68.8240412
MLS Listing,,Single Family Residential,17 Brad Dr,Hermon,ME,04401,369000,3,2.0,Hermon,1431,53578,2005,9,258,,Active,,,https://www.redfin.com/ME/Hermon/17-Brad-Dr-04401/home/97636836,MREIS,1631576,N,Y,44.8345393,-68.9578464
MLS Listing,,Single Family Residential,204 Edenfield Dr,Hermon,ME,04401,589900,3,2.0,Hermon,1971,57063,2020,9,299,,Active,,,https://www.redfin.com/ME/Hermon/204-Edenfield-Dr-04401/home/97637387,MREIS,1631570,N,Y,44.828259,-68.965902
MLS Listing,,Single Family Residential,64 Jefferson St,Bangor,ME,04401,149900,5,2.0,Bangor,2500,4356,1900,9,60,,Active,,,https://www.redfin.com/ME/Bangor/64-Jefferson-St-04401/home/100082753,MREIS,1631538,N,Y,44.8099839,-68.7732313
MLS Listing,,Single Family Residential,277 Pearl St,Bangor,ME,04401,400000,3,2.0,Bangor,1188,17859,1963,9,337,,Active,,,https://www.redfin.com/ME/Bangor/277-Pearl-St-04401/home/100083937,MREIS,1631533,N,Y,44.8153059,-68.7586794
MLS Listing,,Single Family Residential,207 Sixth St,Bangor,ME,04401,449900,3,1.5,Bangor,1732,12632,1971,9,260,,Active,,,https://www.redfin.com/ME/Bangor/207-6th-St-04401/home/100081684,MREIS,1631312,N,Y,44.7988814,-68.7834676
MLS Listing,,Single Family Residential,56 Oak Grove St,Veazie,ME,04401,249900,6,2.0,Veazie,2577,6534,1870,10,97,,Active,,,https://www.redfin.com/ME/Veazie/56-Oak-Grove-St-04401/home/100068250,MREIS,1631405,N,Y,44.8355999,-68.7033671
MLS Listing,,Single Family Residential,148 Mountain View Dr,Hermon,ME,04401,339900,3,2.5,Hermon,1732,43995,1995,10,196,,Active,,,https://www.redfin.com/ME/Hermon/148-Mountain-View-Dr-04401/home/97636757,MREIS,1631072,N,Y,44.8165893,-68.9093469
MLS Listing,,Single Family Residential,39 Maple Leaf Ln,Hermon,ME,04401,429000,3,2.0,Hermon,2187,82764,2010,11,196,,Active,,,https://www.redfin.com/ME/Hermon/39-Mapleleaf-Ln-04401/home/97637867,MREIS,1631331,N,Y,44.8401014,-68.9370136
MLS Listing,,Single Family Residential,103 4th St,Bangor,ME,04401,310000,4,3.0,Bangor,2594,7840,1880,13,120,,Active,,,https://www.redfin.com/ME/Bangor/103-4th-St-04401/home/100082049,MREIS,1631116,N,Y,44.7981154,-68.7808744
MLS Listing,,Single Family Residential,41 Roundstone Dr,Glenburn,ME,04401,399900,3,2.0,Glenburn,2000,30927,1990,13,200,,Active,,,https://www.redfin.com/ME/Glenburn/41-Roundstone-Dr-04401/home/100173955,MREIS,1630436,N,Y,44.8873025,-68.8344566
MLS Listing,,Single Family Residential,21 Cottage St,Bangor,ME,04401,305000,3,2.0,Bangor,1852,8276,1900,14,165,,Active,,,https://www.redfin.com/ME/Bangor/21-Cottage-St-04401/home/100087952,MREIS,1630989,N,Y,44.8087121,-68.7843352
MLS Listing,,Single Family Residential,6 Flagg St,Veazie,ME,04401,185000,5,2.0,Veazie,2368,11761,1835,16,78,,Active,,,https://www.redfin.com/ME/Veazie/6-Flagg-St-04401/home/100068011,MREIS,1630716,N,Y,44.8381702,-68.704812
MLS Listing,,Single Family Residential,78 Lakeview Rd,Glenburn,ME,04401,620000,5,2.5,Glenburn,3100,566280,1998,17,200,,Active,,,https://www.redfin.com/ME/Glenburn/78-Lakeview-Rd-04401/home/100174308,MREIS,1630562,N,Y,44.9145052,-68.8190034
MLS Listing,,Single Family Residential,26 Webster Ave N,Bangor,ME,04401,219000,3,1.5,Bangor,1448,4791,1920,17,151,,Active,,,https://www.redfin.com/ME/Bangor/26-Webster-Ave-N-04401/home/100080552,MREIS,1630456,N,Y,44.8008368,-68.7894283
MLS Listing,,Single Family Residential,295 French St,Bangor,ME,04401,435000,3,1.5,Bangor,2371,7405,1920,20,183,,Active,,,https://www.redfin.com/ME/Bangor/295-French-St-04401/home/100083349,MREIS,1629007,N,Y,44.8078383,-68.7700226
MLS Listing,,Single Family Residential,75 S South Park St,Bangor,ME,04401,349000,3,2.0,Bangor,1819,2613,1912,21,192,,Active,,,https://www.redfin.com/ME/Bangor/75-S-Park-St-04401/home/100087140,MREIS,1630201,N,Y,44.8095716,-68.7705719
MLS Listing,,Single Family Residential,953 Pushaw Rd,Glenburn,ME,04401,395000,4,3.0,Glenburn,2100,114998,1900,22,188,,Active,,,https://www.redfin.com/ME/Glenburn/953-Pushaw-Rd-04401/home/100173905,MREIS,1629994,N,Y,44.8801432,-68.8099587
MLS Listing,,Single Family Residential,381 Birch St,Bangor,ME,04401,334999,3,1.0,Bangor,1321,10454,1971,22,254,,Active,,,https://www.redfin.com/ME/Bangor/381-Birch-St-04401/home/100081234,MREIS,1629984,N,Y,44.8178929,-68.7615485
MLS Listing,,Single Family Residential,177 Birch St,Bangor,ME,04401,299900,3,1.0,Bangor,1400,5662,1910,23,214,,Active,,,https://www.redfin.com/ME/Bangor/177-Birch-St-04401/home/100087808,MREIS,1629857,N,Y,44.8105893,-68.759613
MLS Listing,,Single Family Residential,272 Center St,Bangor,ME,04401,289900,3,1.5,Bangor,1700,4791,1920,23,171,,Active,,,https://www.redfin.com/ME/Bangor/272-Center-St-04401/home/100085756,MREIS,1629678,N,Y,44.8130459,-68.7732497
MLS Listing,,Single Family Residential,55 Poplar St,Bangor,ME,04401,299900,3,1.0,Bangor,1504,5227,1920,24,199,,Active,,,https://www.redfin.com/ME/Bangor/55-Poplar-St-04401/home/100084068,MREIS,1624288,N,Y,44.8172481,-68.7768446
MLS Listing,,Townhouse,39 Firefly Ln,Bangor,ME,04401,275000,3,2.5,Bangor,1520,,2025,25,181,100,Active,,,https://www.redfin.com/ME/Bangor/39-Firefly-Ln-04401/home/193286556,MREIS,1629484,N,Y,44.85423,-68.82944
MLS Listing,,Single Family Residential,130 W Broadway,Bangor,ME,04401,375000,4,3.0,Bangor,2216,3920,1900,25,169,,Active,,,https://www.redfin.com/ME/Bangor/130-W-Broadway-04401/home/100087525,MREIS,1629425,N,Y,44.7994638,-68.7868451
MLS Listing,,Single Family Residential,293 Grove St,Bangor,ME,04401,195000,3,1.0,Bangor,1352,2178,1900,26,144,,Active,,,https://www.redfin.com/ME/Bangor/293-Grove-St-04401/home/100088828,MREIS,1629348,N,Y,44.814429,-68.7671461
MLS Listing,,Single Family Residential,236 Birch St,Bangor,ME,04401,229900,2,2.0,Bangor,1340,6534,1900,28,172,,Active,,,https://www.redfin.com/ME/Bangor/236-Birch-St-04401/home/100085235,MREIS,1629269,N,Y,44.8124989,-68.7606049
MLS Listing,,Single Family Residential,1988 Ohio St,Bangor,ME,04401,260000,3,2.0,Bangor,1188,87120,2008,29,219,,Active,,,https://www.redfin.com/ME/Bangor/1988-Ohio-St-04401/home/100081792,MREIS,1629131,N,Y,44.8488658,-68.8410214
MLS Listing,,Condo/Co-op,1016 State St #7,Bangor,ME,04401,242500,2,1.5,Riverwalk Village,960,43560,2007,29,253,300,Active,,,https://www.redfin.com/ME/Bangor/1016-State-St-04401/unit-7/home/100089280,MREIS,1628686,N,Y,44.8196072,-68.7285536
MLS Listing,,Single Family Residential,327 Forest Ave,Bangor,ME,04401,265000,3,1.5,Bangor,1136,7840,1930,30,233,,Active,,,https://www.redfin.com/ME/Bangor/327-Forest-Ave-04401/home/100082288,MREIS,1629049,N,Y,44.8164673,-68.7655946
MLS Listing,,Single Family Residential,666 Finson Rd #259,Bangor,ME,04401,75000,3,1.5,Bangor,1466,,1974,30,51,,Active,,,https://www.redfin.com/ME/Bangor/666-Finson-Rd-04401/unit-259/home/100085110,MREIS,1628987,N,Y,44.8423534,-68.8145249
MLS Listing,,Single Family Residential,43 Holland St,Bangor,ME,04401,230000,3,1.5,Bangor,1531,11325,1890,35,150,,Active,,,https://www.redfin.com/ME/Bangor/43-Holland-St-04401/home/100080365,MREIS,1628519,N,Y,44.8112361,-68.7843029
MLS Listing,,Condo/Co-op,80 Baldwin Dr #80,Bangor,ME,04401,229900,3,1.5,Bangor,1260,435,1989,36,182,271,Active,,,https://www.redfin.com/ME/Bangor/80-Baldwin-Dr-04401/unit-80/home/196107334,MREIS,1626849,N,Y,44.833379,-68.7870796
MLS Listing,,Single Family Residential,11 Kossuth St,Bangor,ME,04401,309000,5,2.0,Bangor,1669,5227,1900,37,185,,Active,,,https://www.redfin.com/ME/Bangor/11-Kossuth-St-04401/home/100080289,MREIS,1628005,N,Y,44.8099582,-68.7839859
MLS Listing,,Single Family Residential,54 Pine Ledge Rd,Bangor,ME,04401,475000,4,2.5,Bangor,2586,89733,1967,39,184,,Active,,,https://www.redfin.com/ME/Bangor/54-Pine-Ledge-Rd-04401/home/100082052,MREIS,1627729,N,Y,44.8614737,-68.8534331
MLS Listing,,Single Family Residential,200 Davis Rd,Bangor,ME,04401,230000,4,1.5,Bangor,1350,15246,1958,42,170,,Active,,,https://www.redfin.com/ME/Bangor/200-Davis-Rd-04401/home/59024765,MREIS,1627611,N,Y,44.8423197,-68.8248745
MLS Listing,,Single Family Residential,45 Tyler Ave,Bangor,ME,04401,399000,3,2.5,Bangor,2300,16552,1900,42,173,,Active,,,https://www.redfin.com/ME/Bangor/45-Tyler-Ave-04401/home/100087729,MREIS,1627597,N,Y,44.8109798,-68.786589
MLS Listing,,Vacant Land,1075 Sunset Ave,Glenburn,ME,04401,129000,,,Glenburn,,113256,,42,,,Active,,,https://www.redfin.com/ME/Glenburn/1075-Sunset-Ave-04401/home/100175018,MREIS,1627528,N,Y,44.9184274,-68.8262619
MLS Listing,,Single Family Residential,198 3rd St,Bangor,ME,04401,255000,4,2.0,Bangor,1820,6098,1862,45,140,,Active,,,https://www.redfin.com/ME/Bangor/198-3rd-St-04401/home/100087797,MREIS,1627119,N,Y,44.7945354,-68.781884
MLS Listing,,Single Family Residential,13 Mount Desert Dr,Bangor,ME,04401,139000,3,1.0,Bangor,1350,11761,1958,45,103,,Active,,,https://www.redfin.com/ME/Bangor/13-Mount-Desert-Dr-04401/home/100082458,MREIS,1627112,N,Y,44.8407104,-68.824396
MLS Listing,,Condo/Co-op,122 Chickadee Ln #17,Bangor,ME,04401,499900,2,2.0,Meadowbrook Ridge,1653,,2007,45,302,343,Active,,,https://www.redfin.com/ME/Bangor/122-Chickadee-Ln-04401/unit-17/home/196563014,MREIS,1627090,N,Y,44.823149,-68.7324301
MLS Listing,,Vacant Land,30 Moonbeam Way,Bangor,ME,04401,58000,,,Bangor,,143312,,46,,,Active,,,https://www.redfin.com/ME/Veazie/30-Mutton-Ln-04401/home/97595439,MREIS,1626881,N,Y,44.8642759,-68.849905
MLS Listing,,Single Family Residential,108 Sandy Beach Rd #70,Glenburn,ME,04401,374900,2,1.0,Glenburn,1260,5227,1960,48,298,,Active,,,https://www.redfin.com/ME/Glenburn/108-Sandy-Beach-Rd-04401/unit-70/home/196092854,MREIS,1626714,N,Y,44.9211355,-68.8037494
MLS Listing,,Multi-Family (2-4 Unit),176 Court St,Bangor,ME,04401,362000,5,4.0,Bangor,2566,6098,1900,49,141,,Active,,,https://www.redfin.com/ME/Bangor/176-Court-St-04401/home/100086710,MREIS,1625812,N,Y,44.80512,-68.7799513
MLS Listing,,Multi-Family (2-4 Unit),420 Hancock St,Bangor,ME,04401,1200000,8,4.0,Bangor,3280,20908,2025,49,366,,Active,,,https://www.redfin.com/ME/Bangor/420-Hancock-St-04401/home/174120645,MREIS,1626555,N,Y,44.8055155,-68.7558583
MLS Listing,,Single Family Residential,37 Cortland Cir #37,Bangor,ME,04401,299000,3,2.0,Bangor,1560,,1987,50,192,400,Active,,,https://www.redfin.com/ME/Bangor/37-Cortland-Cir-04401/unit-37/home/148409873,MREIS,1626431,N,Y,44.8347104,-68.7819315
MLS Listing,,Single Family Residential,12 E Summer St,Bangor,ME,04401,295000,4,1.5,Bangor,2141,5662,1922,50,138,,Active,,,https://www.redfin.com/ME/Bangor/12-E-Summer-St-04401/home/100088737,MREIS,1626416,N,Y,44.8064622,-68.7572092
MLS Listing,,Single Family Residential,38 Dunston Dr,Glenburn,ME,04401,549000,4,3.5,Riverbend Association,2984,108028,2006,50,184,,Active,,,https://www.redfin.com/ME/Glenburn/38-Dunston-Dr-04401/home/100175461,MREIS,1626326,N,Y,44.8917269,-68.8641891
MLS Listing,,Single Family Residential,1290 State St,Veazie,ME,04401,889000,6,4.5,Veazie,6920,536659,1892,50,128,,Active,,,https://www.redfin.com/ME/Veazie/1290-State-St-04401/home/100067855,MREIS,1624620,N,Y,44.829723,-68.7152661
MLS Listing,,Vacant Land,Lot 21 Tamarack Trl,Bangor,ME,04401,90000,,,Bangor,,105850,,56,,,Active,,,https://www.redfin.com/ME/Bangor/21-Tamarack-Trl-04401/home/179717047,MREIS,1625679,N,Y,44.87567,-68.7656378
MLS Listing,,Single Family Residential,40 Ellis Ct,Bangor,ME,04401,409900,4,2.0,Bangor,1880,10018,2018,56,218,30,Active,,,https://www.redfin.com/ME/Bangor/40-Ellis-Ct-04401/home/167869032,MREIS,1625634,N,Y,44.8179671,-68.7675316
MLS Listing,,Single Family Residential,26 Walter St,Bangor,ME,04401,92500,5,1.5,Bangor,1659,4791,1900,57,56,,Active,,,https://www.redfin.com/ME/Bangor/26-Walter-St-04401/home/100082337,MREIS,1625410,N,Y,44.7928134,-68.7772309
MLS Listing,,Single Family Residential,125 Grove St,Bangor,ME,04401,270000,3,1.0,Bangor,2366,5227,1900,57,114,,Active,,,https://www.redfin.com/ME/Bangor/125-Grove-St-04401/home/100085481,MREIS,1625404,N,Y,44.8086838,-68.7655258
MLS Listing,,Single Family Residential,67 Joans Hill Rd,Bangor,ME,04401,899900,3,2.5,Serenity Acres,3647,72745,2004,57,247,,Active,,,https://www.redfin.com/ME/Bangor/67-Joans-Hill-Rd-04401/home/100084229,MREIS,1624868,N,Y,44.8582604,-68.7295957
MLS Listing,,Single Family Residential,21 Fern St,Bangor,ME,04401,294900,4,1.5,Bangor,1805,6969,1880,58,163,,Active,,,https://www.redfin.com/ME/Bangor/21-Fern-St-04401/home/100086496,MREIS,1624754,N,Y,44.8076511,-68.7575551
MLS Listing,,Condo/Co-op,541 Kenduskeag Ave Unit A1,Bangor,ME,04401,249900,2,2.0,McPherson Kenduskeag Condos Homeowners Assoc.,1068,,2009,59,234,105,Active,,,https://www.redfin.com/ME/Bangor/541-Kenduskeag-Ave-04401/unit-A1/home/100089315,MREIS,1625098,N,Y,44.8206795,-68.7918969
MLS Listing,,Single Family Residential,357 Kelley Rd,Hermon,ME,04401,570000,4,2.5,Hermon,3280,139827,2007,61,174,,Active,,,https://www.redfin.com/ME/Hermon/357-Kelley-Rd-04401/home/97638769,MREIS,1624829,N,Y,44.8628691,-68.8655636
MLS Listing,,Single Family Residential,19 Russell St,Bangor,ME,04401,237000,3,2.0,Bangor,2205,4791,1910,63,107,,Active,,,https://www.redfin.com/ME/Bangor/19-Russell-St-04401/home/100086796,MREIS,1624448,N,Y,44.8062323,-68.7909934
MLS Listing,,Single Family Residential,24 Merrimac St,Bangor,ME,04401,259900,4,3.0,Bangor,1828,3484,1900,65,142,,Active,,,https://www.redfin.com/ME/Bangor/24-Merrimac-St-04401/home/100087018,MREIS,1624304,N,Y,44.8053812,-68.7587628
MLS Listing,,Single Family Residential,235 Webster Ave,Bangor,ME,04401,699000,4,2.5,Fairmount,2554,60984,1936,69,274,,Active,,,https://www.redfin.com/ME/Bangor/235-Webster-Ave-04401/home/100082006,MREIS,1623995,N,Y,44.7935098,-68.7970298
MLS Listing,,Single Family Residential,70 Pearl St,Bangor,ME,04401,259900,2,1.5,Bangor,1059,3484,1861,70,245,,Active,,,https://www.redfin.com/ME/Bangor/70-Pearl-St-04401/home/100085024,MREIS,1623895,N,Y,44.8079636,-68.7571738
MLS Listing,,Single Family Residential,363 Broadway,Bangor,ME,04401,227350,3,1.0,Bangor,1772,10454,1900,70,128,,Active,,,https://www.redfin.com/ME/Bangor/363-Broadway-04401/home/100086857,MREIS,1623795,N,Y,44.8148292,-68.7710934
