SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Single Family Residential,7824 Latir Mesa Rd NW,Albuquerque,NM,87114,320000,3,2.5,Albuquerque,1508,4356,2006,1,212,25,Active,,,https://www.redfin.com/NM/Albuquerque/7824-Latir-Mesa-Rd-NW-87114/home/92133447,Southwest MLS,1088870,N,Y,35.1892153,-106.7450032
MLS Listing,,Single Family Residential,7056 Tempe Ave NW,Albuquerque,NM,87114,445000,4,2.5,Albuquerque,2820,4791,2015,1,158,25,Active,,,https://www.redfin.com/NM/Albuquerque/7056-Tempe-Ave-NW-87114/home/114054551,Southwest MLS,1088867,N,Y,35.1799974,-106.7346329
MLS Listing,,Single Family Residential,11616 Terra Bonita Way SE,Albuquerque,NM,87123,447500,4,3.0,Albuquerque,2827,4356,2004,1,158,50,Active,,,https://www.redfin.com/NM/Albuquerque/11616-Terra-Bonita-Way-SE-87123/home/62703863,Southwest MLS,1088866,N,Y,35.0668941,-106.5177238
MLS Listing,,Single Family Residential,1908 Houser Ave SE,Albuquerque,NM,87106,561980,5,3.5,Mesa Del Sol,2710,5500,2025,1,207,33,Active,,,https://www.redfin.com/NM/Albuquerque/1908-Houser-Ave-SE-87106/home/196650054,Southwest MLS,1088865,N,Y,34.9837246,-106.6243352
MLS Listing,,Single Family Residential,9024 Jasper Dr NE,Albuquerque,NM,87101,415000,3,2.5,Albuquerque,1720,4312,1999,1,241,,Active,,,https://www.redfin.com/NM/Albuquerque/9024-Jasper-Dr-NE-87113/home/92150136,Southwest MLS,1088864,N,Y,35.1882607,-106.5667508
MLS Listing,,Single Family Residential,11809 N Star Trl NW,Albuquerque,NM,87120,749999,4,3.0,Albuquerque,3486,7535,2023,1,215,84,Active,,,https://www.redfin.com/NM/Albuquerque/11809-N-Star-Trl-NW-87120/home/179761914,Southwest MLS,1088863,N,Y,35.1014177,-106.7625587
MLS Listing,,Single Family Residential,1804 Kirby Ct NE,Albuquerque,NM,87112,330000,3,2.0,Albuquerque,1247,6534,1971,1,265,,Active,,,https://www.redfin.com/NM/Albuquerque/1804-Kirby-Ct-NE-87112/home/92100582,Southwest MLS,1088855,N,Y,35.1024454,-106.5118841
MLS Listing,,Single Family Residential,3129 Cypress Dr SW,Albuquerque,NM,87105,240000,3,2.0,Zimmerman,1545,4791,1942,1,155,,Active,,,https://www.redfin.com/NM/Albuquerque/3129-Cypress-Dr-SW-87105/home/92002180,Southwest MLS,1088854,N,Y,35.0815734,-106.6861495
MLS Listing,,Townhouse,4831 Sun Cove Rd NE,Albuquerque,NM,87110,320000,2,2.0,Albuquerque,1246,3049,2003,1,257,33,Active,,,https://www.redfin.com/NM/Albuquerque/4831-Sun-Cove-Rd-NE-87110/home/92156699,Southwest MLS,1088853,N,Y,35.1284973,-106.5882176
