SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Vacant Land,1616 NE 8th St,Oklahoma City,OK,73117,25000,,,Jordan Place Add,,6752,,12,,,Active,,,https://www.redfin.com/OK/Oklahoma-City/1616-NE-8th-St-73117/home/78545104,MLSOK,1181354,N,Y,35.475719,-97.482557
MLS Listing,,Single Family Residential,18600 Maidstone Ln,Edmond,OK,73012,349000,3,2.0,The Grove,1909,6599,2015,14,183,33,Active,,,https://www.redfin.com/OK/Edmond/18600-Maidstone-Ln-73012/home/78542777,MLSOK,1180052,N,Y,35.661396,-97.5675488
MLS Listing,,Condo/Co-op,444 N Central Ave #103,Oklahoma City,OK,73104,319000,2,2.0,Central Ave Villas,1251,,2008,15,255,311,Active,,,https://www.redfin.com/OK/Oklahoma-City/444-N-Central-Ave-73104/unit-103/home/78538831,MLSOK,1180982,N,Y,35.4713941,-97.5071834
MLS Listing,,Single Family Residential,2817 NW 12th St,Oklahoma City,OK,73107,210000,3,2.0,Millers Blvd,1308,7000,1925,21,161,,Active,,,https://www.redfin.com/OK/Oklahoma-City/2817-NW-12th-St-73107/home/72018985,MLSOK,1178837,N,Y,35.4820061,-97.5642708
MLS Listing,,Single Family Residential,321 SW 147 St,Oklahoma City,OK,73160,320000,4,2.0,Westmoor,1783,6970,2022,22,179,,Active,,,https://www.redfin.com/OK/Oklahoma-City/321-SW-147th-St-73170/home/71945255,MLSOK,1179528,N,Y,35.3213704,-97.518688
MLS Listing,,Single Family Residential,1538 NW 35th St,Oklahoma City,OK,73118,380000,3,1.5,Putnam Heights Add,1654,9518,1929,29,230,,Active,August-31-2025 02:00 PM,August-31-2025 04:00 PM,https://www.redfin.com/OK/Oklahoma-City/1538-NW-35th-St-73118/home/78548918,MLSOK,1178236,N,Y,35.5061357,-97.5385442
MLS Listing,,Single Family Residential,3529 NW 164th Ter,Edmond,OK,73013,279000,3,2.0,Ironstone Ph One,1586,5998,2014,32,176,21,Active,,,https://www.redfin.com/OK/Edmond/3529-NW-164th-Ter-73013/home/72050145,MLSOK,1175906,N,Y,35.6381945,-97.5818668
MLS Listing,,Single Family Residential,4126 Jones Blvd,Oklahoma City,OK,73135,125000,3,1.0,Tinker Town Add,1026,9500,1952,39,122,,Active,,,https://www.redfin.com/OK/Oklahoma-City/4126-Jones-Blvd-73135/home/71775625,MLSOK,1176127,N,Y,35.4096825,-97.4444542
MLS Listing,,Townhouse,6225 SE 46th St,Oklahoma City,OK,73135,90000,2,2.0,Spring Creek Acres,1119,3189,1984,50,80,,Active,August-31-2025 02:00 PM,August-31-2025 04:00 PM,https://www.redfin.com/OK/Oklahoma-City/6225-SE-46th-St-73135/home/78467247,MLSOK,1174886,N,Y,35.417756,-97.4149442
