SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Single Family Residential,56 Errol St,Warwick,RI,02888,489000,4,2.0,Warwick,1800,10019,1905,1,272,,Active,,,https://www.redfin.com/RI/Warwick/56-Errol-St-02888/home/51779976,RIS,1391597,N,Y,41.7534041,-71.3995418
MLS Listing,,Single Family Residential,200 Brookwood Dr,Warwick,RI,02889,549900,3,1.5,Warwick,1614,49800,1962,1,341,,Active,,,https://www.redfin.com/RI/Warwick/200-Brookwood-Rd-02889/home/51759994,RIS,1391594,N,Y,41.7155277,-71.3949738
MLS Listing,,Single Family Residential,44 Cindy Ln,Warwick,RI,02886,468000,3,1.5,Warwick,1468,12196,1963,1,319,,Active,August-3-2025 01:30 PM,August-3-2025 02:30 PM,https://www.redfin.com/RI/Warwick/44-Cindy-Ln-02886/home/51773934,RIS,1391519,N,Y,41.6995328,-71.4761074
MLS Listing,,Single Family Residential,821 Post Rd,Warwick,RI,02888,550000,4,3.0,Warwick,4064,11762,1935,1,135,,Active,August-2-2025 02:00 PM,August-2-2025 03:30 PM,https://www.redfin.com/RI/Warwick/821-Post-Rd-02888/home/175471099,RIS,1391387,N,Y,41.7534498,-71.4150798
MLS Listing,,Vacant Land,0 Channing St,Warwick,RI,02889,120000,,,Warwick,,8276,,1,,,Active,,,https://www.redfin.com/RI/Warwick/0-Channing-St-02889/home/188336124,RIS,1391548,N,Y,41.6950023,-71.3722087
MLS Listing,,Single Family Residential,54 Novelty Rd,Warwick,RI,02889,400000,3,2.0,Kettle Corner | Sandy Lane,1446,7841,1949,1,277,,Active,,,https://www.redfin.com/RI/Warwick/54-Novelty-Rd-02889/home/51785562,RIS,1391532,N,Y,41.7100454,-71.388723
MLS Listing,,Condo/Co-op,614 Pocasset Ct,Warwick,RI,02886,359000,2,2.0,Warwick,1489,2669561,1978,1,241,384,Active,August-2-2025 10:00 AM,August-2-2025 12:00 PM,https://www.redfin.com/RI/Warwick/614-Pocasset-Ct-02886/home/51758358,RIS,1390692,N,Y,41.7200461,-71.4535326
MLS Listing,,Single Family Residential,51 Burnett Rd,Warwick,RI,02889,899000,3,2.5,Warwick Neck,2510,8712,2025,1,358,,Active,,,https://www.redfin.com/RI/Warwick/51-Burnett-Rd-02889/home/195919054,RIS,1391534,N,Y,41.6963244,-71.3670028
MLS Listing,,Single Family Residential,41 Burnett Rd,Warwick,RI,02889,899000,3,2.5,Warwick Neck,2510,8276,2025,1,358,,Active,,,https://www.redfin.com/RI/Warwick/41-Burnett-Rd-02889/home/195919055,RIS,1391530,N,Y,41.6966596,-71.3669889
