SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Single Family Residential,1891 Beechwood Rd,Charleston,SC,29414,524000,3,2.5,Pierpont,1868,6534,1994,1,281,,Active,August-3-2025 01:00 PM,August-3-2025 03:00 PM,https://www.redfin.com/SC/Charleston/1891-Beechwood-Rd-29414/home/68923377,Charleston Trident MLS,25020957,N,Y,32.8195879,-80.0415457
MLS Listing,,Single Family Residential,1493 Little Rock Blvd,Charleston,SC,29412,565000,3,2.0,Fairway Villas,1494,6098,2004,36,378,,Active,August-3-2025 11:00 AM,August-3-2025 01:00 PM,https://www.redfin.com/SC/Charleston/1493-Little-Rock-Blvd-29412/home/68712657,Charleston Trident MLS,25017784,N,Y,32.7103457,-79.9706665
MLS Listing,,Single Family Residential,1216 Rivers Reach Dr,Charleston,SC,29492,1290000,4,3.5,River Reach Pointe,3310,12632,2013,63,390,,Active,,,https://www.redfin.com/SC/Charleston/1216-Rivers-Reach-Dr-29492/home/68783141,Charleston Trident MLS,25014938,N,Y,32.9169418,-79.8427825
MLS Listing,,Single Family Residential,22 Sheppard St,Charleston,SC,29403,942000,2,2.0,CITY OF CHARLESTON,817,1781,1885,107,1153,,Active,,,https://www.redfin.com/SC/Charleston/22-Sheppard-St-29403/home/68879943,RSMLS,452633,N,Y,32.7976291,-79.9395497
MLS Listing,,Single Family Residential,1152 Bradford Ave,Charleston,SC,29412,630000,4,3.0,Mccalls Corner,1675,9147,1981,1,376,,Active,,,https://www.redfin.com/SC/Charleston/1152-Bradford-Ave-29412/home/68693591,Charleston Trident MLS,25021154,N,Y,32.7235806,-79.9654308
MLS Listing,,Single Family Residential,1471 Wando Landing St,Charleston,SC,29492,1675000,5,4.5,Daniel Island,3244,6534,2013,1,516,83,Active,,,https://www.redfin.com/SC/Daniel-Island/1471-Wando-Landing-St-29492/home/68716091,Charleston Trident MLS,25021151,N,Y,32.8427021,-79.9061882
MLS Listing,,Single Family Residential,1924 Planters Dr,Charleston,SC,29414,500000,4,2.0,Church Creek,1579,9583,1974,1,317,,Active,,,https://www.redfin.com/SC/Charleston/1924-Planters-Dr-29414/home/68625254,Charleston Trident MLS,25021148,N,Y,32.8256312,-80.0517081
MLS Listing,,Single Family Residential,1487 Woodview Ln,James Island,SC,29412,465000,3,1.5,Westchester,1014,8712,1967,1,459,,Active,,,https://www.redfin.com/SC/Charleston/1487-Woodview-Ln-29412/home/108159250,Charleston Trident MLS,25021119,N,Y,32.7116871,-79.9595542
MLS Listing,,Condo/Co-op,1214 Apex Ln,Charleston,SC,29412,395000,2,2.0,Meridian Place,1086,,2001,1,364,100,Active,,,https://www.redfin.com/SC/Charleston/1214-Apex-Ln-29412/home/108186767,Charleston Trident MLS,25021113,N,Y,32.7222141,-79.9806635
MLS Listing,,Single Family Residential,29 Wedgepark Rd,Charleston,SC,29407,799900,2,2.0,Carolina Terrace,1320,13939,1940,1,606,,Active,,,https://www.redfin.com/SC/Charleston/29-Wedgepark-Rd-29407/home/108103160,Charleston Trident MLS,25021107,N,Y,32.7850779,-79.9924048
MLS Listing,,Townhouse,4024 Babbitt St,Charleston,SC,29414,375000,3,3.0,Ashley Park,1422,1742,2006,1,264,68,Active,,,https://www.redfin.com/SC/Charleston/4024-Babbitt-St-29414/home/68869546,Charleston Trident MLS,25021092,N,Y,32.8164199,-80.0689299
MLS Listing,,Single Family Residential,950 Battery Ave,Charleston,SC,29407,425000,3,1.0,Maryville,1032,4356,1952,1,412,,Active,,,https://www.redfin.com/SC/Charleston/950-Battery-Ave-29407/home/68886295,Charleston Trident MLS,25021087,N,Y,32.794429,-79.9884103
MLS Listing,,Single Family Residential,2014 Chilhowee Dr,Johns Island,SC,29455,599999,4,2.5,Staffordshire,2430,9147,2011,1,247,,Active,,,https://www.redfin.com/SC/Johns-Island/2014-Chilhowee-Dr-29455/home/108082494,Charleston Trident MLS,25021077,N,Y,32.722131,-80.069495
MLS Listing,,Single Family Residential,881 Kushiwah Creek Dr,Charleston,SC,29412,999000,3,2.0,Stiles Point Plantation,2442,16117,1984,1,409,35,Active,August-9-2025 01:00 PM,August-9-2025 02:00 PM,https://www.redfin.com/SC/Charleston/881-Kushiwah-Creek-Dr-29412/home/68566413,Charleston Trident MLS,25021076,N,Y,32.7486773,-79.9298512
MLS Listing,,Single Family Residential,521 W Wimbledon Dr,Charleston,SC,29412,1100000,4,2.5,Marlborough,2874,34848,1974,1,383,,Active,,,https://www.redfin.com/SC/Charleston/521-W-Wimbledon-Dr-29412/home/87081588,Charleston Trident MLS,25021071,N,Y,32.7496367,-79.979599
MLS Listing,,Single Family Residential,132 Falaise St,Charleston,SC,29492,745373,3,2.5,Point Hope,1978,4791,2025,1,377,63,Active,,,https://www.redfin.com/SC/Charleston/132-Falaise-St-29492/home/196148278,Charleston Trident MLS,25021069,N,Y,32.9181583,-79.8619816
MLS Listing,,Single Family Residential,2229 Generals St,Charleston,SC,29492,975000,5,3.5,Point Hope,2960,7840,2023,1,329,63,Active,August-2-2025 11:00 AM,August-2-2025 02:00 PM,https://www.redfin.com/SC/Charleston/2229-Generals-St-29492/home/184299343,Charleston Trident MLS,25021068,N,Y,32.916312,-79.875019
MLS Listing,,Single Family Residential,1764 Lady Ashley St,Charleston,SC,29412,549000,3,1.0,Centerville,1250,14810,1956,1,439,,Active,August-3-2025 02:00 PM,August-3-2025 04:00 PM,https://www.redfin.com/SC/Charleston/1764-Lady-Ashley-St-29412/home/68892669,Charleston Trident MLS,25021064,N,Y,32.7377029,-79.9712715
MLS Listing,,Single Family Residential,2536 Hatch Dr,Johns Island,SC,29455,795000,3,2.5,Stonoview,2224,7405,2022,1,357,131,Active,,,https://www.redfin.com/SC/Johns-Island/2536-Hatch-Dr-29455/home/176643730,Charleston Trident MLS,25021062,N,Y,32.735106,-80.022444
MLS Listing,,Single Family Residential,345 Confederate Cir,Charleston,SC,29407,1965000,4,3.0,South Windermere,3088,30491,1958,1,636,,Active,August-1-2025 11:00 AM,August-1-2025 01:00 PM,https://www.redfin.com/SC/Charleston/345-Confederate-Cir-29407/home/68562936,Charleston Trident MLS,25021058,N,Y,32.7743373,-79.9774553
MLS Listing,,Single Family Residential,1861 Cattail Row,Charleston,SC,29407,749000,4,2.5,Rice Hollow,1750,9583,1987,1,428,5,Active,,,https://www.redfin.com/SC/Charleston/1861-Cat-Tail-Row-29407/home/68551187,Charleston Trident MLS,25021056,N,Y,32.8175023,-80.0212126
MLS Listing,,Condo/Co-op,5 Gadsdenboro St #410,Charleston,SC,29401,1195000,2,2.0,Gadsdenboro,1271,,2018,1,940,1271,Active,,,https://www.redfin.com/SC/Charleston/5-Gadsdenboro-St-29401/unit-410/home/160465894,Charleston Trident MLS,25021055,N,Y,32.7871692,-79.927534
MLS Listing,,Vacant Land,481 Jessen Ln,Wando,SC,29492,120000,,,Wando,,37461,,1,,,Active,,,https://www.redfin.com/SC/Charleston/481-Jessen-Ln-29492/home/164596789,Charleston Trident MLS,25021040,N,Y,32.9043557,-79.9211916
MLS Listing,,Single Family Residential,41 Poplar St,Charleston,SC,29403,1285000,4,2.0,North Central,1940,4791,1935,1,662,,Active,August-2-2025 02:00 PM,August-2-2025 04:00 PM,https://www.redfin.com/SC/Charleston/41-Poplar-St-29403/home/68671254,Charleston Trident MLS,25021031,N,Y,32.8071314,-79.9520869
