SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Single Family Residential,3509 Gondola Dr,Antioch,TN,37013,259000,2,2.0,Chelsea Of Priest Lake,1092,6969,1986,1,237,,Active,August-2-2025 01:00 PM,August-2-2025 03:00 PM,https://www.redfin.com/TN/Antioch/3509-Gondola-Dr-37013/home/108042509,REALTRACS as Distributed by MLS Grid,2964133,N,Y,36.0826663,-86.6048998
MLS Listing,,Single Family Residential,2065 Westchester Dr,Nashville,TN,37207,419900,4,2.5,Thornton Grove,1900,6969,2021,1,221,55,Active,August-3-2025 02:00 PM,August-3-2025 04:00 PM,https://www.redfin.com/TN/Nashville/2065-Westchester-Dr-37207/home/178256063,REALTRACS as Distributed by MLS Grid,2963840,N,Y,36.2534471,-86.7798937
MLS Listing,,Single Family Residential,2333 Fairchild Cir #203,Nolensville,TN,37135,347000,2,2.0,Carothers Farms Stacked Flats,1328,,2020,6,261,274,Active,,,https://www.redfin.com/TN/Nolensville/2333-Fairchild-Cir-37135/unit-203/home/171174648,REALTRACS as Distributed by MLS Grid,2957940,N,Y,35.9854117,-86.6219364
MLS Listing,,Single Family Residential,5025 Ridge Hill Dr,Joelton,TN,37080,450000,2,1.0,Rural,1088,375922,1964,20,414,,Active,,,https://www.redfin.com/TN/Joelton/5025-Ridge-Hill-Dr-37080/home/68817446,REALTRACS as Distributed by MLS Grid,2940539,N,Y,36.2840402,-86.9313234
MLS Listing,,Single Family Residential,2716 Windemere Dr,Nashville,TN,37214,689900,3,2.5,Sunny Acres,2793,41382,1960,22,247,,Active,,,https://www.redfin.com/TN/Nashville/2716-Windemere-Dr-37214/home/107996611,REALTRACS as Distributed by MLS Grid,2936626,N,Y,36.183585,-86.6881771
MLS Listing,,Single Family Residential,2604 Forest View Dr,Antioch,TN,37013,389900,3,2.0,Forest View Park,2436,17859,1968,25,160,,Active,,,https://www.redfin.com/TN/Antioch/2604-Forest-View-Dr-37013/home/107985792,REALTRACS as Distributed by MLS Grid,2923751,N,Y,36.0704823,-86.6287298
MLS Listing,,Single Family Residential,523 W Bend Dr,Nashville,TN,37209,799000,3,3.5,Homes At 523 West Bend Drive,2452,1306,2023,28,326,,Active,,,https://www.redfin.com/TN/Nashville/523-W-Bend-Dr-37209/home/196263980,REALTRACS as Distributed by MLS Grid,2928531,N,Y,36.1510278,-86.8735204
MLS Listing,,Single Family Residential,521 Hobson Chapel Pl,Nashville,TN,37206,1130000,3,3.5,Eastwood Village,3001,1306,2022,31,377,325,Active,,,https://www.redfin.com/TN/Nashville/521-Hobson-Chapel-Pl-37206/home/180189010,REALTRACS as Distributed by MLS Grid,2924639,N,Y,36.1891315,-86.7377292
MLS Listing,,Single Family Residential,2617 Thornton Grove Blvd,Nashville,TN,37207,459000,3,2.0,Thornton Grove,1736,6534,2021,32,264,145,Active,,,https://www.redfin.com/TN/Nashville/2617-Thornton-Grove-Blvd-37207/home/177878503,REALTRACS as Distributed by MLS Grid,2923815,N,Y,36.2505169,-86.7792457
