SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Single Family Residential,318 S 108th Pl,Seattle,WA,98168,524950,3,1.0,White Center,1140,6252,1956,1,460,,Active,August-2-2025 11:00 AM,August-2-2025 01:00 PM,https://www.redfin.com/WA/Seattle/318-S-108th-Pl-98168/home/188980,NWMLS as Distributed by MLS Grid,2415459,N,Y,47.5066934,-122.3292761
MLS Listing,,Single Family Residential,6540 19th Ave NE,Seattle,WA,98115,1395000,3,2.5,Roosevelt,2120,3060,1910,1,658,,Active,August-2-2025 02:00 PM,August-2-2025 04:00 PM,https://www.redfin.com/WA/Seattle/6540-19th-Ave-NE-98115/home/309388,NWMLS as Distributed by MLS Grid,2415075,N,Y,47.6770316,-122.3073622
MLS Listing,,Condo/Co-op,1808 Minor Ave #2905,Seattle,WA,98104,1295000,2,2.0,Downtown,1073,,2019,1,1207,1252,Active,,,https://www.redfin.com/WA/Seattle/1808-Minor-Ave-98101/unit-2905/home/172710544,NWMLS as Distributed by MLS Grid,2412453,N,Y,47.6171583,-122.3306675
MLS Listing,,Single Family Residential,6222 37th Ave NE,Seattle,WA,98115,1995000,5,3.0,Bryant,4170,4300,1999,1,478,,Active,August-2-2025 11:00 AM,August-2-2025 02:00 PM,https://www.redfin.com/WA/Seattle/6222-37th-Ave-NE-98115/home/313373,NWMLS as Distributed by MLS Grid,2414536,N,Y,47.6746957,-122.2877518
MLS Listing,,Single Family Residential,11409 34th Ave SW,Seattle,WA,98146,799000,3,1.5,Arbor Heights,1470,7236,1953,1,544,,Active,August-2-2025 11:00 AM,August-2-2025 01:00 PM,https://www.redfin.com/WA/Seattle/11409-34th-Ave-SW-98146/home/157740,NWMLS as Distributed by MLS Grid,2414121,N,Y,47.5009835,-122.3758068
MLS Listing,,Single Family Residential,12635 Beacon Ave S,Seattle,WA,98178,599000,4,2.0,Seattle,2000,11088,1943,1,300,,Active,August-2-2025 11:00 AM,August-2-2025 01:00 PM,https://www.redfin.com/WA/Seattle/12635-Beacon-Ave-S-98178/home/196472,NWMLS as Distributed by MLS Grid,2414115,N,Y,47.4893788,-122.2512482
MLS Listing,,Single Family Residential,3942 S Pilgrim St,Seattle,WA,98118,600000,4,2.0,Beacon Hill,2600,9751,1947,3,231,,Active,July-31-2025 05:00 PM,July-31-2025 07:00 PM,https://www.redfin.com/WA/Seattle/3942-S-Pilgrim-St-98118/home/479945,NWMLS as Distributed by MLS Grid,2412440,N,Y,47.5159093,-122.2827045
MLS Listing,,Townhouse,2400 SW Genesee St,Seattle,WA,98106,595000,2,2.0,Delridge,1000,800,2021,7,595,,Active,August-3-2025 11:00 AM,August-3-2025 01:00 PM,https://www.redfin.com/WA/Seattle/2400-SW-Genesee-St-98106/home/176187235,NWMLS as Distributed by MLS Grid,2412377,N,Y,47.5648567,-122.363574
MLS Listing,,Condo/Co-op,123 Queen Anne Ave N #404,Seattle,WA,98109,375000,1,1.0,Queen Anne,603,,2000,7,622,474,Active,,,https://www.redfin.com/WA/Seattle/123-Queen-Anne-Ave-N-98109/unit-404/home/28446969,NWMLS as Distributed by MLS Grid,2412291,N,Y,47.6193175,-122.3570761
MLS Listing,,Single Family Residential,6517 High Point Dr SW,Seattle,WA,98126,785000,3,2.5,High Point,1580,2545,2012,7,497,207,Active,,,https://www.redfin.com/WA/Seattle/6517-High-Point-Dr-SW-98126/home/18661571,NWMLS as Distributed by MLS Grid,2410041,N,Y,47.5439478,-122.3685489
MLS Listing,,Condo/Co-op,2015 Terry Ave #411,Seattle,WA,98121,350000,1,1.0,Belltown,667,,2004,7,525,600,Active,,,https://www.redfin.com/WA/Seattle/2015-Terry-Ave-98121/unit-411/home/12092855,NWMLS as Distributed by MLS Grid,2406119,N,Y,47.6172912,-122.3358101
MLS Listing,,Multi-Family (2-4 Unit),7414 Rainier Ave S,Seattle,WA,98118,750000,4,2.0,Brighton,1670,5504,1953,9,449,,Active,August-2-2025 02:00 PM,August-2-2025 04:00 PM,https://www.redfin.com/WA/Seattle/7414-Rainier-Ave-S-98118/home/174519,NWMLS as Distributed by MLS Grid,2408209,N,Y,47.5354654,-122.2695671
