SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Single Family Residential,3217 Thorp St,Madison,WI,53714,399999,3,2.0,Madison,1439,4791,1926,36,278,,Active,,,https://www.redfin.com/WI/Madison/3217-Thorp-St-53714/home/57774472,SCWMLS,2003101,N,Y,43.0987775,-89.3350755
MLS Listing,,Vacant Land,2430 Frazier Ave,Madison,WI,53713,309000,,,Madison,,17859,,74,,,Active,,,https://www.redfin.com/WI/Madison/2430-Frazier-Ave-53713/home/180644882,SCWMLS,2000159,N,Y,43.047529,-89.352659
MLS Listing,,Single Family Residential,1210 Acewood Blvd,Madison,WI,53716,430000,3,2.0,Elvehjem,1771,8276,1967,1,243,,Active,August-3-2025 11:00 AM,August-3-2025 01:00 PM,https://www.redfin.com/WI/Madison/1210-Acewood-Blvd-53716/home/67563106,SCWMLS,2005731,N,Y,43.0799075,-89.3033624
MLS Listing,,Condo/Co-op,1406 Whispering Pines Way,Fitchburg,WI,53713,204900,2,1.0,Fitchburg,1019,,1985,1,201,220,Active,,,https://www.redfin.com/WI/Fitchburg/1406-Whispering-Pines-Way-53713/home/185130134,SCWMLS,2005246,N,Y,43.023496,-89.427273
MLS Listing,,Single Family Residential,5222 Piccadilly Dr,Madison,WI,53714,399900,4,2.0,Madison,2210,13939,1975,1,181,,Active,,,https://www.redfin.com/WI/Madison/5222-Piccadilly-Dr-53714/home/57604345,SCWMLS,2005448,N,Y,43.1012163,-89.2907606
MLS Listing,,Townhouse,6059 Canyon Pkwy,Mcfarland,WI,53558,425000,3,2.5,Madison,1883,,2017,1,226,475,Active,August-3-2025 11:00 AM,August-3-2025 01:00 PM,https://www.redfin.com/WI/McFarland/6059-Canyon-Pkwy-53558/home/112774545,SCWMLS,2004827,N,Y,43.027686,-89.272927
MLS Listing,,Single Family Residential,1105 Droster Rd,Madison,WI,53716,400000,3,2.0,Sunrise Meadows,2055,9583,1976,1,195,,Active,August-2-2025 10:30 AM,August-2-2025 12:30 PM,https://www.redfin.com/WI/Madison/1105-Droster-Rd-53716/home/57761552,SCWMLS,2005132,N,Y,43.0825544,-89.2863938
MLS Listing,,Single Family Residential,3513 Margaret St,Madison,WI,53714,365000,2,1.0,Madison,1026,4791,1929,1,356,,Active,August-3-2025 12:00 PM,August-3-2025 02:00 PM,https://www.redfin.com/WI/Madison/3513-Margaret-St-53714/home/89915398,SCWMLS,2005719,N,Y,43.0875985,-89.326559
MLS Listing,,Condo/Co-op,6758 Park Ridge Dr Unit C,Madison,WI,53719,200000,2,2.0,Madison,907,,1984,1,221,320,Active,,,https://www.redfin.com/WI/Madison/6758-Park-Ridge-Dr-53719/unit-C/home/57815378,SCWMLS,2005603,N,Y,43.0424402,-89.4992093
MLS Listing,,Single Family Residential,5819 Caddisfly Ln,Madison,WI,53718,489900,3,2.5,Village At Autumn Lake,1843,4356,2022,1,266,28,Active,August-7-2025 05:00 PM,August-7-2025 07:00 PM,https://www.redfin.com/WI/Madison/5819-Caddisfly-Ln-53718/home/178488717,SCWMLS,2003064,N,Y,43.125815,-89.278175
MLS Listing,,Condo/Co-op,519 D'Onofrio Dr #3,Madison,WI,53719,119900,0,1.0,Madison,496,,1985,1,242,275,Active,,,https://www.redfin.com/WI/Madison/519-Donofrio-Dr-53719/unit-3/home/89945979,SCWMLS,2005311,N,Y,43.0567935,-89.5137593
MLS Listing,,Single Family Residential,5014 Violet Ln,Madison,WI,53714,399900,4,3.0,Emerald Hills,2376,9147,1978,1,168,,Active,August-3-2025 11:00 AM,August-3-2025 01:00 PM,https://www.redfin.com/WI/Madison/5014-Violet-Ln-53714/home/57580634,SCWMLS,2005418,N,Y,43.1001092,-89.2960457
MLS Listing,,Single Family Residential,21 N Kenosha Dr,Madison,WI,53705,615000,3,2.0,Madison,1944,12632,1964,1,316,,Active,,,https://www.redfin.com/WI/Madison/21-N-Kenosha-Dr-53705/home/89964507,SCWMLS,2005702,N,Y,43.0692275,-89.4715017
MLS Listing,,Single Family Residential,1118 Starlight Dr,Madison,WI,53711,419999,5,3.0,Carton Crest,1961,10454,1965,1,214,,Active,,,https://www.redfin.com/WI/Madison/1118-Starlight-Dr-53711/home/57603571,SCWMLS,1998851,N,Y,43.0399326,-89.4579897
MLS Listing,,Condo/Co-op,1140 Morraine View Dr #204,Madison,WI,53719,159800,3,1.0,Madison,1111,,1989,1,144,325,Active,,,https://www.redfin.com/WI/Madison/1140-Morraine-View-Dr-53719/unit-204/home/62386231,SCWMLS,2005700,N,Y,43.041413,-89.5065555
