Batch,Loss,Elapsed_Min
0,0.6568,0.02
100,0.4776,0.26
200,0.5389,0.5
300,0.5343,0.74
400,0.3863,0.99
500,0.3546,1.23
600,0.5055,1.47
700,0.44,1.71
800,0.4537,1.95
900,0.519,2.19
1000,0.2863,2.43
1100,0.3445,2.67
1200,0.3235,2.91
1300,0.3253,3.15
1400,0.4394,3.39
1500,0.4895,3.63
1600,0.4149,3.87
1700,0.4226,4.12
1800,0.4354,4.36
1900,0.3253,4.6
2000,0.1933,4.84
2100,0.5442,5.08
2200,0.4273,5.32
2300,0.2996,5.56
2400,0.2832,5.8
2500,0.4815,6.04
2600,0.5039,6.28
2700,0.4875,6.52
2800,0.2551,6.76
2900,0.3331,7.0
3000,0.509,7.24
3100,0.2971,7.48
3200,0.1749,7.72
3300,0.3719,7.96
3400,0.5404,8.21
3500,0.1266,8.45
3600,0.3403,8.69
3700,0.2375,8.93
3800,0.2151,9.17
3900,0.3359,9.41
4000,0.2405,9.65
4100,0.3335,9.89
4200,0.2762,10.13
4300,0.3134,10.37
4400,0.2503,10.61
4500,0.5683,10.85
4600,0.2943,11.09
4700,0.4683,11.33
4800,0.2721,11.57
4900,0.1994,11.81
5000,0.2597,12.06
5100,0.1939,12.3
5200,0.1506,12.54
5300,0.2372,12.78
5400,0.1911,13.02
5500,0.1205,13.26
5600,0.3772,13.5
5700,0.1948,13.74
5800,0.1785,13.98
5900,0.1508,14.22
6000,0.268,14.46
6100,0.269,14.7
6200,0.3582,14.94
6300,0.3431,15.18
6400,0.434,15.42
6500,0.2177,15.66
6600,0.2819,15.9
6700,0.24,16.15
6800,0.3568,16.39
6900,0.4157,16.63
7000,0.4722,16.87
7100,0.2369,17.11
7200,0.2846,17.35
7300,0.2355,17.59
7400,0.302,17.83
7500,0.3594,18.07
7600,0.462,18.31
7700,0.2345,18.55
7800,0.2958,18.79
7900,0.1789,19.03
8000,0.2322,19.27
8100,0.07,19.51
8200,0.2614,19.75
8300,0.185,20.0
8400,0.1828,20.24
8500,0.1349,20.48
8600,0.2272,20.72
8700,0.1586,20.96
8800,0.0787,21.2
8900,0.1184,21.44
9000,0.1431,21.68
9100,0.4379,21.92
9200,0.5342,22.16
9300,0.1017,22.4
9400,0.0823,22.64
9500,0.1231,22.88
9600,0.264,23.12
9700,0.1435,23.36
9800,0.1231,23.6
9900,0.2467,23.84
10000,0.1008,24.09
10100,0.1062,24.33
10200,0.2099,24.57
10300,0.1996,24.81
10400,0.2766,25.05
10500,0.123,25.29
10600,0.2041,25.53
10700,0.1888,25.77
10800,0.1084,26.01
10900,0.1458,26.25
11000,0.3036,26.49
11100,0.4006,26.73
11200,0.201,26.97
11300,0.2224,27.21
11400,0.1104,27.45
11500,0.1539,27.69
11600,0.1317,27.93
11700,0.1201,28.18
11800,0.2509,28.42
11900,0.1812,28.66
12000,0.161,28.9
12100,0.2197,29.14
12200,0.1299,29.38
12300,0.1976,29.62
12400,0.1311,29.86
12500,0.2091,30.1
12600,0.3558,30.34
12700,0.3034,30.58
12800,0.2207,30.82
12900,0.1252,31.06
13000,0.0937,31.3
13100,0.1175,31.54
13200,0.0647,31.78
13300,0.1072,32.02
13400,0.1108,32.26
13500,0.2581,32.5
13600,0.1911,32.75
13700,0.2554,32.99
13800,0.1844,33.23
13900,0.2119,33.47
14000,0.207,33.71
14100,0.2147,33.95
14200,0.0829,34.19
14300,0.2233,34.43
14400,0.1376,34.67
14500,0.1802,34.91
14600,0.1094,35.15
14700,0.3152,35.39
14800,0.2864,35.63
14900,0.2546,35.87
15000,0.1177,36.11
15100,0.0541,36.35
15200,0.137,36.59
15300,0.1879,36.83
15400,0.1232,37.07
15500,0.4706,37.32
15600,0.2066,37.56
15700,0.4003,37.8
15800,0.1376,38.04
15900,0.1048,38.28
16000,0.1974,38.52
16100,0.2557,38.76
16200,0.1799,39.0
16300,0.5936,39.24
16400,0.0976,39.48
16500,0.2233,39.72
16600,0.1984,39.96
16700,0.2378,40.2
16800,0.1438,40.44
16900,0.0728,40.68
17000,0.0826,40.92
17100,0.3492,41.16
17200,0.2729,41.4
17300,0.0707,41.64
17400,0.1099,41.88
17500,0.1563,42.13
17600,0.2027,42.37
17700,0.1629,42.61
17800,0.1034,42.85
17900,0.225,43.09
18000,0.2007,43.33
18100,0.1479,43.57
18200,0.2955,43.81
18300,0.0301,44.05
18400,0.0584,44.29
18500,0.1834,44.53
18600,0.378,44.77
18700,0.0509,45.01
18800,0.1333,45.25
18900,0.1099,45.49
19000,0.1134,45.73
19100,0.0714,45.97
19200,0.2184,46.21
19300,0.2502,46.45
19400,0.173,46.69
19500,0.0949,46.93
19600,0.2462,47.17
19700,0.1904,47.42
